種牡馬名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,2歳,3歳,4歳,5歳以上,距離短縮,距離延長
エイシンフラッシュ,-1366,-597,510,-1220,-512,461,-962,-1082,-169,-56,135,-304,-887,96,-108,-158,-415,189,-49,-293,-630,-178,-774,-243,-716,-1230,-139,-142,-80,-771
エスケンデレヤ,-44,613,-128,-272,627,-2,42,425,-76,-79,159,135,133,163,-57,-9,34,-46,7,773,22,133,345,-661,-12,833,192,-351,154,369
エスポワールシチー,0,1023,-71,935,107,-110,-235,1186,5,0,-43,-306,-105,628,15,-306,478,-6,0,-82,185,627,52,117,1219,-143,346,-717,313,-480
エピファネイア,-3133,-2324,-530,-2550,-2293,-1068,-899,-4432,-299,-325,-1072,-504,177,-1564,-890,-570,-318,-637,-2392,-448,2107,-1162,-7059,-799,1547,-3396,-2552,-4519,-4399,-2285
エポカドーロ,783,188,,-798,1391,-236,-162,1046,-315,125,129,-106,-463,267,287,322,55,185,265,-1023,-708,1469,-32,,-492,1916,,,1595,899
オーヴァルエース,-315,-1105,,-718,-605,,-815,-605,-472,491,-315,-236,-226,50,-315,-21,-551,-23,0,-560,468,-1803,-212,,-162,-1295,,,-234,-956
オルフェーヴル,-238,-133,271,-1175,505,331,-1024,614,52,-327,479,256,-571,607,-574,-157,-466,832,-266,620,-567,1462,116,-77,-708,686,-62,175,282,988
カリフォルニアクローム,823,1351,0,3334,-694,-394,-553,2271,-226,526,216,-805,662,-280,-290,839,363,782,291,1330,-842,2027,1410,484,-431,1522,908,,1227,-314
カレンブラックヒル,-696,240,-332,-491,129,-411,1067,-1405,-67,149,-215,-132,512,-556,414,-234,-230,-63,-7,170,333,-725,254,-1045,605,-840,620,-2113,-362,-648
キズナ,2619,-72,1110,-863,2590,1967,955,1509,-88,157,289,405,-323,139,1234,648,2000,-818,980,-558,-23,2090,530,1217,686,1369,622,947,-374,3684
キタサンブラック,958,-104,689,1069,499,157,-194,1362,916,341,147,-423,346,27,248,1157,-1422,-141,171,-287,-495,122,1656,-616,-644,-143,654,2859,1569,1038
キングカメハメハ,102,205,-100,-75,402,39,54,258,69,0,-26,-124,368,113,-52,-466,178,110,104,-15,0,17,-115,328,0,0,0,231,241,179
キンシャサノキセキ,-611,-234,-133,-630,-95,-214,-451,-265,-177,189,-168,-168,-8,5,-534,60,-91,-59,-496,-274,-84,143,-871,266,3,-454,-43,-428,-17,-228
クリソベリル,320,-541,,-1064,574,,-578,299,101,,-236,-275,-404,669,111,-145,-440,-79,-79,-256,372,-600,-59,,-384,,,,-112,-161
グレーターロンドン,1739,-97,161,1666,155,108,276,1242,-80,-106,292,84,590,899,-162,-153,60,342,-861,321,542,824,968,-1179,688,1232,-248,-488,-578,-458
ゴールドアクター,2152,254,89,135,2060,304,442,1999,1106,89,672,699,-442,-36,-68,-143,-140,293,797,217,64,1006,1945,-551,505,1115,1240,-134,1011,724
