調教師名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞,2歳,3歳,4歳,5歳以上,休明初戦,休明2走,休明3走,連闘
河嶋宏樹,-925,3000,-63,1126,1106,-11,327,2063,-222,212,93,-43,-247,209,441,1841,-845,452,96,917,-845,3465,-364,130,196,-613,3830,230,-206,316,-74,1191,443
菊川正達,-686,132,118,-290,-286,121,-634,-158,489,158,-127,1088,-964,-890,-265,-88,66,-164,-359,873,-766,-578,1480,-294,0,-1190,-1016,584,1699,-642,562,506,381
菊沢隆徳,218,-166,-6,949,-791,-86,449,-625,-157,-62,115,652,389,-382,-492,-308,23,135,-457,-388,-60,-11,-395,-200,-52,-66,-123,-437,924,-97,-33,-203,72
北出成人,1970,532,-7,2815,-439,-35,440,1926,-62,-454,-201,-8,295,-20,301,686,1471,446,285,361,275,980,771,-157,-3,512,1337,378,-92,175,824,878,662
木村哲也,750,-424,82,317,-257,285,288,2,91,-46,340,339,214,13,-113,-287,-111,-26,129,-37,202,675,-309,-126,41,200,366,-187,-246,-324,1,123,26
国枝栄　,-1116,-1186,-554,-1034,-1057,-417,-1236,-834,145,-154,-334,-942,-77,-779,-977,82,-154,13,-432,-467,-59,-1438,-73,-835,-538,-33,-1735,-172,-654,-1193,-544,4,-197
久保田貴,-533,507,82,-36,85,316,632,-453,-286,-102,328,229,508,-282,-20,185,94,-146,-34,254,-272,-478,740,-198,-277,-64,-465,-59,994,-58,-77,192,22
栗田徹　,-374,-1108,-710,-1499,9,-393,-599,-778,-27,-296,-54,-106,-619,-330,107,-164,-10,-349,189,-1093,123,-1088,-699,-119,46,114,-1322,-543,-193,-584,-409,-34,-87
黒岩陽一,525,-15,-64,128,220,9,555,-71,301,85,-637,162,942,-20,-85,23,14,-141,300,-1256,51,-325,478,183,101,-463,300,489,-459,-725,789,3,-11
古賀慎明,377,-845,-37,-61,-137,-138,121,-468,-335,-134,-270,-511,460,96,216,22,-4,-10,-15,-32,-556,704,-224,42,101,-687,646,102,-438,-322,-13,150,-79
小崎憲　,-791,-2,-161,-1246,563,-284,676,-1664,-143,334,-248,-78,934,-112,6,-446,-1277,-510,-300,-1124,-449,363,-756,30,248,-652,271,34,-281,-246,244,-247,-115
小島茂之,660,333,-37,693,-36,151,-126,1161,21,-106,823,-158,390,513,-115,-24,-36,-20,-310,272,176,193,500,-182,-108,288,435,79,-875,-1119,1238,-14,306
小手川準,-1242,-155,-316,-243,-219,-436,628,-1352,-407,83,-183,1261,-201,-205,-129,-177,-82,-325,-344,-1749,-550,-386,-288,-10,41,-320,-359,-83,-93,-674,129,350,-160
小西一男,-508,-608,46,-265,-474,83,-513,-376,258,10,-454,-311,10,-454,134,49,-41,-63,382,-58,234,-1078,-504,104,31,-272,333,-721,-45,-41,-50,-566,23
小林真也,-167,2336,150,130,1494,549,1169,979,143,1122,-101,108,317,220,1047,373,-96,24,-289,493,-386,274,1170,673,438,-654,2036,551,622,1314,832,569,0
昆貢　　,-385,-1026,513,-1201,-62,-14,-324,-953,171,-183,-66,-20,-92,62,183,-697,3,-169,-280,-112,-62,-772,-659,386,280,-333,-632,250,63,326,-436,-171,-27
今野貞一,-903,657,0,485,-324,-351,1159,-1338,186,-205,-403,137,59,-285,1069,-492,252,-667,-346,530,-147,-1116,698,220,601,-148,55,-58,-836,-746,-279,347,158
斉藤崇史,-176,401,-83,746,64,-386,-320,627,0,0,-30,-131,-78,-118,-117,-104,525,506,-374,91,-13,1160,-294,-684,-360,350,502,-250,-532,-579,171,-393,328
斎藤誠　,-819,320,0,1257,-1459,-207,-969,327,352,-560,145,-399,-320,241,-106,106,48,-245,-199,7,-634,738,-206,-398,-469,1,50,-812,234,-714,-63,-727,39
坂口智康,-740,-1154,67,-1437,-545,79,-1622,-178,-124,-122,-51,-416,-35,-288,-1198,728,144,-393,-329,-1,173,-490,-1415,-61,297,104,-909,-407,-520,158,-522,-478,-86
佐々木晶,617,66,181,557,-395,537,544,-45,75,-114,-95,373,4,189,214,-1126,1441,-142,-213,184,-73,231,959,569,42,-65,1712,-256,146,30,866,324,-31
笹田和秀,405,-1416,68,-2325,845,340,113,-886,-105,-50,249,36,-49,80,248,-538,-281,-203,56,-145,-177,-982,444,-188,-369,-171,-720,189,-879,-1008,-188,7,11
佐藤悠太,1875,676,67,1110,735,592,-348,3099,473,327,1938,-17,376,-316,-873,640,749,304,-431,132,333,962,556,366,-48,1530,476,851,-773,245,706,-220,-158
佐藤吉勝,-908,-744,-113,335,-817,-389,-854,-1333,-395,28,651,-30,-1877,-1287,1036,-79,-473,23,-658,101,-477,-1569,1013,-336,480,-1891,-2049,253,3047,1012,44,1966,-463
四位洋文,708,812,-120,672,525,315,-40,1902,-41,163,202,25,42,120,-311,814,535,-98,177,326,63,237,576,1112,807,387,175,865,47,1941,-944,139,-158
鹿戸雄一,623,339,0,637,394,-87,1271,-440,34,-192,277,746,476,-682,-137,0,-53,363,68,462,526,1052,-401,-625,-305,794,395,-261,-724,-858,-438,360,257
清水久詞,-643,-449,528,211,-1336,610,-635,-277,320,-48,83,-139,-79,643,-208,-329,-695,-240,273,-306,-496,-1379,-72,256,-239,-695,-1543,324,2150,618,-604,81,-18
清水英克,2093,-208,-12,1305,455,314,86,1817,429,211,448,1019,-1200,595,-266,-385,0,186,130,-330,147,1230,1150,-259,-495,691,679,368,-439,315,577,241,-61
庄野靖志,649,655,-151,1179,244,-207,115,1203,0,0,-11,56,-271,310,139,1149,-531,67,-152,443,279,-179,733,-115,-188,281,1041,-442,31,942,-119,131,-27
新開幸一,-721,-716,71,-323,-1020,-62,-737,-628,-201,-56,-328,-463,-123,-66,-363,-89,-62,453,-135,-188,399,-616,-890,-48,1,260,-1036,96,-441,-1297,-322,58,-71
新谷功一,-207,-659,-123,-358,-532,-483,-598,-192,-436,29,-33,-130,-273,66,-293,88,-569,523,-29,-218,-340,-1112,225,-471,-450,-740,-735,894,-257,649,-154,-204,-108
須貝尚介,584,-81,-79,556,-36,-78,491,-54,720,167,-55,221,-235,418,314,-450,-388,-213,-434,-483,2,-77,216,94,-230,182,-327,629,-210,328,207,230,-9
杉浦宏昭,783,245,-171,929,252,-303,-613,1516,425,60,264,-619,126,324,29,41,78,-311,-667,-706,-852,815,818,-35,0,244,108,352,-550,-109,-381,-24,123
杉山晴紀,1179,735,0,679,1295,-130,111,1908,-301,-212,497,-166,74,-26,173,1322,1037,-347,99,345,377,1286,127,282,347,997,760,356,-611,-57,-494,36,448
杉山佳明,160,1990,0,409,2129,-347,951,1331,345,-149,34,-129,338,-19,727,649,739,-185,-181,673,469,1052,377,-437,351,723,1169,-221,467,89,366,-221,15
鈴木慎太,609,1660,-51,2258,433,-249,1199,1151,-67,154,41,236,1553,948,-163,36,-316,-155,356,1341,1673,1182,-114,-156,-158,1263,1485,-91,-206,-14,542,-419,-314
鈴木孝志,-1457,-104,-63,-707,-638,-75,-331,-1164,-348,-119,-186,190,-115,-164,-601,-123,194,-433,73,198,-223,-1174,329,-386,-180,-587,-692,135,-308,-1505,-131,918,-119
鈴木伸尋,-667,-376,0,-657,-337,-23,-515,-506,26,-91,203,-190,-207,-776,-190,284,-33,157,-49,98,85,580,-1347,-180,38,866,660,-841,-2131,-952,-632,-208,-225
勢司和浩,-1533,-1500,,-1648,-1079,-38,-2193,-757,-338,-111,84,27,-2402,-576,-292,0,0,0,-587,-832,1022,-1930,-1376,-316,-316,366,-1853,-454,-902,-1733,154,-953,48
高木登　,872,1231,0,1634,224,95,1883,176,-101,-251,344,607,1617,506,-343,-187,-158,0,-55,197,-230,423,244,832,186,184,841,-114,1613,153,776,-101,-28
高野友和,533,370,0,1237,-289,288,583,442,-78,-131,23,-356,143,41,821,374,148,43,-36,210,270,379,-261,489,557,500,61,72,8,12,-306,138,20
高橋一哉,-761,-815,-390,-618,-1833,255,-556,-692,-433,276,-680,-345,395,-154,-1362,-341,1803,-89,689,1200,-281,-1203,-324,-164,-237,-1282,-1170,547,415,-425,-118,-495,-316
高橋文雅,-882,-892,-254,-215,-2476,-187,-977,-821,-54,118,-103,-367,-584,-601,-188,-253,-107,-25,-71,-418,168,-1719,-334,-214,-79,-947,-1222,162,-821,-168,-169,-184,-321
高橋康之,-442,-730,0,510,-1809,-57,486,-1443,160,-526,-258,-146,-142,183,822,367,-1074,-182,-27,830,70,-1457,357,-367,-425,-477,-1105,7,-46,-620,-53,1018,-20
高橋義忠,-357,-663,-231,-777,-4,-337,-706,-136,-133,-78,491,-390,253,-428,-326,-24,-403,44,-148,-6,-1193,467,-25,-754,-254,-1245,356,36,-1132,-320,-312,-55,28
高橋亮　,196,190,281,84,339,605,-621,1104,354,7,-9,84,-120,-24,-207,423,165,79,317,489,-458,-133,341,228,-180,-276,-88,559,131,639,1145,-273,92
高柳大輔,106,942,-222,949,150,-359,350,692,-434,-452,-11,20,190,445,98,801,225,-25,-28,777,-65,287,747,-222,-16,774,954,-987,-143,-616,123,293,-82
高柳瑞樹,-23,-865,-39,248,-824,-30,-459,-319,-94,-68,59,732,-589,-343,-498,-192,131,-29,-207,-256,-5,48,-1777,451,293,10,163,-1016,-434,92,658,-844,140
武幸四郎,491,1242,-237,157,1843,-568,575,1143,617,43,-196,-50,376,235,205,161,386,-241,157,86,123,599,981,-301,-68,264,661,767,-87,206,-201,-145,-17
武英智　,1333,196,349,1309,453,376,947,630,-361,508,6,120,70,418,829,-114,584,-20,140,-484,-62,343,361,1305,572,-144,580,1086,662,270,-65,1409,148
武井亮　,-829,1067,-235,451,-340,-54,-25,211,-136,-114,296,-459,226,122,52,51,-219,79,116,482,281,530,-845,-173,-89,499,465,-1369,-637,40,-419,175,18
武市康男,555,-2850,-229,-1071,-1384,-348,-922,-1611,97,-581,-469,-93,-599,-1023,-232,360,-215,76,248,-1185,781,-1958,-633,-788,-207,-108,-1117,-83,-1967,-2377,-446,8,-426
竹内正洋,959,451,-68,1769,-388,-322,900,397,295,-284,-150,-36,1277,541,-425,-133,-42,12,759,-312,1001,1074,21,-490,-95,1697,134,135,-472,-36,-784,550,-152
田島俊明,-1053,409,146,-504,-98,587,-479,137,-154,302,114,-430,-273,-8,551,215,42,-324,194,224,651,-1166,251,314,13,-262,-351,1023,-525,-882,343,217,71
田中克典,130,651,0,-531,1435,-80,355,505,77,296,-119,32,-358,-264,629,-699,870,195,293,-63,-268,1263,387,-110,-35,-104,1372,71,-627,466,95,26,-81
田中勝春,1414,-17,-316,977,683,-395,649,1228,-316,372,-169,580,-382,916,-237,-79,777,,774,-148,-276,43,1235,911,62,-31,563,1275,-1341,921,500,610,38
田中剛　,106,882,-13,345,731,62,610,361,18,451,224,8,617,-341,-79,92,113,1,417,337,-204,276,730,-211,-166,-215,1137,123,-96,1077,-507,-479,-55
田中博康,-1190,246,131,-414,-57,-128,-416,-247,178,-38,-37,-342,146,86,-149,-269,101,-200,-139,-4,-95,-97,65,-289,-155,-23,-14,-316,-144,-706,54,127,-180
谷潔　　,-491,-503,-201,612,-1394,-553,-114,-726,-804,-118,15,-26,158,-488,-265,769,-501,100,-565,-288,322,-809,-130,-125,-43,696,-1097,8,-1171,-73,-762,13,-129
田村康仁,-1108,99,-500,63,-1185,-422,301,-1427,-327,138,-655,-580,310,-776,326,-316,-64,-45,-260,804,-195,-169,-361,-104,-9,-469,-55,-544,-595,-1125,-121,-31,-11
千田輝彦,2390,2483,0,3087,1603,-41,979,3656,5,207,-217,165,703,255,231,2295,734,339,702,422,1487,2037,1048,960,330,1276,2731,37,644,1100,1138,949,261
千葉直人,1528,868,124,2250,-110,156,2297,174,-320,-631,-213,339,1762,1585,178,163,-237,-789,277,998,599,1698,-844,1368,768,377,2154,-26,162,1109,-137,-121,6
茶木太樹,-1237,-428,-24,-901,-721,-43,-560,-1027,5,177,-156,-25,-208,-91,-386,-315,-217,-258,-304,-146,-207,144,-666,-45,-25,-76,-494,-911,-391,-367,-781,-147,-31
柄崎将寿,-450,-1258,-79,-1779,-367,258,-634,-1044,202,-316,-1184,-726,99,-576,-316,-158,604,,281,-792,1516,-1650,-224,-395,,-307,-1177,-308,-41,-1946,-1262,1137,-79
辻哲英　,1728,365,-20,-21,2304,88,1364,629,-426,140,-485,239,1143,1387,-126,-316,-51,-355,818,443,340,123,993,429,60,287,429,-863,1741,598,259,-100,-156
辻野泰之,1110,427,326,-61,1860,294,463,1013,134,-115,193,71,-72,-75,762,-242,718,657,743,-160,451,1695,-58,185,-97,115,1747,292,-78,457,-37,382,-117
土田稔　,-1620,-2303,-711,-2662,-923,-877,-2267,-1178,-498,436,-254,-1359,-1720,-1300,-315,125,-473,270,-174,-812,-526,-3287,-573,-271,0,-1356,-2356,210,-1344,-1399,-683,93,362
角田晃一,138,1219,341,9,1291,408,700,503,-85,-406,189,861,18,554,525,-596,306,818,-327,448,257,56,1132,267,-102,-151,1004,22,1191,1307,1173,-47,-183
手塚貴久,777,-1004,15,223,-312,-317,53,-230,21,131,-508,-473,448,258,-51,-238,-137,28,245,42,-27,556,-1019,16,81,494,-20,-1088,-15,260,-125,-28,-50
寺島良　,-1343,-695,-252,-1225,-1179,4,-842,-1172,-46,86,-214,-244,164,-372,-880,197,-1465,489,-190,39,-322,-384,-1252,-151,-68,-739,-389,-519,-860,-512,-346,-176,-126
天間昭一,-2536,-1804,432,-1810,-2089,236,-1720,-3050,-188,-272,-726,-557,-127,-613,-660,-132,66,-6,-693,263,-1210,-1640,-868,250,-79,-765,-2055,148,-767,-856,53,-1358,-503
戸田博文,-83,-510,152,139,-927,115,-425,-207,-64,431,-22,238,-472,135,-368,-239,-174,0,371,135,-4,844,-1419,-403,-133,159,355,-329,-1507,-838,348,-552,-44
友道康夫,610,-540,0,328,-200,49,850,-735,236,73,-84,223,522,-34,-3,-674,-327,38,-428,-147,133,-302,-320,539,178,116,-471,-132,826,-125,-239,397,-99
中内田充,34,-307,-43,-314,95,-150,122,-402,38,276,68,9,72,-175,0,-222,-331,-67,142,-76,118,-226,113,-44,133,-107,335,98,-764,-11,-203,-53,-79
中尾秀正,53,-565,-70,-178,-320,-73,-71,-486,-198,110,45,674,-177,46,-734,-426,-1002,556,1125,354,-174,-139,38,65,36,-30,-61,292,-1531,-612,-679,368,148
中川公成,21,6,0,830,-383,-38,723,-603,-234,-260,237,376,242,-942,55,461,-168,-98,-434,433,-174,164,141,-339,-146,-1067,978,148,-348,440,178,290,-266
中竹和也,1129,648,-150,1408,190,-24,480,1404,178,20,-78,-79,453,94,-147,-589,1932,51,311,238,150,31,1033,589,-68,327,900,390,-131,289,-590,1141,251
中舘英二,-804,-752,-176,-1055,-244,45,-1288,-282,-155,-203,-171,42,-1051,700,-448,-447,-295,64,-68,-435,-89,-785,-303,-187,46,187,-2147,153,132,-493,2,-398,-158
中村直也,164,330,107,-898,1213,436,-209,749,370,-113,-55,2,15,-79,-432,-116,836,-279,-125,144,-208,1274,160,-321,331,132,1052,-139,-716,-219,334,316,379
西園翔太,-97,1119,-29,218,1126,-21,1405,-458,-214,170,-31,961,57,-361,124,-536,528,56,295,698,245,-584,1506,-859,-395,-841,708,564,592,114,-408,669,325
西園正都,-1262,551,-437,-351,-159,-528,-121,-429,-23,-248,-294,-207,72,122,-70,207,-866,330,-155,474,-99,-2147,911,165,-126,-433,-514,163,325,173,-78,-164,-139
西田雄一,-1907,-16,176,-336,-953,53,-1561,245,-276,175,-80,-579,-905,813,-273,-316,-316,-72,-184,995,-79,10,-1208,157,1299,140,-1365,126,-841,264,-850,-143,-449
西村真幸,-789,-1576,0,-399,-1599,-426,-214,-1987,-369,-377,435,-191,128,-1,-110,-367,-934,-158,866,-131,-579,-652,-894,793,540,4,-1799,3,-353,109,-481,-524,-185
根本康広,-864,53,-257,-1261,322,172,-23,-848,-502,-565,431,503,-952,310,14,98,-38,-424,-358,-113,-193,639,-900,-49,-158,-403,-187,60,-829,-113,-435,-436,-356
野中賢二,-727,-311,0,-457,-474,39,-46,-964,-253,-328,206,-114,-126,164,176,-551,-542,61,358,-531,375,-1227,-332,-32,-30,-438,-1257,840,38,-336,-658,429,-174
萩原清　,-558,257,51,-617,321,326,-289,107,20,54,511,-240,48,-238,-113,-42,0,-151,-173,227,-95,588,-137,-206,-145,-54,381,-375,-368,-344,-245,336,0
橋口慎介,-841,-308,0,-1366,227,-178,-729,-447,188,44,254,-195,-51,11,-546,-652,-171,-1,-390,-63,-299,-211,-107,-148,180,-39,-132,-188,-1244,374,-545,148,287
長谷川浩,1718,-531,-64,1743,-502,-108,757,152,53,-182,8,43,-106,200,741,-440,306,-128,42,170,209,-105,648,296,69,392,316,921,-1216,-86,-28,113,59
畠山吉宏,-894,1497,-544,-42,641,-674,-1266,1381,27,87,-416,-36,-1391,1572,-104,14,-14,-479,-337,-292,-649,160,-46,85,71,-283,49,-41,286,468,165,67,-209
畑端省吾,-1580,658,-103,359,-277,-190,-418,484,-232,-201,114,57,-33,-26,-656,727,-124,73,-241,63,-315,-257,207,211,0,-1031,-78,694,-581,-509,184,234,20
羽月友彦,-256,-1571,,-2323,-329,1161,-694,-933,-193,-240,295,-228,-185,-308,-425,305,-873,-53,-433,-120,-1107,-800,4,-108,0,-1079,-831,128,-885,-878,238,-661,320
浜田多実,847,938,0,590,1250,-162,1005,563,125,-37,106,81,230,-278,667,758,-707,323,198,-92,-485,584,1547,-751,-120,120,692,1302,-1089,949,17,328,836
林徹　　,-222,-466,,-1033,321,174,-389,-307,-82,36,-370,85,-233,9,-172,-29,140,106,219,161,257,180,-469,-278,-318,319,332,-402,-1217,-468,-617,73,-203
東田明士,611,-603,-54,-253,326,-54,-319,306,-320,-201,16,-553,1,139,530,38,594,-205,-76,66,662,-858,157,663,841,-52,398,4,-202,930,-185,570,1079
