騎手名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
岩部純二,-660,-1739,,-1986,-551,0,-2441,-401,,,-231,-946,-1368,-150,0,,,0,-51,-397,-841,-1416,-486,0,0
上里直汰,-504,893,,-2460,2851,-395,1999,-913,,-594,24,1315,-3,-335,-86,,,,-301,1652,200,-504,721,-79,
上野翔　,-395,-158,582,-158,-237,572,-158,-395,,,-82,202,127,362,239,-231,-52,88,-79,0,,395,-473,224,
内田博幸,-1435,-409,,1709,-4171,1152,-2060,351,,0,-1090,-1161,-1133,1474,0,7,-200,200,-105,579,-568,-253,-1001,42,5
江田照男,569,-3669,,-2749,-249,178,-1847,-504,0,,-450,-748,-1596,-335,0,-158,0,0,464,-1975,-667,1307,-2222,-82,-81
江田勇亮,0,,-30,0,,-30,0,,,,-64,-3,-21,22,234,-158,-158,258,,,,-375,0,351,
遠藤汰月,-3767,-6073,,-7583,-2147,-237,-6513,-3188,,,638,-1163,-7042,-4263,,,,,-1736,-4073,-1173,-7636,-1706,,
大江原圭,0,0,30,0,0,30,0,,,,-84,-504,-390,161,-97,604,612,146,,0,,164,0,-171,
大久保友,-464,-141,,-379,32,-79,-157,-253,0,0,61,-50,,0,-125,-135,-77,0,-79,-201,-46,0,-782,,
大野拓弥,1117,-724,,1084,-604,57,220,-45,0,0,32,-391,427,-510,0,423,0,532,-349,830,-421,-326,338,674,-434
岡田祥嗣,255,-420,,-275,424,63,-54,633,,,0,0,0,0,-87,76,1098,-26,0,-216,-69,245,-49,0,
荻野極　,2157,1668,,4139,-316,54,2875,389,0,0,470,1803,-50,892,559,261,-185,-360,280,230,249,796,1728,202,-80
荻野琢真,1046,-1628,,1213,-1213,-580,-184,-897,-1246,705,-125,34,0,-395,-599,967,-728,213,107,-74,530,322,-673,-631,-158
小沢大仁,-2372,-1604,,-6818,1825,500,-6129,2344,0,-147,905,-1406,-39,-79,-5199,288,-490,2245,384,-116,-800,-173,-2172,-1958,-725
小野寺祐,-158,-79,-199,-79,-158,-199,-79,-158,,,136,-366,303,-217,109,137,-89,-209,,0,-79,-320,-79,151,0
加藤祥太,-469,373,,308,-307,-158,89,-7,0,0,297,37,0,0,-85,-959,2,-372,-336,245,177,541,-577,-205,-79
金子光希,,,737,,,737,,,,,105,617,-523,-350,214,0,50,536,,,,-14,,980,
亀田温心,678,-1408,,177,-536,-347,-1391,571,0,0,254,-663,-420,0,-610,142,740,90,-27,-371,498,-746,-67,-635,-530
川須栄彦,-1644,-1378,,-1329,-1551,-237,-198,-2665,,,-230,-4,-79,-79,-113,-1063,-379,-933,-673,-398,-382,-734,-1005,-130,-168
川田将雅,329,161,,-46,844,-311,798,-469,-14,0,,44,217,-230,494,-172,-6,39,-199,137,-516,-270,1157,141,258
川端海翼,-1300,79,,-9,-680,-50,1206,-1536,0,-13,-768,-157,1829,0,1003,131,-849,65,1489,532,145,-3291,1893,-79,0
河原田菜,-2758,-1452,,-2431,-1606,-237,-303,-4370,,,27,220,,0,-319,-910,-1517,-2536,-1161,-120,85,-2203,-2332,0,0
川又賢治,-569,-1079,,22,-2130,-69,120,-2090,-695,-618,-75,44,-64,209,-83,400,-305,-485,38,37,-49,-918,-1353,420,113
菊沢一樹,2406,1138,,3221,174,-91,2007,830,0,-261,750,2185,425,-603,179,-316,0,1272,1386,935,-412,2470,-621,415,-654
北村宏司,618,180,,1057,294,-859,1152,-283,0,,1,0,1079,-252,0,-360,64,,188,-527,493,-706,427,682,-321
北村友一,571,198,,-253,667,281,-1277,1854,483,469,-82,-127,-666,-418,-107,-490,1617,110,-185,-564,310,1253,-5,-821,-638
城戸義政,-357,363,,-951,559,-158,441,-692,0,0,0,0,-79,-158,267,-1114,-398,305,-30,433,828,-599,134,-66,0
草野太郎,0,-79,-81,0,-79,-86,0,-79,,,144,-113,75,-224,90,585,-393,-22,,-79,0,-209,-79,39,
黒岩悠　,-158,-126,-821,-186,-60,-821,-107,-174,,,-10,-266,-160,682,-206,-786,-141,-147,0,-79,-79,-946,-189,31,
国分恭介,2847,1862,,2888,1934,-197,1078,3402,0,54,3224,695,-132,0,694,-23,945,83,971,905,105,1476,3076,288,485
国分優作,-756,-561,,320,-1146,-149,-2329,1046,0,0,-176,33,-79,0,-2311,1103,192,180,641,-211,637,-959,-635,-124,34
小坂忠士,0,-79,1091,-79,0,1086,0,-79,,,-8,1,-162,199,1021,145,221,67,0,0,,587,0,508,
小崎綾也,1125,388,,-197,1824,-334,1060,-170,0,0,530,-101,1203,-43,367,-1141,259,804,-49,-669,-131,-153,569,525,181
小林脩斗,-1852,738,,253,-401,-143,-313,275,39,4,-530,-106,-475,437,167,0,-79,1698,128,130,-325,-1118,882,-158,-79
小林美駒,-155,-196,,-836,1251,-1026,-870,399,1000,-374,259,32,-283,-854,-1493,459,,172,555,1626,-358,25,21,-473,0
小林凌大,-572,-58,,-546,-198,-205,-1013,-271,0,0,-391,-600,-531,339,14,,0,0,-200,-526,-196,-142,-498,0,
小牧加矢,,,-29,,,-29,,,,,-84,63,-25,545,-200,133,-175,55,,,,-176,,101,
木幡育也,460,-533,,-272,-201,-128,-645,-26,,,249,-59,-706,-1099,-108,-158,0,0,195,101,-456,-736,4,-79,0
木幡巧也,-640,473,,875,-405,-649,1522,-1294,-552,831,106,97,1252,-1633,0,,0,,-24,-1554,-455,955,-1476,656,-25
木幡初也,226,-950,,-74,-659,-65,-1216,328,0,0,-150,-187,-731,661,-227,112,-77,0,63,-966,-125,639,-981,12,107
斎藤新　,-2155,647,,32,-1369,48,-403,-1090,782,-1258,393,-575,-269,-246,504,-197,-179,-547,-170,339,-81,401,-1454,-385,29
酒井学　,-1013,-660,,-438,-1806,673,-698,-801,,399,-207,59,302,0,-960,645,-668,-598,-469,-652,38,-2118,893,-250,-56
坂井瑠星,-634,1239,,691,-66,140,884,-274,7,0,0,-33,304,22,857,-806,470,-203,-276,572,-723,1130,221,-191,24
坂口智康,,,737,,,737,,,,,76,319,-290,315,88,120,508,-316,,,,828,,-235,
佐々木大,796,-1647,,1158,-2305,180,-834,332,-746,1486,-188,-190,-1372,143,766,-324,14,563,1033,-470,79,-258,344,-832,-448
佐藤翔馬,889,-188,,1683,-2226,-395,-173,1035,0,,733,-1030,-1272,1530,756,,0,0,281,-1430,-465,-19,650,0,0
鮫島克駿,165,1757,,-467,2084,169,-137,1916,167,316,463,-254,-315,213,295,436,546,-44,-574,1200,1138,547,-296,669,192
鮫島良太,-376,1244,,307,984,-292,-91,1496,,,304,-68,0,0,240,529,499,-104,358,127,-122,115,616,-2,0
柴田大知,-1682,-1013,,-1918,-1015,324,-2875,387,0,172,-3,-370,-2547,485,44,-237,0,-868,-321,-528,-882,-542,-1005,-244,-219
柴田裕一,-2851,-1013,,948,-4275,-274,120,-4239,-226,-1512,-1097,601,205,-79,-819,774,856,-2184,245,206,-135,-2761,-559,-225,193
柴田善臣,-502,437,,102,-31,0,88,-76,0,0,-16,0,173,-8,-224,-106,0,0,-295,-77,41,197,-417,-42,-129
嶋田純次,1472,-84,,2130,-605,-351,2298,-489,-82,164,-206,595,2077,-233,-477,-158,0,0,779,656,1055,-336,833,-159,-129
菅原隆一,-1468,-1433,,-1384,-776,-237,-584,-2104,-158,254,-237,174,-358,-1736,-395,-158,0,-237,-395,-259,968,-973,-1640,-79,-79
菅原明良,274,-314,,1872,-1693,-121,1516,-1499,0,,74,228,1268,-2134,78,-168,516,0,73,296,-506,267,-711,421,785
杉原誠人,1191,-1224,,281,-501,-548,-165,323,0,144,92,288,-692,507,-77,-316,-316,-473,358,462,-143,-309,76,1078,1193
高倉稜　,-8,44,,-490,68,65,-233,326,51,0,0,-93,-103,-21,-152,-845,1006,-428,293,-395,-426,-341,739,-329,-17
高杉吏麒,2034,6715,,9676,-212,-7,1416,8033,0,0,401,-166,-73,,1526,4136,3431,1795,2076,2185,1507,3732,3084,-898,-1258
高田潤　,0,-100,-88,0,-100,-89,0,-81,,,133,-121,145,-508,-205,94,67,32,,-79,-79,-217,-158,106,0
田口貫太,55,3716,,3723,336,103,-1006,4255,,,-380,198,25,0,-1451,3781,-76,123,-515,537,-639,1764,2988,-1386,-1224
武豊　　,-2039,-310,,-1193,-958,-154,-249,-2070,-466,-16,-269,-31,-91,-51,-107,-882,-682,0,-356,-306,-551,-824,-789,668,303
太宰啓介,475,750,,-9,820,857,551,1085,,,-25,292,-79,0,254,685,-130,411,36,-35,984,-969,1018,103,-97
田辺裕信,1091,-541,,102,66,366,735,-66,0,,334,17,591,-387,51,78,-47,0,322,-654,-37,-99,716,-493,-322
谷原柚希,-2051,-224,,-853,-1105,,-409,-1304,,,78,-868,353,-1657,-237,,,,-158,-848,-158,-2525,-227,,
田村太雅,0,-158,-598,-158,0,-598,0,-158,,,7,50,-13,-316,-22,-237,-158,-401,0,-158,,-893,0,46,
田山旺佑,-1168,3164,,4655,-1426,-631,214,1861,,,177,-130,,,416,2812,-4824,3069,-964,1727,347,-86,1821,-79,-79
丹内祐次,1654,54,,-913,2149,334,-275,1778,1214,253,-737,539,-1892,-232,-389,602,-213,858,861,123,-2298,697,2772,-653,214
団野大成,-285,3031,,677,1942,101,1175,1582,0,0,0,149,1804,-89,-250,-548,1625,438,894,1129,-762,-810,3623,201,404
土田真翔,-65,-1572,208,-31,-1395,126,-668,-593,0,0,-121,-515,-947,-606,236,633,-316,-454,-237,-688,-158,62,-256,-454,
角田大和,1313,1303,,1310,1507,-37,1707,776,0,0,-110,124,42,70,1789,1260,229,-519,134,891,194,-372,2104,308,-552
津村明秀,1585,-338,,490,298,611,2338,-1008,,0,-309,1062,683,-228,0,-113,-636,67,579,-966,651,2377,-1698,-492,-31
Ｍ．デム,902,582,,615,967,-102,524,1047,0,0,-3,0,-48,160,566,361,1190,-460,260,-237,224,903,425,-124,-89
戸崎圭太,-179,-1758,,-1200,-779,-47,-811,-1094,-157,348,24,-370,-427,-784,-91,-346,-111,,-1079,-717,-669,330,-1243,-1,49
富田暁　,-689,47,,-695,-150,-22,-97,-602,0,0,-144,-196,0,81,574,-44,-28,0,-126,-126,-131,170,-737,99,153
中井裕二,-1920,456,,397,-853,-307,549,-1595,0,130,-296,-104,155,155,342,-663,-331,-451,-540,-154,576,-1077,406,-520,-79
長岡禎仁,-1647,3019,,414,1028,-631,1037,395,0,,-40,-283,76,753,1243,-490,689,-253,469,932,-10,2436,-1060,149,-61
永島まな,-3389,-3116,,-2446,-4103,5,-2458,-4203,0,0,-946,-379,87,-237,-2091,-365,-981,-1716,-1170,-855,-839,-2841,-1940,-614,-363
長浜鴻緒,1531,786,,864,1673,-431,452,1497,0,-159,-15,-338,2239,2247,-506,,332,,248,1235,-309,-226,2830,-237,
中村将之,,0,-802,0,,-802,0,,,,-47,-97,-71,-89,-135,-146,-16,-349,,0,,-411,0,-409,
難波剛健,0,-79,400,0,-79,399,-79,0,,,-97,423,83,-429,-246,143,160,174,0,0,0,640,-79,-175,
西谷誠　,,,-12,,,-12,,,,,0,-29,-89,-31,273,131,-140,70,,,,-100,,71,
西塚洸二,231,-83,,-1400,1608,-401,1305,-1795,0,0,-64,220,109,-126,1142,-640,72,-407,498,224,-162,1025,-681,83,86
西村淳也,953,-597,,424,262,-127,342,138,0,0,21,0,160,-149,291,468,-385,0,24,-91,298,274,-452,626,411
西村太一,-1070,32,0,-281,-178,-146,-246,-139,,,-56,-91,-177,-124,0,-79,-79,0,-552,-4,-86,-23,-188,-473,-158
野中悠太,-1165,-922,,-30,-2069,176,18,-2246,,-316,-485,-185,159,-907,-243,82,-113,0,239,-347,-708,-350,-855,123,132
橋木太希,-1155,-1314,,-931,-2006,-237,1321,-4708,48,-1341,-362,-409,475,,1162,-922,-1995,-234,77,469,490,-2250,-1043,-79,-79
浜中俊　,1107,-601,,467,183,-13,-420,1127,600,-161,,0,-387,54,-153,851,-198,-12,917,-471,225,-27,-861,1050,350
原優介　,-2587,-351,,-1496,-1187,139,-369,-2011,-473,394,-951,-379,345,-575,2,0,0,0,259,-1681,-339,-2246,103,967,87
原田和真,-1414,475,,520,-754,-473,1243,-1435,-460,-2288,-491,-111,220,-711,2084,55,0,0,-1496,441,1737,-4727,2828,0,0
伴啓太　,0,0,-303,0,0,-303,0,0,,,55,166,-82,-705,244,-150,-358,-100,0,0,0,-344,0,24,
菱田裕二,-2088,1730,,-934,-138,129,-840,283,-12,-54,155,138,-56,-40,-2113,-756,1127,-151,-858,-599,-355,-589,207,-98,-345
藤岡佑介,1429,897,,269,2125,-159,359,2012,620,-288,0,-5,-281,1422,434,735,152,240,486,184,368,1178,666,308,237
藤懸貴志,152,216,,-632,592,163,-219,516,22,-158,160,421,83,-154,-1184,-386,-131,840,595,490,-385,411,140,-117,-565
舟山瑠泉,2153,-37,,369,2613,-1420,490,1447,-45,213,1191,440,-74,-20,-158,,,,1296,821,290,-2686,3973,-473,-79
古川奈穂,-822,-49,,273,-1439,401,758,-1472,-1264,98,897,7,0,0,976,-647,-550,96,-1170,-180,56,-1513,980,-531,-237
古川吉洋,1896,-1063,,-44,1159,-170,508,516,54,-1448,-224,-175,-1105,64,796,-385,826,956,1009,-669,-1009,603,-139,-119,568
松岡正海,1526,-2061,,-1050,573,133,-2162,1728,1304,779,-73,-44,-1721,1247,-379,0,-439,0,685,-787,150,178,-909,216,187
松本大輝,-35,-39,,1188,-2116,1422,-887,1294,-1204,868,-213,-333,106,-15,-344,503,-683,943,-827,-450,281,94,-177,120,142
松山弘平,-2816,816,,-968,-342,-715,-303,-1567,308,,0,-182,494,-654,-483,-508,-225,-454,-567,74,-154,-1217,-1104,104,-89
松若風馬,1215,2613,,2696,1698,-511,1420,2286,178,-533,118,30,-164,-108,1383,323,1691,94,-496,1610,867,1431,1065,747,969
的場勇人,-901,-1225,,-1908,-255,-237,-1054,-631,0,219,-16,-139,-795,-685,-108,,0,-868,-947,-631,0,70,-2991,-79,
黛弘人　,137,1281,,-114,1452,46,-1101,2261,776,231,224,-70,-572,1052,-1351,0,-79,-26,532,-601,323,413,1221,-284,-79
丸田恭介,52,1148,,1602,-780,164,-530,2175,-79,0,17,209,-563,2212,-391,-79,-3,157,-114,-139,1267,-192,1062,-776,-284
丸山元気,620,717,,1128,537,-278,1123,223,-222,-105,-91,583,37,909,494,41,-172,286,-22,702,41,760,-867,1477,-199
三浦皇成,-899,1764,,996,-24,-40,171,687,-79,-29,695,-480,1081,402,-108,-251,-23,,-518,1642,-176,1075,348,-524,-412
水沼元輝,-703,-872,63,-1702,63,-115,-1091,-288,,0,-1133,-1047,-1293,-2812,-71,219,899,513,-466,993,-512,1596,-2446,-631,
蓑島靖典,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,0,
幸英明　,-1683,-661,,-2216,-485,279,-740,-1598,,0,0,0,-1126,-95,-254,-247,-888,-421,-402,-330,-46,-1206,-1006,285,325
武藤雅　,-3230,694,,-555,-1391,-263,-1793,-433,0,-247,-578,-853,-495,477,-547,-4,-79,0,-1204,1322,-353,472,-1563,-151,-157
森一馬　,0,0,-22,0,0,-23,0,0,,,-92,-289,-129,327,110,-125,-59,167,0,0,0,217,0,-168,
森田誠也,126,2818,,524,3297,-552,-265,3519,1517,967,-395,128,,-79,-420,-511,2315,,-369,1036,-631,-924,3626,,
横山和生,295,742,,-264,1042,130,-945,1760,278,-122,15,0,-694,808,0,370,118,0,-134,55,402,-47,6,363,-134
横山武史,-119,-2781,,-1275,-1532,-74,-2164,-878,-281,574,-283,0,-2171,-669,104,-458,-187,478,77,-952,505,-365,-2194,-169,410
横山典弘,-945,969,,-657,603,-367,575,-601,219,,-472,-1,160,395,233,-620,310,0,-325,447,-50,418,-805,76,178
横山琉人,-102,609,,-759,1717,-353,677,27,7,0,577,292,252,-60,147,-631,190,0,-253,388,564,-1084,1578,292,202
吉田隼人,-1074,-2,,-1870,806,107,22,-808,-483,13,748,325,172,-225,-254,-202,42,-403,-843,-22,-539,8,109,-493,-228
吉田豊　,-1035,212,,-266,-68,-378,-93,-624,0,579,-100,-296,-42,-443,134,-237,-158,0,269,-109,51,-619,29,-113,-60
吉村誠之,-1276,-3130,,-1118,-2477,-607,-578,-3498,,,341,0,-24,149,-584,-297,-5576,331,-252,-1828,-909,695,-2696,222,1102
ルメール,831,-108,,45,191,487,1062,-494,-101,-15,-122,228,1134,-240,-218,-98,71,,345,40,168,-197,553,-75,158
鷲頭虎太,624,2501,-199,1794,1545,-480,969,1936,-15,1184,243,845,300,22,458,678,127,-77,915,1091,117,488,2384,28,-79
和田陽希,-3525,2294,,1344,-2889,1193,549,-1469,1246,-2345,-638,80,,,732,2009,-966,,-11,777,-1420,-541,569,,
和田竜二,-251,-2468,,-723,-2060,161,-479,-1358,0,0,634,0,-89,0,-449,661,-1325,-288,-101,-1229,-25,-114,-1104,-1105,-315
