場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
東京,6,7,ジーティーブラック,三浦皇成,1081.0,348.0,1764.0,996.0,171.0,1642.0,6002.0,2.0
東京,6,8,ザーフィル,レーン　,-713.0,-732.0,-502.0,-267.0,-634.0,354.0,-2494.0,10.0
東京,6,9,フクシマブリルハム,田辺裕信,591.0,716.0,-541.0,102.0,735.0,-654.0,949.0,6.0
東京,6,10,ビービークローサー,坂井瑠星,304.0,221.0,1239.0,691.0,884.0,572.0,3911.0,3.0
東京,6,11,タケルムサシ,佐々木大,-1372.0,344.0,-1647.0,1158.0,-834.0,-470.0,-2821.0,12.0
東京,6,12,シビックアスコット,岩田康誠,42.0,237.0,-51.0,-1436.0,-327.0,-217.0,-1752.0,9.0
東京,6,13,リアライズタキオン,ディー　,-2455.0,-1061.0,-2054.0,-1154.0,-2455.0,-1051.0,-10230.0,14.0
東京,6,14,サマーマッドネス,武豊　　,-91.0,-789.0,-310.0,-1193.0,-249.0,-306.0,-2938.0,13.0
東京,6,15,ヴェネチアンキング,大野拓弥,427.0,338.0,-724.0,1084.0,220.0,830.0,2175.0,4.0
東京,6,16,テイクオンミー,津村明秀,683.0,-1698.0,-338.0,490.0,2338.0,-966.0,509.0,7.0
東京,7,1,ザローズハーツ,矢野貴之,,,,,,,,
東京,7,2,レインボーラッキー,北村友一,-666.0,-5.0,198.0,-253.0,-1277.0,-564.0,-2567.0,11.0
東京,7,3,ピラニアキッス,横山和生,-694.0,6.0,742.0,-264.0,-945.0,55.0,-1100.0,8.0
東京,7,4,コルヴィル,木幡巧也,1252.0,-1476.0,473.0,875.0,1522.0,-1554.0,1092.0,5.0
東京,7,5,メルシージュテーム,横山武史,-2171.0,-2194.0,-2781.0,-1275.0,-2164.0,-952.0,-11537.0,14.0
東京,7,6,ブルージュ,岩田康誠,42.0,237.0,-51.0,-1436.0,-327.0,-217.0,-1752.0,9.0
東京,7,7,キャットテイル,ルメール,1134.0,553.0,-108.0,45.0,1062.0,40.0,2726.0,4.0
東京,7,8,マオノクラッシュ,長浜鴻緒,2239.0,2830.0,786.0,864.0,452.0,1235.0,8406.0,1.0
東京,7,9,エイミームーン,佐々木大,-1372.0,344.0,-1647.0,1158.0,-834.0,-470.0,-2821.0,12.0
東京,7,10,ケープウィッカム,三浦皇成,1081.0,348.0,1764.0,996.0,171.0,1642.0,6002.0,2.0
東京,7,11,ラルガメンテ,坂井瑠星,304.0,221.0,1239.0,691.0,884.0,572.0,3911.0,3.0
東京,7,12,ミサビスケッツ,ディー　,-2455.0,-1061.0,-2054.0,-1154.0,-2455.0,-1051.0,-10230.0,13.0
東京,7,13,ハヌル,江田照男,-1596.0,-2222.0,-3669.0,-2749.0,-1847.0,-1975.0,-14058.0,15.0
東京,7,14,パッションディーバ,津村明秀,683.0,-1698.0,-338.0,490.0,2338.0,-966.0,509.0,6.0
東京,7,15,ベリーベリーベリー,佐藤翔馬,-1272.0,650.0,-188.0,1683.0,-173.0,-1430.0,-730.0,7.0
東京,7,16,クラリネットソナタ,レーン　,-713.0,-732.0,-502.0,-267.0,-634.0,354.0,-2494.0,10.0
東京,8,1,アセンブリールーム,戸崎圭太,-427.0,-1243.0,-179.0,-1200.0,-811.0,,-3860.0,8.0
東京,8,2,チャイボーグ,長浜鴻緒,2239.0,2830.0,1531.0,864.0,452.0,,7916.0,1.0
東京,8,3,スタニングヴュー,佐藤翔馬,-1272.0,650.0,889.0,1683.0,-173.0,,1777.0,3.0
東京,8,4,トロピカルティー,津村明秀,683.0,-1698.0,1585.0,490.0,2338.0,,3398.0,2.0
東京,8,5,アトリウムチャペル,横山典弘,160.0,-805.0,-945.0,-657.0,575.0,,-1672.0,7.0
東京,8,6,ツインピークス,佐々木大,-1372.0,344.0,796.0,1158.0,-834.0,,92.0,4.0
東京,8,7,ソニックライン,岩田康誠,42.0,237.0,36.0,-1436.0,-327.0,,-1448.0,5.0
東京,8,8,ナクライト,横山和生,-694.0,6.0,295.0,-264.0,-945.0,,-1602.0,6.0
東京,9,1,ヤコブセン,岩田康誠,42.0,237.0,36.0,1457.0,-327.0,,1445.0,2.0
東京,9,2,アルゲンテウス,横山和生,-694.0,6.0,295.0,1042.0,-945.0,,-296.0,5.0
東京,9,3,マイネルフォルツァ,矢野貴之,,,,,,,,
