rlevel,topk,place_low_min,place_high_max,pop_min,pop_max,diff_pop_min,bets,win_roi,win_hit,place_roi,place_hit,umaren_box_bets,umaren_box_roi,umaren_box_races,umaren_axis1_bets,umaren_axis1_roi,umaren_axis1_races
1,2,1.2,3.5,3,8,1,117,93.24786324786325,0.1623931623931624,70.42735042735043,0.38461538461538464,14,187.14285714285714,14,14,187.14285714285714,14
1,2,1.3,3.5,2,6,0,235,110.8936170212766,0.20425531914893616,83.31914893617022,0.451063829787234,33,90.9090909090909,33,33,90.9090909090909,33
1,2,1.3,3.5,2,6,1,121,101.48760330578513,0.18181818181818182,74.13223140495869,0.4049586776859504,16,136.875,16,16,136.875,16
1,2,1.3,3.5,2,7,0,238,109.49579831932775,0.20168067226890757,83.31932773109244,0.4495798319327731,34,88.23529411764706,34,34,88.23529411764706,34
1,2,1.3,3.5,2,7,1,124,99.03225806451613,0.1774193548387097,74.35483870967742,0.4032258064516129,17,128.82352941176472,17,17,128.82352941176472,17
1,2,1.3,3.5,3,7,0,200,110.85000000000001,0.185,78.75,0.415,23,56.086956521739125,23,23,56.086956521739125,23
1,2,1.3,3.5,3,7,1,110,95.45454545454545,0.16363636363636364,68.63636363636364,0.36363636363636365,13,99.23076923076923,13,13,99.23076923076923,13
1,2,1.3,3.5,3,8,0,200,110.85000000000001,0.185,78.75,0.415,23,56.086956521739125,23,23,56.086956521739125,23
1,2,1.3,3.5,3,8,1,110,95.45454545454545,0.16363636363636364,68.63636363636364,0.36363636363636365,13,99.23076923076923,13,13,99.23076923076923,13
1,2,1.4,3.5,2,6,0,197,104.46700507614213,0.18274111675126903,82.69035532994924,0.43147208121827413,26,31.153846153846153,26,26,31.153846153846153,26
1,2,1.4,3.5,2,6,1,104,88.5576923076923,0.15384615384615385,73.65384615384616,0.38461538461538464,12,0.0,12,12,0.0,12
1,2,1.4,3.5,2,7,0,200,102.89999999999999,0.18,82.69999999999999,0.43,27,30.0,27,27,30.0,27
1,2,1.4,3.5,2,7,1,107,86.07476635514018,0.14953271028037382,73.92523364485982,0.38317757009345793,13,0.0,13,13,0.0,13
1,2,1.4,3.5,3,7,0,178,98.53932584269664,0.15730337078651685,77.35955056179775,0.39325842696629215,21,0.0,21,21,0.0,21
1,2,1.4,3.5,3,7,1,98,75.81632653061224,0.12244897959183673,66.63265306122449,0.336734693877551,11,0.0,11,11,0.0,11
1,2,1.4,3.5,3,8,0,178,98.53932584269664,0.15730337078651685,77.35955056179775,0.39325842696629215,21,0.0,21,21,0.0,21
1,2,1.4,3.5,3,8,1,98,75.81632653061224,0.12244897959183673,66.63265306122449,0.336734693877551,11,0.0,11,11,0.0,11
1,2,1.5,3.5,2,6,0,154,82.07792207792208,0.12987012987012986,75.45454545454545,0.37012987012987014,20,0.0,20,20,0.0,20
1,2,1.5,3.5,2,6,1,88,76.47727272727273,0.125,66.47727272727273,0.32954545454545453,11,0.0,11,11,0.0,11
1,2,1.5,3.5,2,7,0,157,80.50955414012739,0.12738853503184713,75.60509554140128,0.36942675159235666,21,0.0,21,21,0.0,21
1,2,1.5,3.5,2,7,1,91,73.95604395604396,0.12087912087912088,67.03296703296702,0.32967032967032966,12,0.0,12,12,0.0,12
1,2,1.5,3.5,3,7,0,148,79.72972972972973,0.12162162162162163,73.91891891891892,0.3581081081081081,18,0.0,18,18,0.0,18
1,2,1.5,3.5,3,7,1,87,67.70114942528735,0.10344827586206896,63.9080459770115,0.3103448275862069,11,0.0,11,11,0.0,11
1,2,1.5,3.5,3,8,0,148,79.72972972972973,0.12162162162162163,73.91891891891892,0.3581081081081081,18,0.0,18,18,0.0,18
1,2,1.5,3.5,3,8,1,87,67.70114942528735,0.10344827586206896,63.9080459770115,0.3103448275862069,11,0.0,11,11,0.0,11
1,2,1.6,3.5,2,6,0,118,72.45762711864407,0.11016949152542373,73.22033898305085,0.3389830508474576,15,0.0,15,15,0.0,15
1,2,1.6,3.5,2,6,1,70,55.42857142857143,0.08571428571428572,55.714285714285715,0.2571428571428571,9,0.0,9,9,0.0,9
1,2,1.6,3.5,2,7,0,121,70.66115702479338,0.10743801652892562,73.47107438016529,0.33884297520661155,16,0.0,16,16,0.0,16
1,2,1.6,3.5,2,7,1,73,53.15068493150685,0.0821917808219178,56.849315068493155,0.2602739726027397,10,0.0,10,10,0.0,10
1,2,1.6,3.5,3,7,0,117,69.57264957264957,0.10256410256410256,72.47863247863248,0.3333333333333333,14,0.0,14,14,0.0,14
1,2,1.6,3.5,3,7,1,71,48.87323943661972,0.07042253521126761,56.056338028169016,0.2535211267605634,9,0.0,9,9,0.0,9
1,2,1.6,3.5,3,8,0,117,69.57264957264957,0.10256410256410256,72.47863247863248,0.3333333333333333,14,0.0,14,14,0.0,14
1,2,1.6,3.5,3,8,1,71,48.87323943661972,0.07042253521126761,56.056338028169016,0.2535211267605634,9,0.0,9,9,0.0,9
1,2,1.7,3.5,2,6,0,93,69.6774193548387,0.0967741935483871,72.47311827956989,0.3225806451612903,10,0.0,10,10,0.0,10
1,2,1.7,3.5,2,6,1,56,41.42857142857143,0.05357142857142857,48.75,0.21428571428571427,6,0.0,6,6,0.0,6
1,2,1.7,3.5,2,7,0,96,67.5,0.09375,72.8125,0.3229166666666667,11,0.0,11,11,0.0,11
