rlevel,topk,place_low_min,place_high_max,pop_min,pop_max,diff_pop_min,bets,win_roi,win_hit,place_roi,place_hit,umaren_box_bets,umaren_box_roi,umaren_box_races,umaren_axis1_bets,umaren_axis1_roi,umaren_axis1_races
5,3,1.7,3.5,2,6,1,27,78.14814814814814,0.1111111111111111,121.48148148148148,0.5185185185185185,1,0.0,1,1,0.0,1
5,3,1.7,3.5,2,7,1,27,78.14814814814814,0.1111111111111111,121.48148148148148,0.5185185185185185,1,0.0,1,1,0.0,1
5,4,1.7,3.5,2,6,1,27,78.14814814814814,0.1111111111111111,121.48148148148148,0.5185185185185185,1,0.0,1,1,0.0,1
5,4,1.7,3.5,2,7,1,27,78.14814814814814,0.1111111111111111,121.48148148148148,0.5185185185185185,1,0.0,1,1,0.0,1
5,5,1.7,3.5,2,6,1,27,78.14814814814814,0.1111111111111111,121.48148148148148,0.5185185185185185,1,0.0,1,1,0.0,1
5,5,1.7,3.5,2,7,1,27,78.14814814814814,0.1111111111111111,121.48148148148148,0.5185185185185185,1,0.0,1,1,0.0,1
4,2,2.1,3.5,2,6,1,29,136.55172413793105,0.1724137931034483,120.6896551724138,0.4482758620689655,0,,0,0,,0
5,3,1.7,3.5,3,7,1,26,81.15384615384616,0.11538461538461539,118.46153846153847,0.5,1,0.0,1,1,0.0,1
5,3,1.7,3.5,3,8,1,26,81.15384615384616,0.11538461538461539,118.46153846153847,0.5,1,0.0,1,1,0.0,1
5,4,1.7,3.5,3,7,1,26,81.15384615384616,0.11538461538461539,118.46153846153847,0.5,1,0.0,1,1,0.0,1
5,4,1.7,3.5,3,8,1,26,81.15384615384616,0.11538461538461539,118.46153846153847,0.5,1,0.0,1,1,0.0,1
5,5,1.7,3.5,3,7,1,26,81.15384615384616,0.11538461538461539,118.46153846153847,0.5,1,0.0,1,1,0.0,1
5,5,1.7,3.5,3,8,1,26,81.15384615384616,0.11538461538461539,118.46153846153847,0.5,1,0.0,1,1,0.0,1
5,2,1.7,3.5,2,6,1,26,81.15384615384616,0.11538461538461539,118.07692307692308,0.5,1,0.0,1,1,0.0,1
5,2,1.7,3.5,2,7,1,26,81.15384615384616,0.11538461538461539,118.07692307692308,0.5,1,0.0,1,1,0.0,1
4,2,2.2,3.5,2,7,0,25,158.4,0.2,117.19999999999999,0.44,0,,0,0,,0
4,2,2.2,3.5,3,7,0,25,158.4,0.2,117.19999999999999,0.44,0,,0,0,,0
4,2,2.2,3.5,3,8,0,25,158.4,0.2,117.19999999999999,0.44,0,,0,0,,0
5,3,1.6,3.5,2,6,1,28,75.35714285714286,0.10714285714285714,117.14285714285715,0.5,1,0.0,1,1,0.0,1
5,3,1.6,3.5,2,7,1,28,75.35714285714286,0.10714285714285714,117.14285714285715,0.5,1,0.0,1,1,0.0,1
5,4,1.6,3.5,2,6,1,28,75.35714285714286,0.10714285714285714,117.14285714285715,0.5,1,0.0,1,1,0.0,1
5,4,1.6,3.5,2,7,1,28,75.35714285714286,0.10714285714285714,117.14285714285715,0.5,1,0.0,1,1,0.0,1
5,5,1.6,3.5,2,6,1,28,75.35714285714286,0.10714285714285714,117.14285714285715,0.5,1,0.0,1,1,0.0,1
5,5,1.6,3.5,2,7,1,28,75.35714285714286,0.10714285714285714,117.14285714285715,0.5,1,0.0,1,1,0.0,1
5,4,2.1,3.5,3,7,0,18,136.11111111111111,0.16666666666666666,116.66666666666667,0.4444444444444444,2,0.0,2,2,0.0,2
5,4,2.1,3.5,3,8,0,18,136.11111111111111,0.16666666666666666,116.66666666666667,0.4444444444444444,2,0.0,2,2,0.0,2
5,5,2.1,3.5,3,7,0,18,136.11111111111111,0.16666666666666666,116.66666666666667,0.4444444444444444,2,0.0,2,2,0.0,2
