調教師名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞,2歳,3歳,4歳,5歳以上,休明初戦,休明2走,休明3走,連闘
萱野浩二,187,-1278,9,-555,-351,-34,-388,-450,-354,-275,-852,99,-676,1058,-38,117,-158,276,37,-168,-458,-342,-538,254,19,-545,-332,243,-1199,87,-316,291,-458
河嶋宏樹,578,4272,-398,2091,2228,184,-115,5288,-218,905,20,-158,-630,237,263,4324,428,-504,-666,880,-962,3886,1815,102,256,-248,2910,1012,505,201,285,1710,273
河内洋　,114,-603,,-352,-43,-79,161,-706,66,26,33,-143,-87,-215,343,212,-176,-224,-194,169,231,-333,-356,723,275,157,-205,-2,-299,376,-129,350,0
菊川正達,-889,-1135,143,-1450,-811,263,-1295,-721,573,184,-126,531,-1371,-1256,-403,-315,-236,-93,-229,-138,-787,71,-669,-133,-30,-820,-352,-261,-286,-1657,972,-265,-301
菊沢隆徳,887,-27,15,1349,-223,-138,1340,-639,31,-69,338,938,870,-699,-197,-355,25,153,-143,9,102,304,144,-81,-295,-99,524,241,276,102,898,-128,374
北出成人,1494,1097,13,2726,-134,55,860,1806,358,-364,260,190,1055,112,-290,1035,337,-368,534,956,-247,924,844,-71,-27,254,1260,739,185,101,2104,572,783
木原一良,-517,561,-441,438,-306,-396,-325,40,-46,-331,62,-21,-124,24,-89,-967,90,101,-70,-568,-461,-41,-68,108,462,-164,272,-67,-692,1189,-610,72,438
木村哲也,776,-608,167,242,-296,411,497,-327,56,-83,363,159,480,-20,-130,-468,-206,12,149,-84,223,359,-114,-277,89,206,333,-152,-187,94,-259,123,0
国枝栄　,-1192,-611,-146,-841,-744,-245,-821,-856,30,-239,-492,-525,-78,-472,-287,422,-83,168,-316,-50,-124,-895,-328,-305,-372,-123,-1342,289,-581,-773,-335,-286,0
久保田貴,330,-72,199,470,-388,442,778,-668,-367,-243,449,-151,1080,-472,73,354,47,-393,-84,77,101,75,192,-11,-277,257,-284,37,162,-297,455,-312,66
栗田徹　,-564,-1703,-115,-1913,-356,25,-1202,-990,-390,-455,222,-265,-971,-299,-28,-46,-49,-147,-71,-475,4,-1273,-1311,-96,66,-136,-1931,-427,270,-700,-380,-138,-159
黒岩陽一,358,-373,84,543,-545,114,438,-509,-48,284,-598,-341,1360,-179,-46,87,115,-266,269,-656,23,-754,368,506,164,-233,-581,1038,-161,-475,826,-345,-236
古賀慎明,132,-591,131,73,-260,27,97,-420,-133,-359,-185,-131,390,319,155,0,0,-137,70,-166,-460,631,-225,-109,100,-390,472,115,-448,-362,221,-323,0
小崎憲　,-916,-313,-100,-1968,793,-219,669,-2548,-510,296,-213,-101,924,-84,134,-2258,-498,-577,-491,-1004,-605,-36,-899,-62,190,-1047,-6,-873,148,-665,160,-156,290
