騎手名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
亀田温心,408,-329,,-6,297,-188,-988,1089,-151,-934,1160,-89,-67,-12,-945,-210,63,207,-138,-354,295,-476,908,-642,-199
川須栄彦,-865,-2100,,-1120,-1803,-237,-263,-2819,,,0,-8,-237,-363,-101,-2366,-207,-498,-394,-758,-468,-1040,-955,-109,-122
川田将雅,489,277,,-315,1265,-162,541,186,-110,0,,106,-2,-165,372,-538,159,111,77,376,-588,-101,1256,212,203
川端海翼,-19,491,,1647,-883,170,1007,-137,-182,1491,-687,-709,,-79,1290,973,-289,488,2662,254,98,-2206,2634,-158,-79
河原田菜,-1964,-1876,,-3780,303,-474,116,-4180,,,561,170,,-158,227,-1775,-191,-3426,-2240,-426,318,-2595,-1671,-99,-79
川又賢治,-59,-28,,242,-500,51,159,-557,-167,-80,50,-2,-158,-5,225,-454,40,-165,-6,164,-169,-233,-150,-126,-79
菊沢一樹,2869,2401,,3695,1567,38,2621,2520,0,0,1926,3000,316,175,-321,-8,0,1476,188,1230,627,3343,214,-270,-185
北村宏司,1000,188,,1191,106,31,1520,-7,0,,0,176,1135,62,-512,0,-106,,312,119,332,-177,810,344,-230
北村友一,738,16,,-119,511,285,-1179,1825,1424,1023,-231,-262,-462,-197,-366,-664,205,-35,145,-200,9,1113,274,-309,-470
城戸義政,-444,594,,-1063,1021,0,860,-1403,0,0,58,279,-141,-79,543,-656,-369,-385,-20,116,827,-540,135,-248,0
草野太郎,-79,-237,-216,0,-237,-224,0,-316,,,117,-348,115,-300,-102,1188,-70,-428,,0,0,-557,-237,282,
黒岩悠　,-79,-25,-100,0,-112,-100,0,-84,,,-367,156,5,749,-144,-442,-54,-306,0,-79,0,-391,-55,207,
国分恭介,853,1416,,1811,828,-257,588,1786,0,0,1920,384,0,55,664,-21,162,85,342,810,-64,931,1735,222,341
国分優作,-1303,401,,349,-1056,-75,-1361,926,0,0,37,-26,-79,0,-1261,2396,-52,93,-336,-296,1163,-345,-485,-358,127
小坂忠士,0,-61,709,0,-79,704,0,-79,,,14,-35,-70,102,0,600,28,214,0,-34,0,189,0,461,
小崎綾也,271,113,,-461,1016,-86,1278,-1523,-46,0,801,321,2046,-3,9,-3360,-178,475,-412,-521,359,-2056,1572,225,332
小林脩斗,-2159,-113,,-326,-883,-51,-396,-862,,0,-398,-336,-252,-443,336,0,0,0,-151,-84,68,-1210,70,-237,0
小林美駒,195,-1549,,-935,-339,-711,-938,-896,,-1293,856,-253,-824,-341,0,,,-799,376,372,-94,-1267,-362,-79,0
小林凌大,-1349,-73,,-627,-596,-133,-776,-523,-716,-28,-200,-1090,-245,398,32,,0,-85,-438,-269,150,-1225,-393,-78,
小牧加矢,,,-233,,,-233,,,,,-64,197,-51,220,-205,-112,-106,-31,,,,-198,,-33,
木幡育也,977,-33,,518,175,-44,447,190,0,0,157,361,-203,-669,-27,0,0,0,137,279,-311,826,-247,-110,0
木幡巧也,-867,298,,-122,298,-610,266,-432,,,334,-193,368,-820,0,0,0,,290,-621,397,715,-1843,233,-218
木幡初也,-48,-623,,-130,-479,56,-665,119,-158,0,-144,13,-584,395,-255,336,0,0,111,-382,-4,-343,-189,362,629
斎藤新　,-479,382,,551,-632,83,-654,625,1022,-143,-111,-651,-229,67,438,770,-40,-139,209,415,63,214,-481,-158,24
酒井学　,-167,831,,852,-175,227,-462,1480,0,,0,9,85,-121,-582,2444,2,150,-98,-343,28,-1104,534,528,334
坂井瑠星,767,2127,,2319,444,276,1246,1583,126,118,0,-83,539,602,790,44,216,16,-194,598,-900,1410,1601,473,200
坂口智康,,,812,,,812,,,,,228,108,-102,347,646,-79,,-79,,,,746,,-68,
佐々木大,1146,468,,2205,-818,-150,-175,2169,-257,1930,-290,349,-1373,268,148,-18,,2462,1009,838,1125,537,1173,-1173,-662
佐藤翔馬,-351,-199,,802,-2039,-79,-736,465,0,,-192,-1349,220,1830,602,,0,595,-461,-838,727,648,-2486,-316,0
鮫島克駿,1501,2133,,686,2828,-53,-486,4053,87,278,127,0,-691,675,-338,2203,760,233,-150,1327,1508,2077,-343,884,321
鮫島良太,298,765,,9,939,-118,-286,1701,,,223,-103,-158,393,-35,1840,149,26,374,16,-22,-99,1025,-29,0
柴田大知,-1410,-2164,,-2932,-369,-88,-2210,-1268,0,,-594,-120,-2388,-694,0,-79,0,0,-281,-34,-233,-1585,-1272,-121,0
柴田裕一,-3832,-709,,695,-4352,-181,-1463,-2814,,,-1747,1053,,-79,-3191,738,-136,-655,-172,353,38,-1251,-2402,-474,-158
柴田善臣,-992,1347,,262,-139,-234,471,-306,4,0,-43,-205,662,-456,-104,-116,0,0,-413,-6,138,283,-599,130,-111
嶋田純次,768,-372,,61,-199,-28,1069,-301,0,150,20,-69,1041,-414,0,0,0,-165,625,11,1151,-40,-965,-117,16
菅原隆一,-736,-751,,-641,-639,0,-101,-909,,,-316,571,-452,-632,-158,-79,0,0,-79,-127,184,-732,-525,0,
菅原明良,-53,583,,1418,-762,-137,836,-353,0,,174,-22,913,-1023,251,315,897,0,-11,820,-415,883,-899,614,713
杉原誠人,1564,-1340,,-377,548,-346,-321,564,70,0,-322,71,-304,298,-329,-79,-158,77,240,386,550,-721,459,584,1234
高倉稜　,152,78,,296,-268,-49,-374,474,314,0,-199,-63,0,-6,-238,-465,296,-169,400,-262,-108,136,372,-275,-2
高杉吏麒,-1911,4010,,2079,945,-397,1183,1622,-230,-175,1524,-79,310,,901,916,-474,115,2240,336,59,1861,1233,-1027,-395
高田潤　,-79,-111,-70,0,-97,-73,-79,-78,,,81,-203,357,-293,-108,-47,41,-23,0,0,,-186,-158,124,-79
田口貫太,-433,1694,,1283,-383,946,-229,1675,,,-130,-37,-348,-314,-1,3288,-355,-126,-164,-1849,-979,-1090,3844,-1904,-894
武豊　　,-1575,40,,-765,-777,111,-300,-1109,-296,-209,0,0,-6,-81,-174,-1153,-51,120,-353,-42,-384,-700,-382,550,21
太宰啓介,-55,795,,488,749,-23,394,800,,,-38,54,0,-158,338,1990,-83,247,-19,191,282,791,242,-76,-204
田中健　,-320,442,,262,-113,0,-64,541,0,,20,-135,0,0,-65,-96,111,-25,-39,46,-181,1505,-484,-28,-79
田辺裕信,1455,-661,,-105,212,684,586,260,133,,333,29,353,-133,90,262,9,0,252,-407,-59,425,624,-699,-660
田村太雅,0,0,-587,0,0,-587,0,0,,,-220,229,57,-158,74,-294,0,-505,0,,,-908,0,257,
丹内祐次,3364,-92,,-600,3048,621,60,3082,1612,1210,-603,776,-1109,-784,-117,216,0,1146,962,-243,-1273,665,3505,-566,-252
団野大成,-716,3499,,742,1736,75,1821,729,0,0,177,520,1417,-448,311,-553,229,181,177,487,-24,-1726,3846,44,405
土田真翔,-17,-1185,2750,670,-1334,2400,-1368,-61,0,-158,495,-72,-474,-969,533,2253,0,-790,-474,-232,-395,1190,-290,56,
角田大和,1907,1480,,2205,1488,31,2232,1074,0,0,179,220,539,-77,1785,4022,-14,-533,326,648,-112,-93,2809,701,-711
津村明秀,1316,-40,,1782,-787,229,1270,-302,,-395,-95,940,144,361,-56,-300,-402,0,337,-578,494,707,-1017,232,211
Ｍ．デム,2450,1080,,2178,1567,-31,1184,2596,0,0,-40,607,189,389,476,2006,906,-521,789,-713,655,1627,1069,-83,-177
戸崎圭太,100,-1345,,-943,-349,-1,-1178,203,-58,0,437,-111,-1122,-410,-72,-384,103,,-378,-474,-620,318,-492,-231,283
富田暁　,-2302,-761,,-2252,-915,115,-854,-2177,-549,19,63,-658,-61,-310,-146,-1875,3,-1094,-351,-440,-533,-366,-1584,-533,-216
中井裕二,-1156,764,,623,-455,-266,380,-531,0,,-303,58,96,40,129,1035,95,-679,-398,38,491,-1110,849,-522,0
長岡禎仁,-414,3290,,1691,267,0,1192,940,0,,14,101,-221,-230,1208,467,132,233,420,990,638,1589,-254,171,71
永島まな,-4025,-4754,,-3380,-5089,-257,-4976,-4167,0,0,-699,-1359,-122,-395,-3084,-1526,-124,-1554,-1987,-1509,-1033,-2700,-3838,-1031,-550
長浜鴻緒,629,-605,,-1080,1851,-953,-718,254,8,825,-563,691,-880,-145,-750,,,,926,3080,-1682,1492,-241,,
中村将之,,0,-1474,0,,-1474,0,0,,,-269,-6,-240,-171,-137,-148,-14,-675,,0,,-763,0,-722,
難波剛健,0,-79,160,0,-79,159,0,-79,,,-66,197,31,65,52,-26,0,8,0,0,0,153,0,-2,
西谷誠　,,,10,,,10,,,,,0,-12,-21,18,0,272,-31,83,,,,-197,,152,
西塚洸二,415,1139,,708,914,-367,3756,-3214,0,0,-594,1295,207,0,2716,-1647,188,-1456,788,1132,-731,2027,-644,245,103
西村淳也,1312,-1390,,737,-141,-340,892,-942,-802,0,32,15,730,-863,727,-295,-637,127,318,-354,789,-474,-840,1315,1138
西村太一,-1027,-82,0,-356,-153,0,-621,112,,,-62,-190,-351,196,-79,,0,0,0,86,-107,-107,-121,-79,
野中悠太,-242,-243,,551,-1354,22,50,-583,,-395,81,-407,342,346,-252,202,0,0,232,-680,-81,473,-415,-111,-144
橋木太希,1875,-1734,,1421,-2176,,1697,-3140,,,234,57,-79,,1649,-3081,-736,-27,375,629,429,-775,-495,,
浜中俊　,1385,-558,,448,405,-51,-50,990,438,127,,24,-24,488,-48,388,-73,20,501,-433,583,210,-568,845,437
原優介　,-2557,644,,-1704,-373,448,122,-1489,0,,-551,-459,1603,-315,-202,-553,-59,0,-520,-1617,-500,-4128,2126,3113,800
原田和真,892,-384,,1371,-1005,-137,1664,-662,0,0,-1280,-334,242,-917,3345,0,38,299,-356,339,1654,-3300,2055,0,0
伴啓太　,0,-237,491,0,-237,491,-158,-79,,,161,70,-197,-393,557,-236,10,369,0,-79,-79,255,-79,186,
菱田裕二,-71,1607,,632,520,484,84,1842,55,-492,265,59,272,340,-582,1465,160,213,-316,-63,20,144,714,778,73
藤岡佑介,1203,1475,,597,2245,-114,-50,2795,960,-98,0,0,-407,229,405,783,161,428,400,237,661,1701,739,9,32
藤懸貴志,296,981,,708,236,172,-292,1535,193,,-37,500,237,-243,-1120,771,115,585,246,557,-317,554,802,-661,-229
古川奈穂,-646,-791,,-977,-842,635,-289,-1283,-1124,29,902,61,-201,71,-210,-1229,-772,0,-377,-208,63,-1108,-388,-82,-79
古川吉洋,2441,-1488,,1137,865,-292,666,412,149,-940,37,-179,-260,94,960,-1078,379,80,1196,-625,-455,505,33,192,545
松岡正海,1912,-2983,,213,-380,-169,-1794,965,0,1482,18,21,-1076,157,-109,100,0,70,648,-54,-46,379,-2184,1078,517
松本大輝,-740,336,,378,-554,169,-1024,710,0,81,-1,-657,-376,0,-84,-1126,-78,818,-484,-285,3,177,-344,-108,-79
松山弘平,-2209,931,,-605,-349,-292,-135,-1083,435,,283,-497,1275,-330,-473,-623,-146,-191,-479,774,-382,-163,-1163,-21,175
松若風馬,135,1109,,871,601,-276,131,115,,,31,146,15,-166,0,-891,381,45,-385,508,-122,1357,59,379,258
的場勇人,-577,-1302,,-1763,-380,0,-1316,-303,2,0,375,-11,-1642,-822,0,,0,0,-194,-711,-452,-133,-1710,,
黛弘人　,383,1517,,-86,1440,338,-788,2516,681,-117,1292,-45,-695,639,-348,-79,0,-51,110,-381,-125,1090,2117,-218,-316
丸田恭介,-385,1727,,706,840,-275,444,1212,0,0,-549,308,-400,2211,-47,0,0,-13,53,-166,785,-353,438,218,128
丸山元気,-921,-955,,-725,-894,-373,-494,-1593,-118,-182,-597,255,-485,132,-47,30,-503,-80,-475,542,-264,-218,-2068,170,-547
三浦皇成,-435,1338,,328,623,-54,-202,1109,0,68,930,-386,882,566,-754,-683,0,,-523,1077,175,1497,-477,-682,-917
水口優也,-205,2199,,1490,805,-121,991,1375,-210,10,0,0,378,-30,701,2715,207,-56,-521,305,-204,1845,-388,127,-100
水沼元輝,-1524,-315,-1090,-867,-669,-1219,-655,-847,,0,-1104,-1382,-80,-651,-162,,0,1415,-358,769,0,-789,-1543,-632,
蓑島靖典,,0,82,0,,82,0,,,,0,0,0,-41,0,0,0,-3,,0,0,34,,62,
宮崎北斗,-405,484,,55,-41,-47,223,-95,,,-72,-121,308,4,7,0,0,,-55,371,-46,81,-144,0,0
幸英明　,-2206,-1072,,-2596,-672,-151,-796,-2336,,0,123,117,-231,-394,-418,2607,-663,-896,-383,-1020,254,-1727,-1195,467,283
武藤雅　,-2112,-262,,-1816,-727,126,-1317,-939,-84,,-540,-965,-321,-441,-53,126,0,131,-483,-65,-112,-644,-1078,-157,-179
森一馬　,0,0,-100,0,0,-103,0,0,,,0,-189,-124,385,-127,-174,7,-21,0,0,0,-81,0,-3,
森裕太朗,-392,251,,374,-123,0,-229,364,0,,0,-29,-237,-142,-105,293,1,391,-148,148,11,225,-13,0,0
横山和生,531,896,,109,1072,229,-1147,2261,252,-319,-17,-80,-607,1309,-210,1047,66,0,-354,334,489,-784,415,1035,253
横山武史,-190,-2911,,-1784,-1160,-153,-2451,-845,-225,312,-32,-272,-1885,-311,-427,-410,-201,0,417,-796,-313,69,-1919,-229,346
横山典弘,-582,608,,-451,671,-213,717,-807,321,,-107,201,153,64,383,-2001,35,-295,-247,362,-62,463,-524,406,638
横山琉人,-985,567,,-1128,1004,-111,437,-563,-12,0,128,477,62,-132,-12,,0,94,-174,51,524,-1045,641,-259,136
吉田隼人,-533,-385,,-978,-112,75,-263,-649,0,0,84,-38,23,19,-345,-907,21,-853,-318,-26,-242,-220,-339,-20,27
吉田豊　,-1263,205,,-247,-422,-341,206,-1272,0,,-595,-367,478,-478,329,-79,0,0,648,179,159,-812,466,-27,-216
吉村誠之,-194,1983,,530,1911,-450,-260,2650,,,,-116,,,-300,718,-201,1597,59,1362,-154,1956,215,1008,697
ルメール,-170,-431,,-844,-313,427,392,-914,-154,0,,-226,826,-585,-428,43,-29,0,-107,-17,-250,-874,782,-274,-84
鷲頭虎太,463,710,-551,1391,36,-760,205,1056,-12,81,376,10,,-79,-39,1858,128,-977,568,76,353,365,347,-130,
和田翼　,-540,94,,115,-262,-67,127,-847,-553,,-31,39,-79,0,53,-380,-87,-207,-236,168,334,-242,-356,-158,0
和田竜二,-598,-1776,,-1501,-1236,292,-1247,-677,0,0,0,-173,0,-68,-980,2938,-304,-943,-72,-1345,201,78,-1592,-851,-366
