種牡馬名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,2歳,3歳,4歳,5歳以上,距離短縮,距離延長
Justify,-652,-533,,-423,-534,-236,-220,-902,-212,-82,152,-175,-112,-329,53,-250,-51,-236,-89,-602,96,-478,-539,-100,-66,-700,-75,,-332,-322
Kantharos,,958,,1002,-5,,1012,28,,,34,,834,-30,136,,49,,,68,101,29,467,-157,118,536,315,,162,323
Kingman,-445,-236,,-492,-100,0,-324,-282,-20,-19,-79,-288,-43,-76,-115,-122,-30,70,-116,-79,-81,-96,-500,-48,-94,-369,-236,0,-83,-155
Kitten's Joy,-205,13,-79,-69,-87,-134,-96,166,0,49,-32,-42,0,73,-59,-4,48,-1,-73,-1,-40,-145,-321,0,-9,-135,-315,53,176,-140
Liam's Map,-101,258,,20,333,-79,-19,332,-22,119,,0,-4,190,-77,-63,34,-127,0,102,49,71,156,,24,378,0,0,101,-246
Maclean's Music,0,343,,274,23,,236,25,0,0,0,0,133,-6,72,-54,0,-157,0,16,,0,36,-32,,0,129,-33,202,84
Mastery,,374,,71,158,,252,123,,,,-79,186,59,-11,162,-41,,,231,165,23,69,-708,0,197,0,-708,220,68
Mendelssohn,-157,765,,193,429,,218,483,0,126,240,22,330,234,0,-75,-12,-56,0,-23,-46,577,47,,-58,624,82,,36,123
Night of Thunder,-80,31,,26,-79,,174,-207,0,-157,0,0,19,-79,206,-45,0,,-157,0,-14,-86,-56,78,-1,-141,,,-5,-79
No Nay Never,326,-61,,-2,147,0,175,-48,-180,-9,58,11,7,-43,99,32,3,32,307,-51,-3,-108,44,37,-105,184,0,0,71,-58
Palace Malice,101,535,,-72,709,,77,541,,151,-7,-22,61,73,60,272,74,-157,43,-87,0,430,-395,183,0,535,0,,-65,163
Quality Road,17,122,,477,-426,0,384,-133,-79,0,0,-109,442,7,-8,-217,0,644,-15,225,-88,24,284,0,127,-49,442,48,240,129
Saxon Warrior,190,-404,,-127,159,-236,89,-282,-4,-37,185,128,-394,-394,435,-76,-155,129,-25,-78,-227,-114,604,-157,-78,-383,555,,430,-485
Shalaa,-57,24,,-130,0,,-66,-70,0,0,0,0,169,60,-52,-36,-28,3,-76,-167,0,-44,-38,-61,0,-39,0,-134,14,-50
Speightstown,35,239,-18,292,26,-18,250,159,0,0,-27,-111,78,59,109,-140,11,121,55,235,11,34,212,-112,44,-175,465,94,-23,-48
Tapit,-117,-139,82,-111,-118,-147,-2,-184,77,0,47,-305,-202,-161,71,34,0,-66,-121,-29,-120,106,-125,-72,-2,0,0,-96,-107,-193
Too Darn Hot,390,-79,,380,,,-183,558,-79,,2,-79,11,,-157,336,463,0,-6,,111,168,135,-83,322,-14,,,74,766
Twirling Candy,-1,334,,366,-14,,269,29,,,,40,69,23,78,-21,0,0,0,151,113,-83,219,27,30,453,,,119,-33
Uncle Mo,-5,367,,-45,567,0,117,236,0,119,47,266,14,-49,0,101,66,-61,0,182,-21,271,55,-79,0,405,0,97,95,459
アイファーソング,-315,931,-157,-80,798,-157,867,297,0,-79,310,737,-394,-59,545,-157,0,298,,467,-157,318,990,-79,713,0,-413,1384,-227,770
アイルハヴアナザー,204,-142,-62,31,-18,-222,42,-22,14,45,0,-20,-77,-339,85,-208,30,-18,41,32,0,-2,-60,552,0,0,0,-354,-70,125
アジアエクスプレス,919,586,-9,816,360,492,-392,1529,332,19,493,329,-296,264,-276,1481,-104,-177,431,-121,-240,-621,2820,236,-204,-534,1413,2112,178,-656
アドマイヤマーズ,-428,1511,,266,328,,-174,968,-315,,150,14,-32,-223,-159,1085,,74,424,-236,378,-240,400,-114,563,,,,185,-321
アドマイヤムーン,-63,-1301,189,-919,-134,94,-438,-766,-181,-232,-332,463,-462,-146,-88,-207,61,-284,279,-117,-174,-620,-710,264,-437,-583,-141,588,-535,14
アニマルキングダム,-1013,-736,0,-1719,33,0,-1484,106,-324,-472,-708,-93,-843,-223,-438,870,1083,-292,-308,-391,442,-1465,-184,0,-1029,-478,0,0,-730,-1282
アポロキングダム,-110,412,0,712,-414,0,-61,475,64,-23,-156,-26,17,60,-269,-79,0,114,29,270,63,63,-53,14,0,343,290,-1135,368,-146
アメリカンペイトリオット,860,-1007,990,-87,315,513,-1232,1481,-335,-300,564,-616,-1091,851,114,-675,51,1399,41,-797,296,-181,2,-410,215,-452,519,-403,-939,-744
アルアイン,-2262,-1694,-157,-1576,-2319,-472,-2037,-2238,-267,-9,-126,-101,-1821,-758,87,2,-699,-300,-378,-1370,-702,-3469,475,-246,-704,-3762,,,-1826,-2455
アレスバローズ,334,-315,,364,-157,,-315,397,,,,-157,-79,-157,-79,450,,97,97,-79,175,-472,351,-38,386,,,,804,-315
イスラボニータ,4154,-2141,-831,3209,-990,-123,1435,620,-292,134,154,-169,1591,668,-80,967,-188,-250,201,-272,527,693,35,1101,944,725,-480,1156,474,2234
ヴァンセンヌ,-127,5,144,-608,428,246,-12,-229,119,167,-109,307,-78,939,5,-1056,-390,-50,-7,51,-57,126,221,523,-174,62,-93,1313,228,682
ヴィクトワールピサ,-270,-1139,135,-605,-543,90,593,-1890,-146,-328,-364,-43,315,-216,104,963,-147,-391,-405,-268,83,-774,-99,-232,0,-707,-262,-188,-262,288
ウインブライト,-402,293,,84,-55,,139,-102,660,345,-974,300,-473,385,306,-866,,-157,-577,319,-764,664,-157,116,15,,,,-653,327
エイシンヒカリ,990,383,204,1573,-137,-93,-308,1825,587,134,-62,140,-471,793,-43,708,154,264,500,573,129,1356,-933,253,69,1331,-55,-991,215,1144
エイシンフラッシュ,-2598,-1122,330,-2976,-936,262,-1831,-1906,-310,-179,132,-810,-1578,-138,-146,-325,-188,-22,-75,-338,-300,-643,-1895,-606,-1153,-937,-492,-927,-942,-1473
エスケンデレヤ,-137,543,92,-299,550,200,-139,735,-70,-26,303,-51,52,28,-39,75,94,-140,15,335,147,119,323,-33,-50,338,251,-218,256,331
エスポワールシチー,-69,1555,0,1164,351,-6,336,1074,-30,186,-52,-112,16,628,225,-43,71,32,0,265,212,842,10,290,416,495,214,-362,981,-828
エピファネイア,-2937,-3367,94,-3687,-1809,-634,-419,-5692,-315,-352,-468,-277,-216,-1442,24,-1513,-473,-952,-2058,-811,2172,-1602,-6025,-389,1587,-3588,-1991,-4517,-3695,-1724
オルフェーヴル,1764,-224,514,147,1044,772,273,1152,313,-105,1273,634,-230,129,235,-914,-149,481,243,287,-158,930,1292,70,-586,1034,363,441,402,2285
カリフォルニアクローム,-569,1310,-79,1311,55,-236,-613,1358,-465,496,933,-537,918,496,-887,479,-13,-27,355,705,-1156,1874,619,77,-520,1253,-236,,1945,-568
カレンブラックヒル,-393,1569,-61,1022,266,-231,1084,419,-365,-18,-10,47,809,-420,38,724,266,-62,-40,134,520,322,590,30,1472,-1096,1294,-1624,309,-285
キズナ,4251,696,1493,-331,3921,3304,1572,3253,-113,411,414,312,1209,588,660,1434,1177,-801,615,-256,-41,1802,2350,1952,1194,2547,630,1712,54,5483
キタサンブラック,-309,787,1405,972,263,245,-412,1214,471,270,-110,-838,598,-685,-153,2513,-45,-29,48,-153,-173,937,837,-361,375,-564,1006,2180,1941,1530
キングカメハメハ,267,424,-143,-291,647,221,333,201,10,-11,71,-285,605,-292,-92,-1099,80,295,-51,-72,0,19,-269,622,0,0,0,34,220,688
キングヘイロー,221,117,-71,0,504,-48,39,456,0,0,-11,-23,16,138,17,441,27,12,0,4,0,0,0,-351,0,0,0,424,200,-18
キンシャサノキセキ,-1911,-67,-36,-1136,-322,-114,-493,855,-427,195,-415,-400,29,138,-461,240,-43,-203,-1103,-779,-222,59,-1865,356,82,-1289,-316,-304,-76,-362
グランプリボス,100,-7,0,-53,78,0,-110,563,80,-299,-55,5,-26,462,-144,-88,53,-19,47,229,27,-30,-106,-113,0,20,53,-387,220,-340
グレーターロンドン,2228,842,678,1829,1155,388,677,1956,-276,-456,717,179,485,1084,282,317,128,224,-152,400,833,1058,1393,-224,1403,1139,605,,-764,894
ゴールドアクター,1736,-162,0,-190,1233,412,650,942,290,51,171,720,-228,-39,-87,-469,67,437,226,46,319,621,761,-236,808,813,383,,393,490
ゴールドシップ,580,-734,-13,-1659,1279,332,-1463,1463,322,7,907,260,-1616,-608,26,548,-68,614,-493,-559,-115,396,-733,6,-541,662,662,-2596,-781,325
ゴールドドリーム,-315,-384,,-2512,1008,,-1051,108,609,-157,45,-113,-866,-263,-236,-301,,,-79,-449,340,-1060,88,,-564,,,,28,-447
コパノリッキー,1101,-2742,0,-2463,97,135,-1208,-1172,-726,-251,75,-296,-506,252,-267,-916,186,-213,547,-1480,-95,-342,-1582,-27,-231,-1865,-184,655,1034,-126
サートゥルナーリア,-800,452,,418,-851,,-123,-390,130,,-77,-158,301,-707,-361,209,,23,226,-316,-174,78,-208,-188,-499,,,,-209,-572
サトノアラジン,-1033,-1225,-276,-314,-1250,-1038,-1300,-827,287,-249,-789,-528,-1732,-404,432,142,358,-348,189,-670,-845,-993,113,-692,-1016,-998,781,-1209,-911,275
サトノクラウン,-1605,-174,-315,-221,-2706,1192,-36,-1479,-308,-139,-128,835,-587,422,-570,-620,88,-1280,-612,974,324,-3346,2098,-286,-479,-1737,1948,,193,-877
サトノダイヤモンド,-1096,-41,929,414,-472,-639,-456,-854,879,127,210,447,-275,451,-582,-504,-393,-794,283,-493,-1066,2121,-1161,-246,270,-1057,0,,2069,-1786
ザファクター,128,-31,138,400,-159,68,80,84,-56,-79,-142,120,-117,-82,164,-184,26,338,74,116,0,11,269,-77,0,0,0,334,616,-704
サンダースノー,-1402,4847,,2687,1191,-236,-468,4169,-183,-733,-119,-528,-903,1570,478,1197,2203,296,657,3951,-69,3025,1177,-551,-277,4503,,,5271,-2281
シスキン,424,,,501,35,,11,424,46,,,23,-6,,-79,501,,,,,211,-27,,367,424,,,,243,-61
シニスターミニスター,-355,9037,-126,2774,5738,239,1262,8102,200,-61,669,-148,552,1331,667,4687,1131,989,-157,2684,1190,3492,2599,-193,1412,4395,1599,126,1722,3324
ジャスタウェイ,-261,1037,441,691,-334,800,-156,826,552,357,-24,-27,-140,-465,181,-1043,658,-427,-429,532,-218,681,374,44,-79,-92,1315,552,978,1279
ジャングルポケット,191,-1038,-43,-369,123,-131,157,-514,286,33,-203,87,79,-291,-344,-443,-80,-65,-100,-187,0,-372,-71,-212,0,-368,-35,-442,46,-289
シャンハイボビー,-710,264,0,145,-766,-184,-1490,873,-1223,527,1252,35,-575,-752,-962,1109,43,-812,-325,-569,-225,722,-819,-28,151,-556,-324,0,2106,-1408
シュヴァルグラン,-221,-1655,,-955,-1088,893,-142,-1119,242,285,-109,1183,-632,-1470,-662,-939,269,-488,-201,-450,1357,-2386,-352,-117,-663,-314,,,-1094,1534
ジョーカプチーノ,342,286,647,-413,762,565,-264,1145,254,12,372,141,-225,400,-219,268,75,-101,-51,-259,239,-648,894,983,95,-265,-26,2522,129,-58
シルバーステート,1981,-4781,-672,-1355,-864,-97,-1360,-268,-165,-482,-164,-810,-2209,1918,601,-501,-201,-586,209,-694,501,-2175,-1068,239,-474,-716,-1130,-7,-837,-673
スクリーンヒーロー,823,-100,-17,1189,414,176,368,1488,20,267,831,288,100,44,55,903,34,-109,403,378,-520,537,1362,623,-455,1856,90,-680,758,802
スズカコーズウェイ,-394,1364,0,711,630,-236,499,842,-13,0,114,352,-252,181,142,968,48,-137,-79,271,-14,817,385,467,35,702,366,-154,162,524
ストロングリターン,-693,-189,-217,224,-872,-147,-497,-23,-222,-19,392,-425,45,-89,-139,-278,-123,333,-36,-112,-346,10,-499,414,199,-438,-262,249,184,226
スピルバーグ,243,-617,-61,47,-207,-19,-175,142,-155,-127,-15,-86,185,120,-332,460,17,151,83,-39,-10,-61,-260,-413,0,-8,239,-1704,-155,27
スワーヴリチャード,-1019,-1297,818,-3067,787,181,-291,-2064,-357,11,-552,125,-348,509,182,-913,20,-558,-115,15,-978,145,264,-177,-181,-1873,,,196,-224
ゼンノロブロイ,-329,-160,20,60,-306,-178,-278,-135,-212,-127,-44,-61,-189,-18,-18,14,23,97,-73,29,0,-21,-16,-73,0,-33,-134,-295,-116,-314
ダイワメジャー,-636,-1906,-508,-1303,-872,-842,-961,-1639,-196,-668,-328,-357,-386,-90,-364,1022,-944,-50,1022,-944,-50,-1218,-940,-587,-198,-775,-555,-1508,-124,-2566
ダノンバラード,1958,172,-394,1588,754,-285,1947,634,648,298,623,472,1483,-2948,-209,73,88,302,235,83,1767,-59,-531,315,1919,-197,-601,-110,865,499
ダノンレジェンド,-709,4811,0,2562,1477,0,849,3179,-30,121,-85,-477,925,719,119,2566,401,-72,-69,1209,1703,229,1705,-512,560,1849,1143,-101,1072,435
タリスマニック,-215,325,42,667,-174,-199,356,-191,300,-329,579,199,-883,-54,694,-1547,-24,120,-96,64,-436,1050,-237,120,-98,837,295,,1762,70
タワーオブロンドン,796,-614,,197,246,,248,-157,221,-255,-214,357,273,-642,-322,1442,,-51,128,315,-437,494,-139,304,338,,,,-414,397
ダンカーク,-935,259,-4,-434,-128,339,-91,28,-117,-223,-378,205,-688,564,-67,1678,-222,-123,-301,575,293,523,-452,-350,-84,1235,-1353,-893,335,-1264
ディープインパクト,-238,-705,-21,-110,-602,-270,-223,-723,-153,-199,-7,-167,-368,308,143,415,-205,-327,69,-177,0,-56,-523,-473,0,0,-30,-1023,141,-818
ディープブリランテ,-142,-1367,-71,-1019,-695,186,-958,-603,187,221,-283,-534,-277,-35,-117,-1114,-29,-244,-160,-779,-44,-763,-837,256,-230,-95,-32,-1792,-691,-278
ディーマジェスティ,-344,699,,363,150,-66,367,869,-27,361,-82,240,-261,-72,-79,-260,313,-169,-697,365,-455,138,925,163,-665,544,-181,-456,576,-546
ディスクリートキャット,2339,293,-70,2616,-456,-180,552,1280,133,215,-39,-113,93,388,577,1291,-39,37,890,824,-392,684,408,164,-165,831,64,2190,2208,-1127
デクラレーションオブウォー,716,-1041,-206,1127,-1205,-213,-149,81,391,-249,-961,10,115,112,-555,922,-35,298,1090,946,226,-365,-336,332,506,460,-2095,-12,639,-878
トゥザグローリー,-498,307,-182,-182,-47,-237,595,-884,0,-18,-74,482,71,-116,327,157,-198,-502,-15,-230,-53,-18,-412,-853,-181,-137,0,175,-397,135
トゥザワールド,-44,455,87,-354,615,335,378,82,-69,0,37,18,-264,-147,568,502,73,305,-52,24,157,161,679,-55,192,-176,544,-38,708,171
ドゥラメンテ,-829,-2151,-407,-2927,-1137,1044,-1880,-809,609,245,72,-651,-1045,-602,-537,-2094,-281,973,375,-942,253,-806,-1786,-973,-113,-753,-337,-3854,-1099,-451
トーセンジョーダン,-25,400,0,-162,257,170,363,30,-36,0,-13,118,232,10,49,-333,137,23,-122,149,6,0,-29,1219,-27,0,71,1202,118,327
トーセンラー,-175,-491,-33,483,-903,-2,-182,-162,-154,229,-31,-75,-305,-260,134,-166,-57,173,-130,-231,34,-673,22,-106,-320,-294,232,-1616,-402,412
トビーズコーナー,-205,2240,-83,898,1068,-135,1207,1167,-107,-25,328,203,1003,576,-106,-15,37,9,-79,538,329,403,854,421,-65,1179,501,655,-148,574
トランセンド,-125,-35,0,271,-275,-32,-162,78,-32,92,283,-455,-127,-105,129,42,64,50,-168,125,-293,302,-59,-10,-162,89,30,-329,237,-48
ドレフォン,-1151,5543,125,2133,2178,279,1854,2542,832,439,-126,-73,1152,-3,747,2988,270,-1194,-733,1677,-1479,2712,2702,1007,-187,2608,1332,1870,2587,1886
ナダル,-1804,1035,,-824,443,,-435,55,-157,160,-275,-311,-150,622,-22,-312,,-79,-252,21,-168,-285,39,79,-380,,,,53,-462
ニシケンモノノフ,704,-1027,-315,-181,-448,-225,459,-694,-79,-315,118,104,-630,-609,422,-36,-92,-46,792,-328,-272,-564,269,-236,-477,-249,472,,993,305
ニューイヤーズデイ,572,-123,-315,244,119,92,1166,-660,-250,-41,-664,778,-602,-107,930,-363,570,-519,227,469,675,-354,70,-188,281,-171,,,-17,-1339
ネオユニヴァース,-73,-269,-21,-595,137,-39,-303,-99,4,-33,-37,77,40,-74,-196,60,-111,75,-11,-147,0,-289,-192,-32,0,-642,0,-105,134,-152
ネロ,1676,-182,-236,881,326,207,823,427,-113,515,154,325,478,-189,593,-6,-26,61,726,-133,-98,261,1830,-394,1,476,1670,,658,730
ノヴェリスト,407,-230,21,-406,35,380,-171,154,196,254,55,-132,24,-125,68,-105,7,-359,185,-78,145,-777,596,102,-486,-160,195,387,-204,142
ハーツクライ,-3424,-519,46,-791,-2270,-996,-1155,-2972,114,-38,62,-62,-823,-175,-153,-2618,-773,-69,-896,-235,-19,-586,-1690,-1166,0,-1211,219,-1673,235,-2362
ハービンジャー,423,-1415,504,397,-1113,172,-2367,2186,607,510,-140,-1027,-717,369,-718,391,254,552,-470,-313,376,-337,-1020,694,143,-34,52,-1249,-2656,1381
パイロ,-215,1911,-103,324,1669,-269,276,1506,31,309,188,-143,346,-271,232,1767,191,-182,0,554,360,495,431,164,-388,1709,112,-519,61,846
ハクサンムーン,775,146,,500,2,,-313,1157,0,0,39,-218,-88,122,-125,484,22,49,-154,126,60,429,16,-79,-61,20,591,,345,-263
バゴ,-586,-150,-89,500,-993,-447,-832,94,131,781,-62,-462,-873,-1037,494,91,-83,159,205,256,-169,-2134,631,45,-767,-1956,1074,513,-102,-1176
バトルプラン,-229,-737,0,-452,-496,0,-694,-338,22,68,-160,-22,-430,-69,-362,-290,-58,-63,-104,147,-181,271,-1130,-121,-224,-303,1,-637,650,-456
バンドワゴン,-69,220,,39,151,,-190,130,,,-79,-157,-315,215,90,49,138,-79,129,70,-19,-168,329,0,-136,31,700,,-76,225
バンブーエール,-236,943,0,1479,-181,0,22,1084,-30,356,-202,154,-236,-54,13,479,457,-236,-157,-121,23,554,121,0,-34,956,-133,0,26,459
ビーチパトロール,-68,-441,-163,-735,669,-457,512,-346,-6,-52,-717,-388,-310,-500,860,1177,-179,-768,174,-777,-717,-346,561,-109,-1264,1005,78,,41,-220
ビッグアーサー,63,-2995,142,-2015,-802,75,-1388,-1572,-637,142,147,-465,-405,79,-336,405,-546,-454,229,-477,210,-2689,652,-38,-223,-2474,-672,1959,-792,-1302
ファインニードル,733,-592,,353,557,-79,665,-5,115,-28,-277,-261,521,61,-114,186,-68,415,1189,-521,0,-395,468,-254,-251,-58,1523,,312,-477
フィエールマン,869,342,,292,812,,1015,140,108,-630,-289,897,-86,1278,55,57,,-79,575,491,80,1356,-157,-79,1182,,,,-349,55
フォーウィールドライブ,1902,1178,,3796,-445,,2014,1050,70,-157,-164,1556,-245,439,360,598,,,-202,-549,449,1462,979,-236,2984,,,,741,436
ブラックタイド,-1443,1243,-127,-856,537,-244,-562,501,-448,375,681,-573,-663,601,460,32,128,-1060,-167,576,-62,253,-1155,-90,-131,65,-540,206,-66,-604
フリオーソ,-787,93,-236,490,-506,-227,-127,-61,489,-58,-367,-243,-192,-765,210,43,285,93,-315,137,151,-549,53,368,-50,-101,-260,721,-221,-302
プリサイスエンド,0,408,0,-236,727,-55,7,279,0,0,2,33,-276,-18,17,478,0,53,0,43,0,0,335,0,0,0,0,-38,12,45
ブリックスアンドモルタル,1704,-981,-79,66,1306,-277,1767,-1051,613,-1645,10,182,831,351,774,-1358,114,-8,103,307,16,-621,2059,-841,-193,1564,,,391,-1593
ベーカバド,236,-222,-44,-32,32,11,-16,9,0,-21,141,151,-71,48,0,-329,-16,7,-24,-1,-7,-34,-43,-158,0,-128,3,32,10,-54
ベストウォーリア,793,-175,,51,-916,,-101,-227,154,-89,168,-260,-82,-75,131,-94,-57,-624,1245,67,-16,-1001,515,1326,-128,-875,952,,102,-233
ヘニーヒューズ,-294,1991,-175,341,1535,-532,758,990,381,-26,861,63,807,-165,55,-837,-69,331,-73,802,85,1232,51,67,798,551,-25,-438,2019,234
ヘンリーバローズ,-37,-508,,-323,-272,-79,-16,-603,-117,-157,-81,,-9,-343,163,-241,-236,825,-25,-206,177,-646,-394,-58,-406,-83,,,-351,315
ホークビル,-93,-2825,-79,-1878,401,-136,337,-1154,-303,143,319,604,-1023,-2035,396,-1968,-236,1122,1163,-1204,-1338,540,-78,-157,-669,232,,,181,681
ホッコータルマエ,299,965,-847,767,40,-194,1755,-768,524,-23,-1032,630,601,300,452,-2239,-148,195,678,662,178,954,-598,-544,591,1566,-766,-2418,1357,125
マインドユアビスケッツ,1224,-2646,-168,389,-1831,19,785,-2241,321,252,-595,470,1896,-1444,-1312,-1168,-278,10,837,-280,240,-272,-2667,563,211,-2569,869,,82,-540
マクフィ,286,-385,65,-513,330,7,-265,-47,-47,-136,-100,363,116,-625,-354,-456,40,372,426,-1425,-235,-286,26,380,695,-999,424,338,614,-514
マジェスティックウォリアー,-268,1907,-528,83,1357,-270,-34,2076,297,226,-158,-464,-234,1,22,-151,734,-436,-433,1854,180,-2275,3281,-403,-664,1616,497,-684,-764,306
ミスターメロディ,1263,-1856,,-167,-411,,-133,-473,-236,-52,-66,-618,-328,-463,1225,368,,25,246,-347,-586,-228,-157,588,-567,,,,195,-344
ミッキーアイル,1956,-837,-52,830,47,0,51,1117,-283,700,-41,-498,57,6,83,954,-104,778,192,-10,-1080,682,851,493,460,-612,1327,130,1761,-77
ミッキーグローリー,-813,364,,1272,-931,,942,-1982,-236,524,-111,787,1490,-704,-472,-507,-315,-630,701,-724,297,-1334,568,,124,-1157,,,673,-501
ミッキーロケット,715,-613,,-135,21,368,-156,346,-21,-394,-193,-260,227,338,-46,515,77,-201,341,-253,44,89,-54,-43,14,-424,866,,111,-8
メイショウボーラー,-440,-262,44,-1128,665,33,88,-541,45,-96,-215,-135,-529,-100,312,-55,-75,-6,-6,23,-300,-459,335,-200,-199,-389,16,237,531,-134
モーニン,-773,-2772,,-1992,-858,-55,-1940,-1088,-498,-14,-575,-155,-954,-501,-734,900,-227,-293,-472,-330,-222,-1368,-1115,-54,-111,-2999,,,-334,-967
モーリス,-847,-2250,-223,-2142,-333,-1081,-1372,-1652,-225,-154,-734,-758,554,-671,-1439,1046,-298,195,-137,-309,-97,-5,-2146,-657,-235,-400,-1706,-1874,-1055,154
モズアスコット,1176,1002,,906,1155,,851,1376,520,-134,-157,254,477,-102,58,992,,70,874,444,672,616,,1161,2176,,,,557,-44
ヤマカツエース,-88,-115,,192,-648,50,60,-425,45,-111,-93,2,122,-2,-412,-528,85,-272,-21,-223,-55,113,-200,-86,16,-394,96,,-74,-50
ラニ,-245,2043,-236,568,1232,-128,167,1786,-323,49,340,-337,217,710,51,890,117,132,-157,537,161,75,995,37,94,961,224,1669,-123,1515
ラブリーデイ,1004,-996,81,-528,321,-23,-131,-32,247,-125,545,727,-496,-152,-31,-1039,-153,-49,104,-702,902,-147,-1190,2,87,-245,-322,583,16,405
リアルインパクト,151,-301,-69,533,-478,-379,181,-153,114,17,-543,-211,427,-125,-53,196,-55,152,-124,-583,-206,567,-174,-81,-368,2440,-586,-536,1346,-245
リアルスティール,1953,3041,-79,3839,1180,-83,2787,1961,-71,-223,-238,340,1778,1291,530,-1308,253,1298,281,673,717,3353,756,-464,1249,4033,-2525,,1095,-941
リーチザクラウン,-479,-188,-79,-412,-238,-231,-224,-339,-202,80,21,297,-381,-94,-13,189,-12,-238,-94,-29,-47,-111,-664,-57,-95,-38,-92,-811,-89,-197
リオンディーズ,-714,-460,86,-1631,78,281,-2040,1038,-363,139,794,-1046,-641,428,-533,-520,116,49,455,337,743,-1814,236,-183,1206,-2627,612,-990,481,-2297
ルヴァンスレーヴ,2897,891,,1262,1137,,-1038,3608,1364,-315,810,-785,340,540,-691,1381,,,-236,-291,4455,-957,-315,,2380,,,,-795,-611
ルーラーシップ,345,-317,105,2649,-1950,-76,92,-4,-77,-788,-360,-188,460,52,-213,762,356,64,409,-398,-311,1741,-1893,-153,298,645,-379,-1091,1680,-708
レイデオロ,-1614,-284,-79,251,-1787,-433,1616,-3153,-199,-366,174,767,628,-288,-95,-1294,-1,-1533,-661,-478,-1224,44,-82,-405,1242,-4861,,,10,-1258
レッドファルクス,-1743,2243,-98,-129,560,184,737,-466,6,-174,301,1009,-522,410,276,-382,-26,-698,-137,277,731,-221,1407,-490,327,-36,-170,,-1307,2672
ロージズインメイ,-218,-275,-168,-178,-346,-212,33,-556,63,26,-579,-260,782,8,-232,-110,-181,-30,0,-4,108,245,-1101,-30,0,-138,-70,-450,-83,62
ローズキングダム,260,0,520,0,38,911,7,56,0,-36,-23,214,286,33,-27,-171,-25,111,2,0,0,0,0,332,0,0,0,499,491,417
ロードカナロア,-1519,-288,438,1653,-3277,-47,814,-3552,71,154,-1168,484,289,1,383,-2907,-316,203,-993,-968,-1557,-606,-682,2748,-1354,-1124,1127,1234,4167,-1432
ロゴタイプ,-879,-290,-82,-1801,1068,-221,-771,-167,-28,28,655,179,-1790,-99,256,280,-326,-764,-76,-307,-91,-1977,973,910,-516,-408,1433,-399,-175,12
ロジャーバローズ,-476,-499,,601,-1282,-630,1667,-2735,-175,-551,-256,-833,1228,-917,1387,56,-156,-504,445,-9,454,-1748,24,260,-469,-527,,,-328,-548
ワールドエース,-406,-1232,-271,-317,-1525,133,1055,-2686,88,-267,-1215,470,858,-398,-150,-738,-188,-1086,-212,-1173,333,-1451,-778,-541,-84,-1470,-211,41,-724,-413
ワンアンドオンリー,510,-63,36,-887,687,38,-228,812,0,0,331,66,160,-535,-134,336,7,124,-4,136,-97,1061,14,-157,45,351,375,-339,489,295
