場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
東京,3,2,リケアフェデリーニ,カリフォルニアクローム,119.0,79.0,96.0,95.0,107.0,95.0,,,98.5,9.0
東京,3,3,エフティヴェント,ミッキーアイル,101.0,82.0,107.0,103.0,102.0,100.0,,,99.167,8.0
東京,3,4,ピコテーパー,シルバーステート,81.0,108.0,104.0,96.0,97.0,95.0,,,96.833,11.0
東京,3,5,モンテール,オルフェーヴル,97.0,97.0,105.0,95.0,101.0,101.0,,,99.333,7.0
東京,3,6,ウィザードオブマリ,エーシントップ,,,,,,,,,,
東京,3,7,ソヴァージュ,タリスマニック,75.0,64.0,97.0,89.0,104.0,105.0,,,89.0,12.0
東京,3,8,アイファーサックス,ビーチパトロール,91.0,64.0,99.0,73.0,92.0,106.0,,,87.5,13.0
東京,3,9,ジャスフォール,マクフィ,102.0,95.0,102.0,107.0,98.0,98.0,,,100.333,6.0
東京,3,10,フーディエラン,ポエティックフレア,,,,,,,,,,
東京,3,11,ナンヨーメルシー,ルーラーシップ,103.0,93.0,101.0,103.0,107.0,100.0,,,101.167,5.0
東京,3,12,モンサンドール,イスラボニータ,115.0,111.0,113.0,109.0,107.0,107.0,,,110.333,2.0
東京,3,13,ブランチアウト,ブリックスアンドモルタル,108.0,100.0,104.0,99.0,100.0,108.0,,,103.167,4.0
東京,3,14,ミラビリオン,ベンバトル,,,,,,,,,,
東京,3,15,ワイルドカモミール,ベンバトル,,,,,,,,,,
東京,3,16,ショウナンパトス,ルヴァンスレーヴ,114.0,160.0,221.0,114.0,115.0,82.0,,,134.333,1.0
東京,3,17,テラシエスタ,ジャスタウェイ,99.0,92.0,99.0,98.0,103.0,99.0,,,98.333,10.0
東京,3,18,ディサイドオンミー,ベンバトル,,,,,,,,,,
東京,4,1,スズカハービン,ハービンジャー,92.0,108.0,,,,,,,100.0,2.0
東京,4,2,マイネルヴァッサー,ステイゴールド,,,,,,,,,,
東京,4,3,テクネチウム,マクフィ,102.0,120.0,,,,,,,111.0,1.0
