場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
阪神,4,6,ベルトナリテ,106.8,3.0,95.333,9.0,108.667,4.0,310.79999999999995,103.6,3.0
阪神,4,7,ベルフィーノ,85.6,15.0,112.167,1.0,105.0,5.0,302.767,100.922,7.0
阪神,4,8,ポエティックデール,100.0,10.0,,,112.5,2.0,,,
阪神,4,9,エルヴ,100.4,9.0,,,89.167,13.0,,,
阪神,4,10,ルビドゥソレイユ,101.0,6.0,97.5,7.0,104.833,6.0,303.33299999999997,101.111,6.0
阪神,4,11,クイーンズガーデン,101.0,6.0,97.4,8.0,90.167,12.0,288.567,96.189,10.0
阪神,4,12,ナデシコザクラ,102.4,5.0,85.833,11.0,,,,,
阪神,4,13,ピーチアバランチェ,90.2,14.0,103.5,4.0,198.0,1.0,391.7,130.567,1.0
阪神,4,14,ハッピーローヴァー,96.4,13.0,107.667,2.0,103.5,7.0,307.567,102.522,4.0
阪神,4,15,テリオスヒナ,100.8,8.0,83.167,12.0,83.333,15.0,267.29999999999995,89.1,11.0
阪神,4,16,ナムラマフィン,98.6,11.0,,,99.167,8.0,,,
阪神,5,1,フリーガー,99.8,5.0,,,101.5,8.0,,,
阪神,5,2,オグナ,98.8,6.0,99.333,6.0,101.0,9.0,299.133,99.711,5.0
阪神,5,3,アスピラシオン,105.2,1.0,,,103.833,7.0,,,
阪神,5,4,フリーマン,103.8,2.0,,,90.333,11.0,,,
阪神,5,5,ラミエルノムスコ,101.2,4.0,99.667,5.0,133.833,1.0,334.70000000000005,111.567,2.0
阪神,5,6,エアビーアゲイル,97.4,7.0,140.8,1.0,107.5,5.0,345.70000000000005,115.233,1.0
阪神,5,7,クラウンインジエア,84.8,10.0,98.0,7.0,99.333,10.0,282.13300000000004,94.044,7.0
阪神,5,8,タケルフォーカス,91.8,9.0,94.833,8.0,105.167,6.0,291.79999999999995,97.267,6.0
阪神,5,9,イエッサー,96.4,8.0,101.167,4.0,108.5,4.0,306.067,102.022,4.0
阪神,5,10,ダンツウルス,101.6,3.0,106.167,2.0,110.333,3.0,318.1,106.033,3.0
阪神,5,11,モスカテル,,,105.167,3.0,112.667,2.0,,,
阪神,6,1,レグロスヴァーグ,101.8,7.0,99.333,9.0,99.143,8.0,300.27599999999995,100.092,9.0
阪神,6,2,アートレスマインド,,,91.857,12.0,91.833,12.0,,,
阪神,6,3,スマートカイロス,96.2,9.0,117.143,2.0,101.5,6.0,314.843,104.948,3.0
阪神,6,4,ストップヤーニング,90.6,11.0,114.0,3.0,97.5,9.0,302.1,100.7,6.0
阪神,6,5,ソラノキャンバス,95.6,10.0,103.167,6.0,105.5,2.0,304.267,101.422,5.0
阪神,6,6,テンカオーライ,102.8,5.0,92.167,11.0,95.714,10.0,290.681,96.894,10.0
