,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
国分優作,93.526,99.903,,104.547,91.931,68.826,75.106,111.318,21.0,21.0,69.685,88.625,21.0,21.0,72.53,119.204,133.125,100.722,130.551,101.591,138.34,93.756,94.989,117.274,100.196
小坂忠士,124.598,60.188,140.19,21.0,21.0,138.798,137.85,125.504,,,72.393,98.785,53.383,121.281,540.29,98.442,127.498,161.134,81.074,21.0,,142.029,21.0,129.493,
小崎綾也,103.253,100.92,,96.752,109.642,52.117,105.432,98.774,37.865,70.333,122.935,81.671,264.611,74.752,102.703,78.425,104.663,111.497,104.916,86.788,99.998,95.722,101.973,122.772,136.263
小林脩斗,81.297,111.221,,103.038,97.15,116.602,99.046,103.58,114.0,97.945,77.875,96.551,80.786,115.642,113.995,21.0,21.0,98.749,98.717,104.12,91.017,89.197,113.468,21.0,21.0
小林美駒,97.637,96.447,,95.075,101.704,21.0,89.542,99.513,108.819,82.174,101.633,100.798,80.565,85.205,32.776,246.735,,106.881,119.357,114.735,81.073,96.369,97.773,21.0,21.0
小林凌大,85.866,100.156,,92.209,102.2,28.764,77.395,98.181,67.631,98.581,61.318,76.887,72.839,108.486,43.407,,21.0,97.763,59.909,85.846,84.238,106.287,89.524,86.275,
小牧加矢,108.38,21.0,98.625,,,100.025,94.133,102.969,,,80.625,102.285,86.971,127.81,71.51,102.09,80.64,104.825,61.879,,,98.064,,103.282,
木幡育也,110.62,91.928,,88.211,107.717,64.685,86.029,101.256,,,160.887,82.584,84.522,63.144,62.462,21.0,451.833,66.966,98.135,147.254,63.875,90.403,117.392,21.0,21.0
木幡巧也,100.576,102.197,,103.994,100.452,70.344,105.841,97.753,21.0,152.565,106.348,101.166,107.098,94.848,21.0,,21.0,,95.499,93.153,99.217,105.875,95.796,127.835,77.395
木幡初也,107.343,90.427,,98.126,92.082,134.571,82.278,102.156,21.0,21.0,90.558,95.04,75.79,109.775,38.524,93.701,45.45,117.25,131.876,73.803,97.7,106.902,85.741,21.0,152.445
斎藤新,94.605,101.198,,100.359,94.419,104.229,99.049,97.695,113.715,70.454,102.871,93.973,85.639,94.939,108.15,88.874,104.396,92.707,108.318,106.666,97.217,102.714,96.235,87.257,100.074
酒井学,95.907,95.891,,97.189,89.072,160.088,92.672,97.079,,196.725,47.524,93.147,85.091,27.097,86.46,98.566,95.452,78.702,85.175,86.785,101.448,85.842,104.362,91.595,99.468
坂井瑠星,97.868,102.928,,101.165,99.301,104.642,102.673,99.246,84.887,110.277,62.448,90.334,105.848,88.888,106.349,95.309,101.75,95.84,95.5,106.082,90.18,105.412,99.639,95.984,102.257
坂口智康,21.0,,116.315,,,114.208,110.773,118.681,,,115.153,127.0,44.297,180.478,110.452,82.574,171.37,21.0,,,,120.668,,78.185,
佐々木大,101.009,97.052,,103.727,93.153,90.153,98.153,99.351,91.126,111.864,95.099,92.492,92.482,101.651,105.104,71.926,102.352,107.325,108.537,102.867,103.794,99.117,100.229,80.907,66.77
佐藤翔馬,117.705,99.198,,113.999,72.186,21.0,94.684,115.681,21.0,,122.444,73.512,75.703,143.671,780.609,,21.0,126.134,141.111,67.896,80.389,106.303,106.027,21.0,21.0
鮫島克駿,99.135,104.08,,98.025,104.486,103.927,98.26,102.336,109.081,102.046,149.866,73.406,92.093,99.59,102.842,100.737,102.58,92.933,94.114,108.746,117.36,101.595,97.914,109.713,103.768
鮫島良太,96.778,127.947,,118.144,122.963,23.617,100.781,129.689,,,153.119,68.62,21.0,208.45,109.219,105.425,137.313,119.337,143.626,116.309,71.96,98.829,125.162,164.021,21.0
柴田大知,90.254,99.038,,92.832,92.692,152.19,84.37,106.004,21.0,153.6,103.33,88.45,79.754,112.331,87.455,21.0,115.977,21.0,82.87,94.29,79.404,101.407,91.054,58.913,59.501
柴田裕一,81.623,94.063,,103.915,75.027,78.462,102.438,82.739,94.914,57.246,54.484,112.802,139.151,21.0,94.565,129.09,110.023,67.302,102.094,102.471,79.678,84.706,96.065,21.0,118.561
柴田善臣,84.019,109.365,,98.712,92.734,48.67,92.233,99.175,87.602,21.0,73.309,108.726,97.633,104.045,50.1,51.463,442.943,21.0,53.154,86.954,101.343,116.23,84.346,118.526,73.532
嶋田純次,112.756,98.531,,112.573,91.848,74.125,116.819,96.979,63.572,179.24,97.108,110.146,140.881,97.846,45.351,21.0,21.0,21.0,175.762,127.956,144.175,96.664,104.564,115.027,63.419
菅原隆一,48.051,62.788,,74.878,35.327,21.0,78.476,37.596,21.0,146.641,21.0,98.282,80.281,21.0,21.0,21.0,91.0,21.0,21.0,86.104,164.138,75.134,26.86,,21.0
菅原明良,100.104,98.356,,103.983,92.998,94.816,103.656,94.218,46.455,,100.294,102.318,104.88,90.461,105.289,90.533,194.185,112.884,99.819,100.589,93.372,100.669,98.53,92.122,116.1
杉原誠人,104.431,93.253,,100.592,98.06,72.579,97.812,100.886,74.445,139.444,99.474,103.223,90.222,104.153,103.567,21.0,21.0,86.211,104.843,110.091,93.811,98.903,96.952,89.318,168.96
高倉稜,95.953,101.585,,92.85,101.011,127.812,82.407,103.081,100.783,21.0,47.478,71.404,39.923,44.989,88.768,86.798,128.701,75.998,122.476,82.59,66.826,99.783,103.42,63.705,60.911
高杉吏麒,101.925,115.586,,117.026,101.9,95.42,107.506,110.335,99.979,96.254,104.979,82.959,115.182,,110.793,113.26,73.169,123.025,135.578,113.205,113.522,112.024,109.33,69.501,36.222
高田潤,95.348,46.823,90.703,21.0,47.503,92.001,76.655,90.549,,,132.011,81.49,138.389,58.216,33.138,93.317,114.368,99.154,147.235,21.0,21.0,80.184,21.0,99.311,21.0
田口貫太,99.015,110.728,,108.821,103.114,101.524,103.455,107.734,,,73.343,122.972,95.864,44.972,111.484,114.651,95.258,101.389,91.263,106.836,89.209,106.17,111.691,103.757,45.193
武豊,92.765,98.063,,94.219,96.025,95.504,95.776,94.91,93.149,98.366,40.437,92.972,95.637,83.229,96.756,92.761,93.592,118.303,95.035,93.626,89.372,94.437,94.02,110.476,102.781
太宰啓介,104.807,111.411,,108.888,108.26,146.605,107.374,109.832,,,91.565,132.337,21.0,21.0,102.959,112.149,104.369,117.911,110.354,102.061,175.744,98.949,109.937,123.097,41.036
田辺裕信,107.483,95.557,,100.371,98.55,126.417,104.042,97.769,134.863,,109.853,99.703,104.126,92.613,189.14,120.47,76.067,21.0,113.233,85.647,94.922,96.722,108.908,82.702,88.2
谷原柚希,21.0,92.341,,81.81,21.0,,76.626,57.853,,,100.907,21.0,117.0,21.0,21.0,,,,21.0,58.333,21.0,21.0,90.781,,
田村太雅,21.0,21.0,66.428,21.0,21.0,65.966,106.974,38.055,,,205.615,107.715,69.718,21.0,68.463,21.0,21.0,31.971,21.0,21.0,,45.699,21.0,75.511,
田山旺佑,91.222,115.67,,126.435,90.265,21.0,101.483,106.518,,,271.0,76.955,,,105.295,126.507,66.158,208.154,67.467,128.533,114.391,98.338,111.982,,21.0
丹内祐次,102.448,99.259,,96.908,103.853,104.187,99.399,101.587,108.414,101.324,92.327,104.734,77.185,97.755,84.333,124.135,68.03,107.54,103.015,99.914,72.944,101.324,104.993,85.113,93.926
団野大成,98.392,107.065,,100.753,105.439,104.848,105.026,101.944,102.461,109.547,134.945,114.683,140.727,87.724,99.197,96.746,112.815,103.866,111.71,110.655,89.759,96.873,110.557,93.066,108.221
土田真翔,68.625,55.432,148.931,81.145,35.632,97.949,60.219,115.721,275.85,21.0,105.616,57.354,21.0,78.046,186.825,424.114,21.0,45.706,21.0,42.318,21.0,110.357,70.72,53.031,
角田大和,108.14,105.552,,106.997,108.757,69.957,111.961,103.411,106.287,117.263,95.715,103.119,71.487,158.664,115.888,151.598,100.46,93.757,101.122,115.843,112.183,99.375,113.457,160.066,21.0
津村明秀,103.206,98.433,,101.559,99.354,115.266,106.025,95.878,,21.0,94.779,115.733,101.785,97.323,42.582,47.827,71.774,170.003,108.386,88.112,107.476,110.892,94.892,85.681,99.976
Ｍ．デム,103.447,103.378,,100.175,108.908,86.423,103.985,103.855,56.657,78.327,67.13,125.936,89.525,104.404,108.2,99.872,118.181,74.272,111.007,91.082,107.873,113.457,99.48,95.57,95.173
戸崎圭太,98.971,93.951,,96.079,97.351,98.173,97.085,96.51,83.265,140.865,100.427,95.163,97.97,96.215,91.838,94.564,71.875,,85.228,92.925,91.852,100.878,94.568,96.861,99.515
富田暁,97.23,101.011,,97.276,100.97,73.377,100.03,97.315,80.364,98.221,91.252,87.737,44.893,117.496,102.71,104.289,121.895,87.737,95.801,90.848,95.337,103.453,93.281,114.52,126.938
中井裕二,80.943,103.607,,104.652,93.045,42.476,108.354,89.811,21.0,107.239,87.57,108.781,274.828,174.431,104.226,90.677,97.462,75.678,78.261,90.022,147.135,88.051,102.326,27.94,21.0
長岡禎仁,91.699,119.855,,105.452,107.35,21.0,112.702,107.122,172.392,,79.629,67.648,94.575,145.535,122.662,85.959,127.378,101.722,132.614,121.268,113.2,125.786,93.376,96.773,52.316
永島まな,84.31,86.575,,90.433,79.341,120.18,90.224,81.495,51.113,51.694,78.887,100.358,108.622,21.0,84.607,83.201,89.293,81.177,72.253,85.085,70.921,83.397,90.041,59.957,37.85
長浜鴻緒,112.173,102.362,,103.357,110.348,72.856,101.658,107.649,98.996,86.782,52.26,94.445,108.437,110.237,56.823,,156.497,,111.2,115.456,85.349,100.645,112.546,21.0,
中村将之,28.111,28.8,85.07,21.0,,83.004,73.515,87.405,,,94.387,79.381,23.235,105.806,67.186,67.218,90.459,73.974,21.0,21.0,,89.329,21.0,65.566,
難波剛健,79.861,53.3,99.025,21.0,21.0,97.341,103.42,95.515,,,65.172,131.813,97.897,68.109,79.687,109.806,118.261,87.918,81.0,21.0,21.0,104.65,21.0,86.646,
西谷誠,77.623,21.0,102.005,,,100.975,107.768,97.286,,,70.549,39.799,52.162,68.133,135.509,144.336,83.795,117.127,139.844,,,95.147,,108.899,
西塚洸二,101.887,100.668,,94.558,108.576,54.739,112.308,92.778,55.672,115.032,102.03,100.969,100.712,87.185,116.404,74.4,202.896,88.912,112.492,106.15,84.843,106.652,99.78,123.607,87.468
西村淳也,104.876,97.613,,102.098,101.409,94.863,102.586,101.247,64.455,187.059,131.645,102.074,114.17,114.231,102.879,105.121,95.62,99.057,97.472,100.601,106.536,104.188,97.357,108.832,110.747
西村太一,36.718,91.761,21.0,73.191,57.8,61.048,69.185,69.375,,,62.84,71.489,37.566,73.078,21.0,21.0,21.0,21.0,21.0,58.004,42.6,75.163,45.188,21.0,21.0
野中悠太,89.261,94.8,,99.412,84.125,105.056,101.047,84.32,,21.0,81.978,96.276,102.683,91.359,63.926,296.553,76.616,34.462,102.829,94.153,79.646,98.678,87.014,101.713,116.652
橋木太希,108.044,88.804,,96.674,66.358,21.0,133.327,62.003,100.344,21.0,74.907,58.864,131.215,,139.761,50.417,36.121,85.854,118.796,114.586,226.051,80.477,90.085,,21.0
浜中俊,104.304,94.001,,101.393,99.729,94.787,89.496,102.762,109.766,94.538,,150.25,78.221,89.58,87.065,105.848,94.907,91.483,117.459,86.036,106.409,98.88,95.454,128.654,112.034
原優介,90.375,100.733,,95.88,97.437,113.121,98.952,94.803,21.0,175.598,81.842,91.312,103.28,103.129,114.257,21.0,92.561,88.801,103.796,90.99,92.222,93.673,97.436,183.89,205.753
原田和真,100.9,104.207,,117.651,88.315,21.0,132.039,84.871,67.245,21.0,63.678,51.083,123.694,80.528,317.85,115.286,59.136,143.44,34.954,112.984,197.794,52.287,156.486,50.167,21.0
伴啓太,58.763,21.0,99.191,21.0,21.0,97.304,110.175,87.915,,,106.509,110.548,78.475,63.208,149.854,65.872,61.144,93.167,79.667,21.0,21.0,95.117,21.0,101.712,
菱田裕二,90.718,104.872,,96.542,98.121,114.974,95.779,100.258,103.379,97.678,108.953,122.884,99.325,86.931,83.704,85.038,107.474,92.772,77.856,89.008,95.94,96.249,100.027,104.486,85.633
藤岡佑介,105.52,104.974,,99.69,112.038,93.778,105.468,105.336,115.122,91.743,134.632,118.154,87.217,172.723,115.794,110.268,103.386,104.153,113.524,102.101,114.233,110.426,101.322,101.372,102.922
藤懸貴志,100.237,102.26,,93.577,106.211,116.809,97.337,103.253,84.971,21.0,97.827,124.649,112.632,62.419,81.847,83.115,108.621,119.363,120.816,111.443,85.382,107.349,101.336,104.96,49.811
舟山瑠泉,114.17,98.439,,103.342,112.625,21.0,109.272,103.767,97.49,102.351,118.582,111.656,92.809,99.391,21.0,,,,131.031,109.478,130.321,83.138,126.152,21.0,21.0
古川奈穂,91.076,99.109,,97.091,90.634,166.249,110.311,94.126,74.723,95.559,142.303,113.666,59.478,83.602,124.771,79.301,78.792,101.013,69.471,99.354,108.443,89.721,104.324,40.487,21.0
古川吉洋,107.57,96.11,,100.443,103.97,86.459,105.723,101.166,100.132,79.366,98.918,88.609,21.0,114.624,116.296,100.42,114.524,137.802,116.867,88.463,70.767,105.293,104.841,86.104,119.931
松岡正海,106.268,89.055,,93.838,102.328,97.105,85.56,105.4,132.887,107.945,76.406,86.148,84.814,106.864,33.245,90.575,37.507,116.621,118.687,91.958,99.015,99.791,93.361,105.194,104.598
松本大輝,101.286,98.279,,106.979,88.082,161.639,92.708,105.862,99.806,129.297,92.627,91.052,165.368,61.071,98.596,99.27,50.871,128.557,80.704,90.554,122.437,102.234,97.872,92.384,140.565
松山弘平,92.898,102.018,,96.903,99.219,79.871,99.272,96.872,120.288,,145.061,91.391,104.599,85.285,98.513,97.264,98.84,94.115,91.306,98.63,97.823,95.541,98.185,102.366,97.102
松若風馬,101.972,110.386,,108.987,106.562,61.16,124.689,104.968,271.0,54.088,117.62,91.709,66.192,88.687,117.947,102.381,114.162,101.96,85.239,122.628,101.642,107.244,105.395,95.284,138.536
的場勇人,73.251,37.68,,34.173,86.39,21.0,37.535,86.551,44.773,158.055,119.349,58.143,26.508,38.677,42.414,,21.0,21.0,21.0,21.0,21.0,118.813,30.533,21.0,
黛弘人,100.409,115.141,,101.964,111.183,107.537,88.157,111.12,113.069,105.52,96.984,94.607,78.421,140.137,59.309,21.0,21.0,101.447,106.977,91.69,136.71,108.652,108.171,93.865,21.0
丸田恭介,100.36,109.17,,109.661,95.863,104.307,96.286,113.365,21.0,236.417,98.82,104.968,95.924,122.355,39.911,21.0,44.441,130.486,99.347,97.346,131.38,101.109,108.482,82.245,68.228
丸山元気,101.152,103.11,,104.429,101.608,82.019,104.865,100.685,50.443,82.493,96.739,105.171,111.839,116.444,98.863,102.794,72.455,92.464,97.852,116.451,100.183,104.849,96.644,151.072,82.682
三浦皇成,96.313,105.644,,102.732,98.278,96.525,100.267,101.693,21.0,71.204,111.387,91.632,103.936,101.071,91.373,65.861,54.695,,86.083,116.309,94.968,107.462,99.994,94.772,87.467
水沼元輝,79.368,89.467,97.421,94.354,77.792,83.12,75.208,98.395,,191.832,70.978,71.792,50.206,41.969,45.642,311.0,299.75,204.383,38.329,121.144,50.282,107.498,71.051,21.0,
蓑島靖典,97.0,21.0,82.97,21.0,,97.831,158.024,78.896,,,75.762,168.665,109.936,60.359,211.0,21.0,21.0,86.572,21.0,21.0,21.0,75.454,,145.033,
幸英明,92.19,97.115,,90.985,97.565,113.484,93.489,94.89,,21.0,111.084,98.913,49.708,77.961,97.001,92.7,90.942,93.693,92.356,96.881,93.059,95.101,93.548,95.072,110.17
武藤雅,78.547,103.796,,96.412,90.938,77.065,89.395,97.032,89.374,65.587,89.469,89.32,94.381,103.675,35.518,71.629,21.0,131.698,50.494,119.224,94.543,101.346,86.246,101.09,40.533
森一馬,82.598,98.739,99.692,29.736,38.516,98.741,82.97,103.376,,,71.612,73.872,44.812,129.942,114.825,85.043,84.341,107.153,41.391,72.722,21.0,104.192,30.465,90.965,
森田誠也,100.401,120.936,,104.651,133.223,21.0,85.758,118.247,136.09,126.854,21.0,113.236,,21.0,69.312,92.251,149.444,,84.016,119.268,21.0,91.017,143.343,,
横山和生,99.922,101.907,,97.984,104.239,102.406,94.804,104.285,104.712,96.923,113.346,34.393,97.005,104.748,90.704,118.836,101.928,112.116,95.967,99.882,107.396,99.038,99.915,118.26,93.247
横山武史,98.803,91.219,,95.755,94.577,97.31,91.637,97.304,96.116,105.836,85.85,84.552,91.11,96.405,123.329,72.18,90.545,178.59,99.772,91.974,105.393,97.886,91.064,82.352,105.484
横山典弘,93.747,106.44,,94.754,104.381,77.53,102.841,97.269,110.063,,51.034,147.167,102.434,102.935,98.002,76.564,109.03,107.197,87.249,108.566,97.384,106.181,93.734,94.01,102.744
横山琉人,99.526,103.559,,96.167,109.038,78.917,105.637,101.235,131.296,74.827,102.393,104.679,104.302,98.148,74.074,21.0,236.602,113.81,95.637,106.212,114.317,94.76,107.533,74.179,125.894
吉田隼人,92.379,97.964,,82.685,103.746,108.383,95.899,93.575,86.818,98.13,112.954,99.266,160.802,95.372,91.07,81.251,102.79,87.271,83.472,88.809,62.049,98.851,97.778,77.499,82.231
吉田豊,95.248,100.8,,98.851,99.962,85.414,99.571,97.124,90.047,384.333,94.977,93.992,99.583,98.114,118.439,21.0,21.0,21.0,110.629,99.522,97.865,96.145,99.333,109.192,103.262
吉村誠之,96.758,97.217,,100.372,95.574,68.3,96.084,98.342,,,164.08,96.011,97.857,164.419,96.017,101.41,86.076,106.29,96.098,90.872,91.008,103.905,92.167,97.799,190.51
ルメール,103.098,99.858,,101.088,101.537,112.044,105.342,97.801,99.548,59.405,93.122,107.879,106.414,98.349,87.249,98.395,101.417,,106.603,102.513,104.648,101.26,102.976,89.821,100.587
鷲頭虎太,107.154,118.354,99.137,113.578,116.627,71.266,130.265,105.153,76.916,101.019,110.413,145.658,240.386,116.0,110.022,129.669,115.273,100.029,129.326,132.926,111.2,104.864,118.927,105.888,21.0
和田陽希,88.325,114.045,,117.939,81.526,232.748,109.287,103.249,129.434,57.683,56.725,101.273,,,123.181,158.656,95.289,,118.305,113.43,21.0,101.506,110.806,,
和田竜二,100.163,88.691,,98.466,90.182,105.867,80.419,96.974,66.604,68.001,257.914,94.134,59.427,78.233,80.462,100.295,90.007,104.929,95.503,83.53,93.225,99.501,94.379,74.072,58.145
