騎手名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
高倉稜　,745,-72,,1014,-525,32,-131,767,,0,-85,0,0,6,-74,-740,1416,-92,119,-526,-339,126,1004,-199,70
高田潤　,0,-132,13,0,-56,13,-38,-57,,,22,0,0,-87,-27,-24,-7,0,0,-79,0,-4,-42,13,0
田口貫太,-3061,1984,,1312,-1585,326,-2107,1434,,,,-40,,-164,-1928,-1699,1615,781,-936,-377,-1453,-1598,2062,50,-158
武豊　　,-1103,605,,-706,211,-44,-321,27,-107,-82,0,0,23,275,-281,-801,18,83,-558,99,-214,-580,677,178,-271
太宰啓介,-614,-162,,57,-53,-128,364,-522,,0,-118,-62,-568,0,386,94,-393,-120,204,140,-130,-143,239,-158,-242
田中健　,532,721,,1013,184,-158,585,893,0,,106,131,0,0,290,-767,647,29,225,470,102,1793,-69,-73,-158
田辺裕信,1552,158,,942,90,659,230,1606,0,,1065,-276,352,514,0,329,0,-552,815,31,107,1379,708,-1210,-996
田村太雅,0,-236,-533,-236,0,-533,-79,-158,,,-147,64,,-158,-13,-20,-382,-79,0,0,,-701,-79,-66,
丹内祐次,5799,826,,3334,3063,367,58,6405,2128,1802,-286,857,-874,212,-132,421,0,1857,2538,-554,-269,2661,3775,-130,-335
団野大成,1481,1412,,1187,1303,396,899,2030,0,0,263,303,1633,256,-477,631,406,972,186,-160,197,-1238,3102,994,1105
土田真翔,1843,-2318,,2118,-2301,-79,-1623,680,2247,-946,574,-1340,-1576,-1497,3272,,-79,-315,-630,-447,-788,117,-120,-79,
角田大河,2263,-1107,,1663,-813,-18,749,68,,,,377,,340,-150,-1426,-527,578,787,-1386,617,870,-302,138,193
角田大和,2612,-175,,982,1240,170,291,1817,121,956,502,-27,,-74,248,4875,-24,33,782,310,82,-656,2968,1648,-630
津村明秀,1347,1110,,2875,-444,51,2257,-3,,-473,-95,1361,416,551,-91,0,-57,0,599,-253,618,1023,-629,378,32
Ｍ．デム,1640,282,,1070,1032,-268,1098,723,-80,-124,125,343,447,572,191,-1746,669,-383,406,-396,892,524,0,1,-335
戸崎圭太,-957,-1427,,-845,-1399,-130,-1621,-611,-170,0,7,-177,-1398,-1139,-247,171,543,,-869,-588,-852,-517,-582,-226,-19
富田暁　,-1698,-205,,-2452,477,285,-624,-1172,1275,401,116,-644,0,-38,-117,-1700,-200,-675,-1019,-514,-441,373,-1053,-671,-344
中井裕二,-1508,803,,368,-284,-347,324,-652,0,,-789,-32,201,117,321,550,-151,-140,-966,490,420,-885,372,-394,-158
長岡禎仁,712,271,,1544,-962,0,736,-345,292,0,-131,0,-65,0,554,-1243,-311,324,1209,-485,78,849,-96,104,0
永島まな,-977,-2839,,-1099,-2662,-249,-2263,-1733,0,0,222,322,,0,-2614,-311,-1201,-311,-318,-1822,-930,-746,-1844,-552,-394
永野猛蔵,-426,-5173,,-2236,-3252,-428,-4222,-1178,,,842,-3048,-2019,-2112,45,-788,0,,-206,-349,1258,-2285,-2658,-1808,-1182
中村将之,,0,-1189,0,,-1189,0,0,,,-223,-140,-46,-84,-21,-144,-19,-567,,0,,-667,0,-458,
難波剛健,-54,0,1178,0,0,1187,0,-79,,,-15,790,122,330,150,-179,-110,224,-79,0,0,661,-79,475,
西谷誠　,,,-72,,,-72,,,,,0,-32,50,85,-42,105,-90,77,,,,-277,,496,
西塚洸二,573,1062,,1200,466,-315,4749,-3767,0,0,-49,1557,586,-1289,3369,-2364,0,-1862,525,1529,-756,23,1790,337,-79
西村淳也,3067,168,,3365,72,67,976,1876,54,1629,189,73,729,-1117,823,1434,-996,736,1480,823,901,1095,231,1174,573
西村太一,-436,7,-236,-250,116,-315,-695,804,,,-178,-496,-403,929,0,,0,-158,-236,633,42,-443,128,-79,
野中悠太,-319,-185,,303,-1157,77,-142,-391,,0,-65,-234,-194,247,-305,1464,12,-2210,-389,-1188,-401,480,-825,15,-31
服部寿希,97,-265,,-48,-137,0,10,-355,0,,0,0,0,0,5,-131,-131,0,-140,-283,-79,-198,1,0,
浜中俊　,941,-272,,-622,1156,-39,43,628,623,-37,,28,-62,631,10,-426,-184,36,375,-178,298,520,-722,725,901
原優介　,-442,834,,-680,380,699,119,461,0,,-522,43,963,1151,-280,,0,-89,-424,-2272,-1592,-2035,3125,1908,804
原田和真,1183,-700,0,1624,-1031,-157,214,260,-74,0,-837,-565,781,434,-11,0,0,374,-121,-89,1260,-1399,887,0,0
伴啓太　,-113,-41,807,-78,-58,796,-135,-18,,,62,10,-210,48,60,0,94,683,-79,0,0,431,-158,317,
菱田裕二,645,1057,,589,804,258,236,1299,0,0,618,1043,-60,0,-1067,-404,312,609,650,115,211,1113,277,556,-194
藤岡康太,-2047,848,,-892,144,-332,-41,-1116,0,0,-352,0,-239,-33,141,-276,-502,-42,-517,1551,-1191,-336,637,-89,-140
藤岡佑介,922,821,,279,1553,-44,90,1709,538,118,50,-121,-347,930,216,145,95,169,11,678,343,836,560,-68,-198
藤懸貴志,-308,942,,764,-697,400,-537,1156,0,,110,242,937,56,-984,-263,-181,1051,381,162,-437,1015,486,-506,237
武士沢友,-1312,-1181,,-2132,-3,-259,-1557,-429,,,-226,212,-1924,-284,,0,-79,,-376,-213,635,-1669,-714,-315,-158
藤田菜七,-1843,-1742,,-1430,-2032,62,-927,-2564,0,-394,-1279,-93,-782,-499,-534,98,0,-151,520,-1056,-140,43,-2586,-425,-204
古川奈穂,350,-505,,-787,-406,671,-376,131,-2203,365,1235,142,0,438,-382,589,-38,224,-177,-88,54,-594,284,-61,-79
古川吉洋,2222,-60,,1441,833,-369,685,1467,-527,31,318,-470,-117,370,1286,1030,411,279,1385,498,-141,1269,656,350,131
松岡正海,372,-766,,291,-636,-238,-538,-316,682,-65,487,18,199,-1426,-504,889,-741,107,152,-465,-1083,1088,-1856,968,699
松本大輝,-1194,805,,653,-584,184,-741,864,1430,361,168,-602,0,24,-39,-788,-384,492,-1124,-532,27,246,-432,103,-158
松山弘平,-2393,984,,-1665,557,-366,-231,-1050,52,,0,-445,1793,-865,-546,247,-124,-237,101,762,-452,-445,-1013,-36,343
松若風馬,1610,1121,,969,2076,-360,1331,1115,,,-214,93,-6,-97,1302,2375,341,1,-344,1158,-125,2512,223,379,263
的場勇人,-473,-2246,,-1955,-754,-28,-1629,-770,91,77,-301,57,-1594,-517,-398,0,-236,-394,-415,-1115,-198,-905,-1692,,
黛弘人　,-85,8,,801,-575,-256,-59,243,482,-338,484,-348,214,-137,-89,-326,0,-299,-264,-482,-578,-238,1328,-626,-315
丸田恭介,156,1612,,1304,917,-486,-142,1933,-158,0,15,49,-526,2056,-119,0,0,-51,215,357,-29,1525,-479,654,724
丸山元気,-610,-724,,-1194,-123,-203,-872,-823,0,-161,-213,223,-803,244,-149,51,-141,123,-712,206,-144,189,-1524,-239,-314
三浦皇成,-688,1142,,839,-286,-101,-1,319,-189,0,345,-109,960,326,-898,-349,-97,0,-469,407,128,1305,-768,-790,-1290
水口優也,594,1339,,1319,565,-13,1449,753,0,27,25,34,314,-158,1146,4344,-166,-457,-566,-420,-11,1855,-524,-262,-3
水沼元輝,-4030,-896,-1399,-4099,628,-1623,-2367,-1314,,475,-2888,-4176,-1230,-1876,265,,-79,2330,-353,2160,-732,-1093,-4165,-473,
蓑島靖典,0,0,1010,0,0,1010,0,,,,-538,793,-53,-171,44,-131,-394,60,0,0,0,619,,549,
宮崎北斗,-750,580,,-87,-124,13,214,-184,,,-79,-141,375,-119,0,-131,0,0,-33,630,-368,43,-100,119,0
幸英明　,-1170,-1502,,-1732,-513,-667,-330,-2478,0,-361,-63,163,-648,-730,-27,1478,-1640,-12,261,-829,48,-1609,-1453,990,124
武藤雅　,-1490,-1103,,-2241,-570,81,-856,-1728,0,0,-704,-1074,74,-1139,-147,0,0,,-525,185,-224,-1486,-719,213,-167
森一馬　,-150,0,-384,-108,0,-386,0,-5,,,-24,-275,-51,170,0,26,8,-138,-128,0,0,-239,-43,-159,0
森裕太朗,-417,722,,1300,-377,-42,-137,1224,-79,,73,-22,-79,0,-80,683,72,792,-79,533,90,357,54,-1,0
横山和生,1399,1326,,737,1689,213,368,2180,264,-5,0,0,798,1093,164,361,292,0,294,270,376,437,886,979,57
横山武史,-1116,-1705,,-1315,-925,-505,-1553,-1268,-302,241,-64,0,-1695,-691,106,-583,-643,0,574,-870,-404,753,-2187,-209,424
横山典弘,-787,1280,,222,724,-354,862,-556,-48,,-7,55,-259,103,1326,-1925,361,0,-687,305,-40,577,191,56,245
横山琉人,-1714,467,,-874,-257,-33,337,-1442,-195,-1103,-1023,306,-98,1175,15,,48,,-390,172,613,-813,-549,-284,129
吉田隼人,-385,28,,-1220,543,209,-24,-264,-707,229,105,-46,234,-24,-78,292,694,-172,-409,316,-414,-193,262,91,37
吉田豊　,-459,-794,,-631,-598,54,444,-1514,0,0,-751,-66,438,-373,0,-788,-79,0,527,-352,-336,-330,-8,-23,-622
ルメール,-22,-580,,-973,-374,730,546,-1254,-679,-13,,-59,932,-751,-141,966,-138,0,-132,-283,-483,-799,1103,-149,161
鷲頭虎太,163,1023,247,1717,-442,-113,-382,1794,-596,1448,748,-478,,,-270,1278,102,-127,271,146,-295,1539,-85,184,
和田翼　,-830,1283,,548,460,-270,813,-255,-867,,-11,78,82,0,625,24,-525,120,-781,1200,912,-9,-345,0,0
和田竜二,-712,-2286,,-1902,-2005,771,-1929,-924,136,-410,0,-113,-431,0,-1419,1024,-245,-573,410,-1793,1142,-1262,-2137,-696,-323
