種牡馬名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,2歳,3歳,4歳,5歳以上,距離短縮,距離延長
アジアエクスプレス,195,434,49,745,-175,1065,-583,1230,394,-225,783,71,-9,178,-489,864,-235,-228,-40,520,-312,-426,3153,-433,227,-250,457,1337,411,-364
アスカクリチャン,-1491,320,-236,-594,-886,-394,-175,-870,68,-113,242,20,-118,-1261,-104,-527,1,-283,-867,-707,-329,305,-984,-315,-174,265,-84,-2049,-150,-416
アドマイヤムーン,-429,-1592,274,-1107,-895,131,-984,-1146,-384,-138,-314,235,-494,-299,-26,89,492,-498,173,-538,-169,-1242,-970,774,-868,-791,-424,440,-659,-436
アポロキングダム,-4,263,0,1175,-274,0,-174,327,-178,0,64,184,-225,-127,-121,0,0,287,-163,416,15,-23,154,0,0,110,687,-29,439,-593
アメリカンペイトリオット,997,-911,-552,46,-94,-359,-1462,1367,163,-473,-832,-938,-1854,326,537,-63,558,1416,287,-286,746,-507,-1329,454,743,-576,-2530,,-960,-561
アルアイン,-790,-438,,-1845,304,,370,-1443,-79,-153,-315,-33,-314,-611,720,42,-238,,-224,-79,-1256,909,-236,-473,-1231,,,,194,-946
イスラボニータ,916,-1222,-79,484,-1141,568,1836,-2141,-769,100,-454,-449,2888,57,-400,81,-544,-563,401,-472,104,144,-981,492,529,-973,-214,,-27,520
ヴァンセンヌ,476,809,569,-104,889,721,705,125,281,-39,16,404,130,448,287,-1039,-479,-83,66,608,-174,811,883,286,-209,450,113,2454,589,1308
ヴィクトワールピサ,23,-1928,24,-931,-871,-107,346,-2293,-101,-352,-993,-12,488,186,-216,-381,-366,-587,-957,-891,203,-1140,-514,-470,-121,-1062,-160,-589,-508,370
エイシンヒカリ,2354,640,-315,3415,-322,-420,166,3158,1023,624,132,108,-75,931,143,1397,-135,736,2252,878,561,1582,277,287,429,1582,79,-329,987,856
エイシンフラッシュ,-2186,-1064,-239,-2192,-1277,-164,-1574,-1870,-161,-499,-14,-1053,-1002,-105,-439,-349,-591,159,112,-468,-244,-715,-2216,-1519,-578,-675,-531,-2310,-1199,-1681
エスケンデレヤ,74,1105,4,-460,1359,151,-79,1439,-78,-271,495,-105,67,259,-32,395,334,157,147,781,148,137,1361,-160,48,870,359,-530,401,592
エスポワールシチー,-118,2209,24,1381,769,11,931,1214,-25,67,-146,-124,183,459,1091,706,480,32,-53,865,575,919,-114,471,860,227,459,-162,793,-663
エピファネイア,-2911,-3768,398,-4602,-1579,19,-1087,-5094,-627,279,-1395,174,-839,-736,-325,-955,-699,-1196,-2720,-884,1814,-1751,-6674,-546,1103,-3413,-2124,-4216,-4649,-1091
オルフェーヴル,1566,87,82,-465,1056,822,-30,1442,33,-51,1292,125,-409,293,328,-338,-715,678,693,291,-660,433,979,795,-2191,638,580,1072,-88,2357
カリフォルニアクローム,-466,1367,,718,456,,994,-17,495,-315,111,-43,1502,1521,-236,-1468,-604,-109,36,139,-488,582,973,-158,1166,,,,-173,-153
ガルボ,321,427,,252,219,214,-368,818,183,-191,52,-40,-383,646,0,-131,0,-239,459,8,-26,178,525,-79,126,-94,589,116,176,222
カレンブラックヒル,497,2722,36,2686,422,-3,2061,1389,-11,253,621,181,1539,-389,383,-1235,740,336,580,529,627,470,1644,207,1868,-1058,2450,-300,2223,-11
キズナ,6626,1130,1434,156,5954,2906,2469,5156,51,152,1380,227,1768,488,854,4331,2765,-1253,607,-160,-22,2230,3826,2476,2062,2473,1362,2143,699,6634
キタサンブラック,-1193,-121,797,456,-995,-397,744,-2252,-215,-494,341,-560,710,-1429,407,949,43,-334,701,-244,-3,734,-1041,-566,-30,-850,216,,410,1492
キングカメハメハ,164,1244,-109,-308,1175,449,508,801,184,93,413,-474,1098,-256,58,-268,336,11,-26,-43,0,70,221,105,0,0,550,326,187,1111
キンシャサノキセキ,-2348,-401,339,-1694,-884,213,-713,-1732,-213,152,-304,-224,172,399,-932,-1180,-279,-472,-1481,-1545,-295,187,-2825,220,356,-2641,-354,127,-949,-238
グランプリボス,55,37,-79,-231,510,-130,-304,353,-8,-16,-453,76,-194,117,-234,-155,289,-65,231,293,62,-119,-26,-153,-45,-27,147,-1004,69,-662
クリエイター2,-1143,-874,-79,-491,-911,-164,-381,-968,-234,60,105,-310,-99,-319,49,105,-338,-220,-630,-299,-46,-858,-67,0,-327,-188,-351,431,941,-643
グレーターロンドン,1954,1322,,2205,269,318,696,1884,31,-79,592,225,452,838,116,-441,134,-219,-172,286,463,785,1506,-555,784,1587,,,-1700,1834
クロフネ,-94,-452,74,-327,-199,-15,-125,-429,-133,-27,-157,-62,-115,395,36,-164,-200,80,0,-116,0,-97,-72,-116,0,0,-187,-415,-253,-538
ゴールドアクター,2419,598,-79,360,1813,536,355,2196,464,-79,674,890,117,-658,-394,301,339,1239,897,218,679,1535,1096,-473,-170,4103,,,-4,915
ゴールドアリュール,47,-423,-81,-355,-49,-75,-422,-90,-4,-29,90,-253,-265,226,24,-29,-161,-68,26,-67,0,-27,-616,274,0,0,0,-641,190,-397
ゴールドシップ,759,-1475,508,-1094,345,606,-415,-149,193,-671,1052,157,-580,-330,103,-1761,-173,916,-1035,-821,621,1393,-2001,106,41,1005,-810,-1339,-1027,-183
コパノリッキー,-389,-816,-236,-2094,1112,-185,-1310,477,-642,-287,-177,-894,35,583,-664,2043,446,-331,-86,-849,221,738,-2494,23,769,-1092,-1721,,830,-1208
サウスヴィグラス,32,307,-7,264,114,-9,155,133,-1,4,62,96,118,85,-114,407,-189,0,90,75,0,20,1,161,0,0,0,-474,566,139
サトノアラジン,-829,-1185,96,-830,-820,-318,-1371,-369,798,-217,-626,-336,-1327,-346,-63,-187,147,690,4,-510,-31,-1950,376,-498,-854,-633,228,,-1907,-16
サトノクラウン,-2563,625,-236,-342,-1416,-75,-63,-1458,-277,-468,-1082,1682,-250,1015,-1657,3504,548,-2584,-2491,938,774,-3369,150,-363,-618,-1030,,,662,-1740
サトノダイヤモンド,-861,1836,,1117,472,-1174,-171,818,2079,151,-13,209,-476,379,345,-217,-974,-126,799,817,131,423,379,-417,964,-1071,,,3039,-3516
ザファクター,-147,329,85,266,-12,-29,-60,240,-65,-110,-387,122,-281,116,172,1395,-60,232,297,480,0,2,655,75,0,0,1128,,1187,-1023
サンダースノー,-1877,-469,,-505,-1491,,-545,-1605,-630,-236,-318,57,-356,-238,-394,-1839,1087,-407,-473,-449,-1517,-198,-236,-79,-2184,,,,-120,-169
シニスターミニスター,-576,8768,-51,3365,5076,204,2220,6684,101,-253,748,-356,1375,1580,1007,3740,1894,833,-79,3599,603,3503,2729,412,1819,3726,1914,88,1469,4129
シビルウォー,-79,-65,-552,-384,0,6,-65,-20,163,-111,-85,-194,-383,-181,41,0,9,-383,-79,-78,-35,-102,-116,,0,-5,-383,0,-58,-23
ジャスタウェイ,-357,-485,239,-374,-775,591,-617,-195,191,791,-485,-95,-134,-1374,34,-1677,1691,-415,-320,65,-564,14,34,-154,-795,-768,1935,-431,802,789
ジャングルポケット,204,-570,-45,-228,-1,-185,31,-571,371,0,-142,76,-10,-402,-78,-116,-318,-128,60,-185,590,-98,-253,-458,410,-149,-39,-536,84,-305
シャンハイボビー,8,-166,-79,507,-694,-552,-838,221,-417,94,4,296,-808,-426,-431,770,289,-21,-506,-678,-156,640,-536,-183,476,-870,0,-32,1389,-1566
シュヴァルグラン,-268,-1747,,-1013,-353,,148,-1398,76,,-110,403,-867,-1734,198,-1198,378,-68,661,536,-898,-521,53,-79,-1361,,,,-119,-669
ジョーカプチーノ,520,183,25,-327,1232,167,-220,1478,179,44,216,99,-74,412,-321,287,369,-342,53,-252,222,-534,1131,508,186,-206,41,1831,145,-533
シルバーステート,1834,-2566,-540,-954,6,85,460,-1198,-678,-811,-724,-294,-1358,2476,1840,-363,-409,-396,1071,-867,842,-818,-880,-433,-109,-380,-658,,-958,-491
シンボリクリスエス,-50,138,119,-172,207,45,-185,235,39,49,165,292,-38,91,-108,28,-86,-156,-69,71,-31,232,27,47,0,254,-27,-65,108,8
スクリーンヒーロー,2390,663,37,1501,1141,312,1268,1698,326,223,1397,926,176,-265,70,564,-161,176,1266,289,-527,868,2092,637,-722,2381,377,376,1002,964
スズカコーズウェイ,0,338,0,128,296,0,-27,130,78,-75,306,-103,-55,-11,208,37,10,-30,0,318,-29,289,197,-44,-85,673,-200,-121,96,-76
ステイゴールド,1,39,131,10,195,-69,116,15,9,0,43,29,11,6,138,-1,-48,20,-93,0,,-163,34,331,,0,0,358,127,122
ストロングリターン,-1927,-237,-619,-562,-1589,-181,-1129,-905,-163,17,24,-362,-525,-87,-322,-663,-633,227,-473,-306,-265,-677,-1415,85,-252,-482,-662,-917,-416,-604
スピルバーグ,542,58,-1,235,376,127,167,754,-88,-107,50,-153,784,486,-484,1305,124,162,52,-44,-7,132,793,-228,-14,322,370,-75,238,101
スワーヴリチャード,1716,102,,613,1186,,559,1295,322,663,-722,-127,658,68,23,1129,-2,2,-48,-119,616,878,92,257,1842,,,,104,804
タートルボウル,69,-20,20,-182,198,-49,-176,208,1,0,44,-4,-103,-95,-130,264,-16,131,3,-93,0,30,-143,119,0,0,0,48,-106,223
ダイワメジャー,395,-2968,221,-874,-1302,-201,-284,-2636,-709,-555,-815,564,-229,-289,-220,-2279,131,137,646,-1595,-51,-407,-1598,-573,-627,-468,-560,-650,119,-2916
ダノンシャンティ,218,-514,0,-130,-336,102,-452,175,-129,66,16,-120,71,403,-504,116,-43,82,-55,-159,75,-324,-74,29,-10,-259,-123,1016,-171,-463
ダノンバラード,1859,1599,,455,3414,-264,773,2824,1225,43,1177,76,832,-1820,-358,546,985,77,1452,-234,1061,780,408,428,749,1421,0,60,182,901
ダノンレジェンド,-1403,4340,-394,2187,1167,-107,561,2657,70,-220,472,-582,507,438,371,1754,929,-61,-165,760,999,558,1050,-215,699,878,1131,-448,1346,170
タリスマニック,-1456,-1197,,171,-2699,-158,-1190,-1621,-78,-367,582,-720,-614,-970,4,-3283,-44,104,-663,187,-1615,-482,-1253,545,-1129,-1495,,,909,434
ダンカーク,-1173,-58,-99,-1145,412,-116,280,-1151,-372,-147,-233,258,-581,320,273,462,-551,-736,-231,842,623,282,-877,-671,45,359,-583,-755,-36,-860
ディープインパクト,-189,-827,313,-121,-752,91,-317,-642,-140,-274,-110,-143,-583,631,257,840,-579,-176,102,-263,-3,-70,-916,572,0,-29,-284,-736,-124,-1402
ディープブリランテ,211,-1386,-100,-517,-748,182,-1138,-101,85,260,-217,-526,-239,-326,-230,-57,97,-158,-180,-1130,198,-578,-850,271,34,-98,-235,-1264,-106,-200
ディーマジェスティ,386,405,,904,-57,-98,-426,1285,224,674,-122,141,-559,-29,343,988,345,-573,-835,91,-127,157,1023,143,130,823,-980,,1345,-1309
ディスクリートキャット,2569,145,-62,2373,-407,-300,1034,901,-249,217,-288,-201,581,647,627,2357,-26,-159,1591,1169,-794,987,1013,292,-508,1192,179,2742,2472,-1433
デクラレーションオブウォー,2498,-746,-7,1277,168,241,153,1784,1088,43,101,-698,593,59,184,-219,-205,925,1244,1089,-803,713,1222,460,82,1430,0,108,526,710
トゥザグローリー,388,-5,-284,518,-181,-284,843,-620,110,-2,108,232,273,-146,402,3,-553,-561,192,-112,-76,-234,-300,239,-110,-183,-25,977,-38,200
トゥザワールド,-182,105,-236,-274,308,-236,-347,-339,-208,-142,-70,-105,-228,118,43,-106,467,351,33,327,330,301,-70,-262,751,-345,40,-526,-44,-468
ドゥラメンテ,1782,-2525,-354,-2129,-77,1858,-1595,1079,371,267,-222,-435,-511,-202,-750,367,-680,1232,1177,-1482,544,-1048,-28,490,-22,-272,9,-815,381,-886
トーセンラー,424,-1442,0,1228,-1351,89,-335,241,35,335,-363,-166,-696,-180,310,-16,-400,347,-125,-997,-89,-1206,536,-192,-609,126,1145,-1452,-277,401
トビーズコーナー,-700,1474,-207,242,765,-253,-98,1443,-57,-220,290,-30,75,1379,-53,-1047,138,-215,-230,624,544,283,156,-186,-341,529,-156,361,-922,-145
トランセンド,110,349,31,574,-57,28,119,340,0,135,22,-215,-191,80,269,-155,328,193,-273,17,-189,243,274,-122,-34,374,-49,18,432,-13
ドリームジャーニー,850,-133,151,-304,656,283,122,432,-3,0,-90,295,42,215,326,462,-177,267,629,-82,-11,133,63,683,0,-19,0,991,95,372
ドレフォン,-2456,2830,161,-393,577,154,-1434,1673,895,413,199,-484,-363,214,-597,1357,-108,-431,-1450,2044,-1417,955,1193,132,-825,-331,3842,,1700,1494
ニシケンモノノフ,433,-1332,,-227,-630,166,974,-1157,-158,,-380,194,-473,-168,750,-657,-493,40,260,-715,-280,177,-142,,-237,32,,,-639,544
ニューイヤーズデイ,1517,1347,,2457,416,,1553,1325,218,,-114,1027,232,-328,359,340,957,47,349,-16,1758,889,352,-158,2799,,,,813,-759
ネオユニヴァース,-232,-353,-54,-871,112,-51,-443,-224,-27,0,-49,204,-123,-223,-233,118,-163,175,-97,-170,-27,-580,-152,-237,-192,-519,0,-242,172,-320
ネロ,1235,-912,,-210,133,732,899,-194,-23,519,-85,-203,1229,-452,-67,110,-75,-158,399,-382,-309,1266,-182,-158,59,903,,,6,1376
ノヴェリスト,230,-772,342,-678,4,602,-18,-557,321,18,-56,62,117,-190,149,-239,-177,-353,-14,-376,191,-1204,248,67,-20,-866,-20,1072,-396,583
ハーツクライ,-5411,-202,161,-1152,-3574,-845,-1442,-4587,-125,-687,-233,-250,-859,64,-47,-2400,-2478,-46,-2075,-704,-112,-2062,-1468,-1211,-249,-4048,-302,-869,5,-3124
ハードスパン,0,-426,0,-119,-486,21,-406,-133,0,0,122,-181,-36,-146,-190,0,-15,-147,0,32,-36,301,-581,-27,0,144,-406,-31,6,-133
ハービンジャー,-864,-2333,473,-267,-2156,-369,-2843,-227,-18,-98,-789,-991,-513,-595,-1274,687,523,737,-1424,-1405,880,-1179,-2348,355,417,-1825,-1095,-903,-2740,674
パイロ,201,1992,-25,480,1800,-108,677,1343,23,65,439,-178,470,-28,584,-426,917,13,776,481,179,449,941,238,229,1172,576,-649,364,1862
ハクサンムーン,1218,314,,689,265,,-563,1735,107,-158,-84,-455,-251,658,-191,2931,-89,57,-86,-6,248,1892,-360,,186,1160,-50,,630,-300
バゴ,-1514,-419,-130,742,-3100,-296,-1428,-497,-209,-128,306,-379,-929,-815,-141,-1056,59,-17,228,-194,-319,-2314,126,-54,-1112,-1499,328,-88,-702,-2486
パドトロワ,-529,-890,54,-1182,-394,23,-689,-564,-79,311,-263,-109,-394,-372,-340,249,-319,-7,-212,-339,201,-630,-852,-25,-254,-779,-461,-43,-155,-392
バトルプラン,415,-537,-57,364,-552,-162,-361,211,108,258,-336,-10,-283,164,-54,318,-386,-95,-42,816,-161,268,-592,-19,-311,105,-46,-178,842,-331
バンドワゴン,-26,-140,,117,-232,,-147,-132,,,-79,-79,-158,-79,88,592,-109,-158,182,-168,71,-447,178,-158,-116,323,,,-172,269
ビーチパトロール,1228,-647,180,275,787,-18,3424,-1673,148,-240,-398,-405,1816,-746,2487,-518,-631,102,544,-1663,-558,1095,928,-128,-1851,5560,,,3207,-68
ビッグアーサー,103,-3499,109,-2916,-121,44,-1460,-1622,-487,96,1081,-736,-516,-424,-602,-2055,-760,-506,349,-1879,-292,-2787,1251,-172,-830,-2380,655,,529,-788
ファインニードル,432,-1053,,98,910,,-81,-153,235,-170,-45,51,79,-485,-279,2780,-481,-57,1284,-1291,171,109,-899,203,-204,190,,,512,-234
フェノーメノ,1,18,81,-538,304,355,-25,3,-34,0,223,94,-97,-422,-54,27,9,105,182,-82,-127,-205,575,-618,-214,-107,487,-183,26,476
ブラックタイド,-751,1439,-89,-471,879,131,64,624,-918,-231,628,-528,-253,748,899,-279,792,-557,100,643,-117,721,-421,37,-62,114,-106,831,233,-595
フリオーソ,-315,258,-208,188,-517,-157,-333,248,439,-105,-440,-38,-410,-9914,216,-504,1448,105,-79,210,70,-875,485,67,-301,197,-160,443,-199,-718
プリサイスエンド,-174,386,0,-514,734,-55,-39,208,25,-41,145,50,-202,49,81,-486,37,22,-64,83,0,-2,74,0,0,-9,668,-881,52,36
ブリックスアンドモルタル,-893,522,,-941,767,,390,-845,-312,-79,-394,-29,548,-958,-192,1155,-12,-65,-736,237,-570,265,111,-149,-341,,,,248,-619
ベーカバド,712,-402,-245,140,-58,-56,115,-81,-30,-20,265,260,-34,55,-14,-288,-95,-9,-48,-151,-25,-299,62,-89,2,-257,193,102,89,-202
ベストウォーリア,-788,-674,,-629,-1024,,-171,-1321,-473,-315,-151,-518,400,455,-176,-188,-347,-259,-79,-161,-594,-1345,203,2879,-576,-765,,,743,-492
ヘニーハウンド,-158,54,,101,-228,,87,-120,-79,0,-315,-78,424,-112,-133,-263,10,-66,0,65,12,-43,219,,52,-294,24,-315,-348,-35
ヘニーヒューズ,-494,4244,-36,1613,2325,-316,1443,2365,652,90,613,69,1217,209,259,1717,-225,357,-144,1523,302,1513,815,443,1123,1385,462,-137,2605,726
ベルシャザール,483,-412,-41,176,-682,204,-261,173,-31,-24,18,-166,11,-103,-293,-101,169,238,157,-203,-25,45,-68,-268,7,-9,-325,-165,30,167
ホッコータルマエ,-292,780,-584,1029,-356,-343,1543,-970,311,63,-573,1323,343,-184,-8,-2986,-641,336,-60,1471,347,734,-734,-822,-179,2470,-772,-3752,1179,312
マインドユアビスケッツ,-735,-2258,,-2455,-466,443,-2174,-744,896,-221,-624,-192,-378,-60,-1473,-1940,8,-31,610,-42,-789,400,-2769,485,-456,-2788,,,-975,873
マクフィ,992,-123,-93,1128,-137,-232,761,-317,117,70,-887,466,419,-718,88,-414,-163,429,765,-1435,120,-303,552,486,277,-772,662,1988,72,362
マジェスティックウォリアー,-751,1007,-363,-182,211,331,-1525,2156,641,69,281,-801,337,95,-1182,-2309,1308,94,-556,1111,811,-2158,2424,-656,-753,-544,1542,3,-370,-1195
マツリダゴッホ,-599,-218,-354,-667,-42,-448,-271,-437,-97,-147,-335,-187,-442,126,99,-290,-247,68,-51,305,-259,-629,93,-200,-118,-472,-251,-39,-351,52
ミッキーアイル,1131,-1005,-195,-625,876,-300,-630,913,-161,649,-315,-477,-379,182,162,691,-87,329,-412,309,-884,446,-468,978,153,-184,288,-663,1198,-707
ミッキーロケット,172,-1189,,567,-859,-473,-1357,396,-84,-79,-127,757,-367,428,-191,555,330,-369,303,-830,194,-992,-184,-13,423,-1373,,,241,-1198
メイショウサムソン,227,-298,113,-186,-153,316,-27,108,-538,-222,106,119,24,-288,-240,19,307,240,308,-611,-165,122,34,179,34,-52,168,-925,520,106
メイショウボーラー,-475,-1053,-131,-2272,409,-155,-75,-1326,8,-183,-47,-348,-309,-375,219,-218,-438,-186,165,134,-339,-1501,334,-30,-574,-986,16,-14,955,-632
モーニン,-214,-196,,-887,403,,-405,-9,185,-158,119,431,-625,-614,-236,1669,-552,-158,-158,-874,-273,-308,131,,-382,,,,-127,-353
モーリス,349,-2473,-345,-2738,1001,-921,592,-2618,-748,-465,-1351,-154,868,-224,-247,2212,-1300,563,-221,111,-430,818,-1179,-651,-236,174,-709,-3689,-373,-91
モンテロッソ,823,-595,106,763,-212,-28,-653,1198,-21,172,131,-155,-788,495,17,826,255,92,211,214,-669,221,519,42,-381,235,-28,1107,-342,-76
ヤマカツエース,-110,-96,,579,-1205,,-259,-103,185,-37,-298,119,174,-87,-1355,186,283,-484,-284,-1146,-525,1408,-593,18,255,-1253,,,115,-607
ラニ,-604,2254,-158,756,1556,-236,484,1659,-236,0,515,-31,439,767,15,544,547,-4,-158,1274,425,727,849,48,238,2076,-592,,-32,925
ラブリーデイ,1258,-1281,5,-152,-330,-93,247,-480,457,281,1218,771,-291,-760,193,-2157,-722,-301,621,-1471,2015,-828,-1489,86,383,-231,-873,1165,122,659
リアルインパクト,-119,387,-34,541,-158,-247,317,293,242,274,-680,-289,996,-303,-87,517,213,-82,-862,-1127,-357,652,18,151,-698,2745,-24,-1687,2103,-541
リアルスティール,1406,5640,,5088,1687,-77,2256,4227,186,-174,252,203,1177,1658,1061,-460,136,1800,181,2030,848,3243,2615,-444,1342,5088,,,1323,581
リーチザクラウン,-299,-166,-133,-505,-101,-306,-234,-183,-90,14,-46,287,-696,-33,171,-409,-155,10,121,-171,37,-178,-494,-155,85,44,77,-2409,-225,-339
リオンディーズ,651,-697,-51,1430,-1527,130,-1352,1435,-830,555,651,-717,-1032,468,262,-747,648,-59,2564,-50,988,-399,1102,-983,1824,-1297,-1107,-1354,1134,-1979
リヤンドファミユ,136,407,43,896,-29,-156,117,671,-158,0,-49,-67,0,41,342,1515,-4,298,178,815,0,742,-18,-236,0,493,349,43,319,170
ルーラーシップ,-616,-750,-116,2074,-2096,-1198,-905,-357,48,-449,-220,170,-788,-1217,-437,-16,1064,116,89,97,-269,1361,-1544,-161,842,475,-874,-2032,1010,-1627
レイデオロ,1060,972,,-170,1900,,-54,2216,221,-79,-112,-125,-275,1554,184,2278,-432,-630,355,152,-178,1892,570,-236,2115,,,,-302,1245
レガーロ,-79,41,,,9,,,,,,,,,,,-6,11,,-79,69,0,15,62,,0,-16,,,,
レッドファルクス,-775,-1080,-79,-2574,233,758,-322,-2203,475,-186,424,596,-854,-699,-320,-1916,-315,-1418,-666,-577,1059,-2632,-110,-375,-141,-2158,,,-1610,542
ローエングリン,-283,165,-158,-20,-72,-134,13,-112,-35,0,75,124,-124,-65,37,53,-175,-30,-108,-47,0,-32,-110,-63,0,-15,-71,-567,32,-397
ロージズインメイ,-574,25,23,-501,89,-187,-138,-307,127,118,-860,-14,422,81,-447,64,-288,70,-37,25,487,320,-726,-52,511,78,-375,-569,304,-141
ロードカナロア,-1958,-1637,-232,1099,-4429,-514,481,-4838,-192,562,-1170,325,-188,-421,574,-2344,-2528,310,-1208,-2336,-1829,-1026,-675,2115,-1787,-2237,1275,1196,3793,-1984
ロゴタイプ,-10,-772,-191,-1361,1032,-295,-961,473,79,168,874,461,-1637,-67,55,6,-87,1050,317,5,249,-1424,-44,840,-1050,724,207,,227,-29
ロジャーバローズ,2141,76,,1795,493,,1929,432,,-79,222,-158,1910,594,145,-525,3,,514,9,1285,313,253,929,2406,,,,91,195
ロジユニヴァース,220,2,-42,215,60,-20,-204,350,0,0,4,-157,120,298,0,0,0,0,-50,200,0,282,55,0,0,234,-110,32,-90,-162
ワールドエース,-1477,-1280,129,-917,-1609,41,631,-3160,-223,-136,-541,298,429,-588,-176,-1211,-407,-868,-139,-870,458,-722,-1217,-430,-146,-974,-529,-132,-512,-1109
ワンアンドオンリー,300,402,-250,-473,726,41,84,830,-236,311,471,279,-189,56,5,157,163,-70,101,222,60,322,427,-236,1,336,350,,-55,72
