調教師名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞,2歳,3歳,4歳,5歳以上,休明初戦,休明2走,休明3走,連闘
小笠倫弘,-739,1403,-211,961,-309,135,461,480,-121,55,98,762,-94,714,-204,808,-361,-384,-544,310,-92,-653,1258,545,-217,-152,-690,408,1450,603,359,6,-94
岡田稲男,-737,504,-54,-316,83,-12,219,-515,81,-232,-107,128,362,123,-291,670,-383,-325,33,-52,-268,-500,-6,20,43,-552,45,410,-259,-515,911,67,32
尾形和幸,-212,-1625,474,-850,-951,93,-1058,-1095,-118,167,-454,-925,346,-253,-142,0,91,-214,120,-991,-967,-666,-190,102,-61,-1055,-784,-46,385,1218,-346,-209,-345
緒方努　,-433,931,,1115,-461,-79,-1582,2294,-316,-395,1378,-868,-316,-395,-678,-1227,1274,1023,-520,1132,-947,612,-232,-710,-79,-1253,1049,-1322,1673,-285,-380,-196,222
奥平雅士,1329,-471,-211,198,438,-369,-532,907,228,159,1006,246,-466,-493,-176,115,-158,124,834,-689,464,-82,27,-158,0,655,-536,434,-282,-197,267,245,268
奥村武　,-382,-657,-11,543,-1713,-139,-557,-505,57,-46,-157,-231,-145,-99,-210,-121,-37,-104,304,-430,54,-928,191,-650,-597,-97,-281,-345,-504,-440,-287,-124,-7
奥村豊　,1166,569,246,242,1374,582,505,1393,145,191,320,58,-771,257,798,950,94,509,719,1005,575,1161,102,422,263,445,1113,222,191,916,-182,-10,985
小栗実　,2710,-48,435,1848,724,662,-663,3413,429,1066,-395,3,60,-79,-336,2193,-520,732,-100,538,-219,1320,824,916,619,1333,198,651,813,767,808,108,-79
尾関知人,-976,-1998,-75,-2013,-775,-97,-2187,-445,-188,0,-139,-97,-1524,30,-300,104,254,-449,-606,-585,-784,-1447,-429,-289,-122,-403,-2047,229,-524,63,-764,-112,58
音無秀孝,-1870,-601,-372,-964,-1390,-564,-1104,-1546,-362,346,-243,-246,-628,-202,-471,-596,-500,-697,-478,-529,-477,-435,-521,-764,-424,-228,-704,-600,-1830,-1850,34,-369,-79
小野次郎,1164,-200,-133,650,224,-25,814,307,397,-221,89,301,8,-743,322,6,4,466,626,-80,-821,1050,325,38,-25,-460,1242,118,-146,573,-252,324,-22
粕谷昌央,-638,-1737,-184,-256,-2462,-221,-2071,-769,35,-292,-1264,-773,-953,139,-513,0,-11,129,-85,-979,-139,-2148,-696,56,0,-273,-2347,-552,-141,-1269,-340,509,-333
加藤和宏,-374,-805,-274,-1358,578,-273,-1175,-97,325,-669,-222,-258,-2055,-228,504,9,-575,551,-358,284,-785,-745,-329,4,0,117,-761,-601,-323,-507,-387,203,318
加藤士津,-1099,749,-34,-1131,850,21,-491,232,-391,-185,-271,-531,280,1091,-229,-583,59,326,34,23,-70,-446,60,-272,-1,-169,-1178,235,1208,568,632,49,4
嘉藤貴行,1552,918,-150,1349,1206,-205,888,1419,466,177,-208,-60,1250,536,-44,-132,-79,364,-299,95,-142,160,1235,-67,-158,-36,1112,911,-117,1849,-74,270,635
加藤征弘,-720,-420,-80,83,-1074,-243,-116,-1012,159,-128,-672,-146,209,-451,-91,-56,-203,-129,-304,-232,73,-621,-81,-587,-447,-189,-291,-112,-562,-153,-473,265,-273
金成貴史,-1092,491,-144,-489,-202,-273,-260,-672,-65,-114,-328,-262,-538,266,380,-509,-148,-443,-189,6,468,891,-2110,-935,-203,875,-316,23,-2005,-146,-617,285,129
萱野浩二,-937,-1009,-28,-838,-819,-29,-1294,-420,-290,-534,-842,-247,-1050,561,-79,678,-552,195,245,-506,-288,-1746,-622,105,164,-1693,-461,198,-939,-87,-308,-32,-292
加用正,317,1325,-377,1731,98,-613,198,1388,-141,226,-26,-117,122,-54,66,1835,915,-502,138,214,-332,-43,490,345,-1,405,236,606,373,205,251,-42,64
河内洋　,54,364,,-86,458,-158,802,-717,168,170,-40,256,-28,4,662,165,-380,-223,-548,483,214,-110,290,238,11,-9,116,80,185,607,126,231,64
川村禎彦,-561,-517,-491,-428,-914,3,4,-1118,,-701,-64,35,-738,221,96,908,-782,-341,98,-337,-8,-1569,12,-252,0,465,-1288,-104,-345,-660,-212,-74,-242
菊川正達,-900,-709,-25,-1208,-431,106,-1720,70,862,-35,327,-196,-1414,-1111,47,-30,-79,145,-4,162,-548,453,-1180,-24,-18,-739,465,-671,-410,-1532,100,-312,-295
菊沢隆徳,318,-737,155,787,-860,98,2,-621,14,32,357,661,-230,-728,-203,-111,142,76,-100,-201,194,149,-963,-15,-154,28,-46,-512,240,-394,671,-121,267
北出成人,1781,480,85,2908,-298,208,574,1628,680,-65,10,-126,1526,214,-391,-1128,1539,-46,922,883,-299,615,1321,-16,-161,-26,578,674,1051,366,1491,582,547
木原一良,-561,726,-15,566,-287,-42,-348,134,-85,-353,205,82,-72,237,-458,-1429,629,96,87,-569,-473,388,-188,495,485,-659,385,-301,212,1284,-650,426,-31
木村哲也,1031,-841,161,590,-186,212,872,-399,-138,-75,29,351,489,118,95,-575,-307,59,429,-305,259,458,-59,59,261,270,831,-236,-390,851,-307,-189,0
国枝栄　,-384,-960,66,-699,-561,97,-446,-706,-204,-172,-786,-483,145,86,-289,332,-2,18,-393,-123,-267,-502,74,-343,-192,18,-1298,278,-27,101,-271,-336,-56
久保田貴,529,-79,-139,400,-243,383,548,-163,-198,27,-48,-330,787,94,322,-395,127,-329,58,202,-85,113,67,43,-453,-201,105,352,-69,567,-113,-273,34
栗田徹　,-810,-1728,0,-1705,-846,52,-1090,-1189,-548,-276,279,-207,-778,-475,-180,-150,52,-122,-244,-208,55,-970,-1532,-225,16,152,-2237,-222,-242,79,-745,-821,17
黒岩陽一,335,-449,441,364,-759,454,120,-291,71,31,-23,-38,789,-396,41,231,82,-25,548,-603,118,49,-160,448,130,272,-552,1002,-367,-571,889,-82,-79
古賀慎明,629,-913,366,372,-275,470,341,-260,-31,-212,-4,262,129,127,340,-92,50,-185,18,-178,-372,427,513,-29,-107,-295,130,130,191,91,-7,-223,-40
小崎憲　,-1810,-396,79,-1812,241,-94,180,-2331,-201,93,14,-71,645,268,-138,-3153,-1044,-107,-1458,-608,-306,-646,-1688,100,87,-1132,-507,-361,256,-241,163,152,85
小島茂之,2692,-700,-151,1204,1180,-74,1723,764,-173,68,-354,1103,702,927,18,-163,-118,211,294,-8,226,1524,186,-384,-93,342,1027,82,404,-453,794,227,-199
小手川準,-1135,-278,-316,-291,-700,-207,-193,-1004,-391,114,90,-43,76,-1002,-7,415,8,-83,-600,-295,389,-892,-1114,-126,503,-300,-978,353,-850,-1471,-455,-222,-336
小西一男,-653,383,75,-480,391,122,-434,221,44,143,-120,2,-4,103,32,-263,419,-237,97,172,894,-822,-775,391,317,-790,1025,-40,-531,35,-221,-811,-198
小林真也,-2045,-491,65,-2094,-790,528,-576,-1609,253,1968,-4,-101,6,310,-267,-2967,-1634,11,-1327,346,-825,-1222,-88,38,-79,-2097,-354,256,-158,-264,-508,187,469
小桧山悟,-756,-2264,-556,-3059,103,-471,-2583,-172,-631,-281,-36,-345,-2320,1159,-40,-395,19,198,-458,-1655,-1538,-3626,912,5,-232,-2982,-1298,450,-385,-292,-757,507,-255
昆貢　　,393,-185,0,-150,537,-249,52,201,164,-130,82,38,-140,39,84,-799,381,-38,264,47,62,20,-241,-57,170,266,237,-554,-254,130,-440,201,158
今野貞一,-990,-323,-105,-985,-229,-290,-210,-1105,33,-63,-418,-35,-90,-30,-197,-1035,134,-257,-472,-15,117,-1037,-201,-497,-178,-59,-312,-634,-404,-1034,-68,38,-24
斉藤崇史,-387,-145,-200,-114,-290,-269,-479,15,0,,-80,61,190,30,-622,-183,62,-267,192,-298,-230,75,-822,300,58,-102,26,-528,-199,-181,-224,-58,-224
斎藤誠　,-642,967,,1812,-1496,-375,261,-83,491,-99,-393,281,420,127,-245,-230,156,-418,-119,53,-208,502,-247,544,91,-148,738,-552,428,-646,576,-23,-105
坂口智康,-422,-1401,112,-1579,-342,308,-1362,-381,-319,-12,-157,-208,-181,-298,-929,298,636,-436,215,-2,-67,294,-1491,-378,-213,162,-1287,-54,-665,1021,-690,-1070,34
佐々木晶,1614,1082,29,2306,415,192,1280,1441,463,-176,58,503,46,-65,703,-1025,1565,-280,176,804,290,416,1285,873,197,478,800,204,1117,1064,1019,282,-78
笹田和秀,312,-959,0,-1043,139,35,-153,-417,-238,-238,-7,12,2,-31,-178,-836,193,164,-513,-421,190,-1237,366,-167,88,-456,-499,143,-477,-569,127,250,2
佐藤吉勝,-3345,-769,-44,-1395,-1988,-338,-330,-3211,0,-947,265,-1044,-487,-2582,1157,-132,-237,-215,-1238,-735,-61,-3294,-138,-301,-237,-3953,-297,-709,-47,-1586,-28,357,-436
鮫島一歩,336,366,-40,64,706,-66,-154,954,210,-261,38,111,315,-13,-298,750,534,-99,-47,-394,-187,954,-133,-16,-63,264,394,-32,-125,-348,1311,225,116
四位洋文,401,50,33,450,-442,463,-13,478,-154,-61,918,-176,-74,49,201,-656,178,-18,472,307,-298,-420,1266,252,525,63,-881,1437,339,963,-98,65,-395
鹿戸雄一,-8,-6,-180,-183,-84,48,263,-398,76,-3,202,381,-22,-449,-246,-314,-35,-49,-364,-134,534,-341,-17,-566,-361,1059,-1015,-823,-361,-1353,-327,-3,0
清水久詞,34,-1462,700,25,-1472,793,-1264,94,-104,111,122,-289,-636,1186,-24,-139,-577,-303,-230,-674,61,-410,-973,17,-820,-274,-882,121,779,416,-402,-12,-126
清水英克,4541,-743,-125,1770,698,809,438,2625,508,139,416,934,-1434,857,63,-11,-86,363,502,-881,-201,2432,1095,-169,-316,934,1489,405,-230,-922,820,87,-32
庄野靖志,98,289,-33,-299,715,-55,-6,515,269,707,-185,82,-78,-115,-219,1473,-46,-181,-97,-187,246,363,-525,296,333,929,-104,-393,102,90,-31,-102,128
新開幸一,-392,-802,257,-961,-347,142,-956,-111,-1,-118,-367,-209,-368,-145,-206,49,307,1258,-480,-310,51,-341,-530,-19,-165,-132,-1085,220,-343,-855,-8,339,-89
新谷功一,-1505,30,0,-1142,172,-254,-369,-795,-9,-85,-135,-436,-265,-123,254,-429,-304,40,-740,-135,-858,-530,56,-98,98,-464,-989,-236,-16,289,-318,-483,-366
須貝尚介,-845,-28,0,-445,-174,-400,115,-1031,352,126,-329,-49,-164,29,169,-2173,-18,-332,-606,23,324,-208,87,-936,-443,338,-615,-213,-597,-892,180,-23,7
杉浦宏昭,39,895,0,1198,-110,-192,-70,726,804,252,771,-251,-168,-1397,57,-263,81,-310,-368,-455,268,791,-108,-283,-177,509,806,-544,-544,-726,375,-538,272
杉山晴紀,2194,565,17,647,1575,221,901,1635,80,-161,70,-59,369,93,620,1463,585,235,978,81,341,760,816,644,606,828,925,803,-355,918,185,54,306
杉山佳明,-1168,1090,0,735,-444,-203,242,-354,-609,-212,205,-208,131,133,343,227,692,-396,262,1954,-219,857,-451,-67,413,263,-273,634,-559,-77,520,164,-177
鈴木慎太,-71,2434,34,1644,458,8,391,1232,104,-5,942,1163,-76,202,-88,-132,-158,-404,444,1817,743,2001,-219,-154,-79,825,2347,-702,8,124,1505,-476,-584
鈴木孝志,-618,-598,7,-456,-574,-37,-513,-526,-41,-261,74,-78,-77,-112,-353,-562,377,-183,160,89,920,-849,-628,-471,-99,225,-712,-486,-129,-1031,-303,-125,95
鈴木伸尋,-111,-915,-29,123,-1144,-151,-1162,50,-319,-47,858,-471,-441,-378,-343,570,-60,59,-182,-527,68,89,-1082,-138,-4,-21,320,-274,-1226,-847,-126,73,38
勢司和浩,-1740,-2153,,-2353,-1142,-25,-2433,-1177,-352,-76,-159,-549,-1956,-627,-26,0,78,0,-1042,-418,-95,-2430,-1094,-158,-158,-978,-1482,-553,-948,-1251,475,-821,399
高木登　,497,18,173,-819,1539,116,453,111,376,-565,325,-117,1184,-246,-382,1184,60,142,-160,79,-92,1021,-1539,618,41,46,233,-61,369,-90,-1044,41,-117
高野友和,0,755,0,375,121,250,488,244,179,-101,-37,-315,401,107,530,163,274,-245,102,1175,231,48,-337,795,562,699,37,-81,-489,-112,-433,187,267
高橋文雅,569,-382,102,303,-150,217,-66,546,44,275,-507,-33,97,475,54,284,-4,9,307,-265,-156,938,-230,-148,-129,330,233,12,226,679,-179,-564,-85
高橋康之,1511,-1681,-12,-976,169,-57,659,-1485,289,-213,-176,59,237,-329,256,-248,-1021,-56,-752,494,-779,-980,1039,92,58,-950,-1938,256,919,122,326,491,105
高橋裕,-157,-281,-41,-654,210,-59,-475,-29,-223,-53,13,-464,-30,394,-19,-234,-161,178,-528,-82,-406,-435,484,272,30,-624,-311,312,1159,-1014,-665,-303,139
高橋義忠,-523,-935,-153,-262,-1134,-263,-86,-1681,-133,-183,163,5,234,-233,-148,-1561,-400,-466,-321,-487,-576,-571,-270,-1034,-364,59,-1285,112,-986,-137,-297,-165,-32
高橋亮　,-14,-468,338,-801,302,542,-1163,517,354,-114,151,413,-318,-1,-743,-929,268,41,511,233,-652,435,-34,316,54,-360,185,-33,-608,428,928,-714,83
高柳大輔,264,999,84,1358,79,68,389,1042,-598,-283,152,-79,-172,73,525,881,544,644,545,761,-103,100,709,-13,-267,371,575,-505,1134,461,370,145,-92
高柳瑞樹,460,-1274,58,-336,-562,100,-428,-438,-273,-199,108,197,-185,-438,-236,283,158,358,-71,-455,151,-1129,-569,792,486,-107,-55,-228,-569,118,-114,-194,100
武幸四郎,1162,634,0,-68,1615,-244,292,1526,709,217,-93,-80,155,733,166,-153,319,38,416,166,271,1014,369,-981,-198,378,1049,368,-137,122,359,-147,-62
武英智　,1350,-706,22,225,144,-209,612,-375,-274,402,-13,2,470,138,169,-925,-15,-193,895,-425,363,-508,376,-230,-536,264,-239,297,-7,-429,266,636,308
武井亮　,565,320,-7,181,216,380,580,101,-178,-146,249,402,293,453,-151,-817,-147,-176,340,-483,601,487,203,-210,84,1373,-81,-701,-111,-119,-320,-90,68
武市康男,-537,-2119,-33,-1952,-250,-277,-89,-2552,54,-330,-603,-58,-17,-1301,-55,-83,-240,0,399,-785,283,-1433,-938,-389,-100,-219,-1297,-47,-1414,-1515,-1018,-48,-954
竹内正洋,-323,1770,64,1674,-677,93,1566,-220,-51,-105,-33,501,804,147,203,-450,-110,-45,356,-393,77,699,1130,-566,138,524,270,529,201,129,-382,879,580
田島俊明,-990,628,106,119,-425,323,773,-604,-53,76,294,139,482,-812,12,277,61,13,-19,327,612,-1004,737,-77,-485,-566,136,455,158,-333,160,649,179
田中克典,915,2993,-79,943,2654,-63,-196,4530,294,662,-139,-18,-119,-58,6,427,1935,1220,-559,1552,-350,2184,1619,-169,158,344,2935,872,-498,1206,812,502,600
田中剛　,9,1166,-189,669,764,-201,17,1243,325,60,383,155,-268,322,-49,0,0,-88,151,665,-80,947,-154,121,307,270,1773,175,-1106,982,-255,-536,0
田中博康,-471,-184,55,-704,202,-24,-636,65,25,-121,60,-694,-105,342,57,-519,-103,-27,-758,-302,-298,-82,-179,-145,236,103,-365,-45,-455,-795,79,112,10
谷潔　　,-801,1315,-58,-201,982,-208,179,411,-353,-163,160,-156,-102,-52,307,-362,292,225,-480,41,423,-542,351,14,2,172,-95,150,89,-165,-955,542,-189
田村康仁,-946,-198,-411,982,-1480,-747,576,-1673,-221,-80,-237,-807,524,-1123,1302,20,-83,-202,-76,29,419,-789,-1290,-143,54,-90,-412,-473,-801,-683,-98,-30,122
千田輝彦,2115,1145,0,2456,910,-103,2002,853,-21,184,412,1036,-132,258,1385,-1422,361,114,530,38,619,721,1327,486,-62,369,1507,-113,861,677,1272,-322,417
茶木太樹,-1663,1147,17,-512,-127,27,6,-637,108,-88,-112,52,148,92,5,-1330,-13,-140,-1020,-100,306,130,-401,-128,-237,488,-249,-1341,145,-147,-790,86,66
辻哲英　,1254,817,-77,779,1512,-56,1113,1032,-395,8,-116,244,759,1696,-107,-526,-97,-235,619,170,397,651,1419,-199,0,744,604,-988,1018,98,542,-277,-87
辻野泰之,2011,90,386,1084,913,517,487,1654,71,293,326,-25,47,-33,234,1118,279,967,1579,-424,307,1052,794,728,169,-124,1272,929,647,1170,-199,310,-158
土田稔　,-422,-2298,79,-3443,562,183,-1661,-720,-359,-93,-726,-489,-1394,-953,-266,-29,-131,1273,10,-562,-52,-2306,-143,123,0,-661,-1373,-170,74,-140,-935,-228,949
角田晃一,1013,-148,755,213,676,619,719,215,106,-268,240,488,532,-90,55,-599,-587,1014,190,-95,60,918,121,458,12,-225,1201,321,-116,6,518,-230,258
手塚貴久,1021,-592,-158,1216,-525,-385,745,-372,-67,78,96,-182,929,-373,-231,-119,-169,-24,153,57,-26,673,-409,63,326,837,-521,-475,2,-27,300,545,-54
寺島良　,-2130,177,-237,-866,-1179,41,-132,-1546,-71,138,-307,-656,541,-130,-89,173,-1353,155,-1184,488,-476,-212,-996,-40,-33,-709,-324,-339,-807,-377,-105,154,-31
天間昭一,-166,-925,-17,813,-1780,-219,-2989,1415,-49,407,-538,-1096,-1014,-109,-572,1051,607,813,-372,1149,-1187,702,-1160,-247,0,455,-139,-545,-758,-998,527,-244,198
戸田博文,-890,-1251,-183,-535,-1478,-182,-1181,-1011,14,-397,-636,-551,-351,-141,-353,-53,-224,-142,-186,-128,-848,128,-906,-1031,-266,-623,-179,-158,-2062,-407,280,-994,-133
友道康夫,716,-546,0,-168,66,385,271,31,109,-90,68,397,14,163,-82,-280,-212,105,128,-397,223,-473,-382,500,458,405,-751,-298,1761,453,-791,646,-158
中内田充,-431,-48,-80,-144,-284,-154,97,-577,37,55,-73,-148,-7,-28,196,-301,-186,-377,-464,-94,283,-294,-155,-284,-70,77,211,-696,-253,-449,-297,-236,0
中尾秀正,430,812,54,357,987,23,-132,1401,-142,315,5,305,-274,-45,-223,2356,216,135,816,239,994,-365,1024,-333,-89,85,826,493,-554,1128,-374,362,122
中川公成,-449,304,-71,96,-279,-151,1161,-1390,-106,-192,-363,183,621,-661,441,-106,0,-200,-201,230,-295,259,133,-301,-158,-513,372,-585,205,-624,100,442,28
中竹和也,2417,-19,-90,-242,2007,727,255,2396,316,104,407,146,205,39,-484,693,1092,161,641,85,83,892,588,897,178,755,209,1389,150,712,423,687,318
中舘英二,-1112,-364,-158,-586,-557,-439,-512,-982,-164,-267,-613,321,-692,82,-206,-263,0,151,-232,-229,-664,-367,-168,18,144,-294,-1193,-111,-150,-8,-175,-416,-148
中野栄治,1007,531,-401,-369,1867,-70,296,1179,610,202,139,337,-250,413,556,977,-568,-872,602,-114,-152,-124,870,-730,-280,-14,700,512,-1516,-670,140,137,-168
中村直也,952,597,804,-1432,3318,936,770,777,403,-710,9,977,-511,70,402,2048,840,-1019,-918,900,154,1510,995,-255,-48,1264,1047,-830,603,-294,226,5,1418
西園翔太,1533,1299,-110,2306,195,82,890,1902,-316,133,206,234,38,-316,451,742,1479,44,631,1886,-313,-283,3158,-250,,-979,761,1275,1989,1487,-112,-118,-79
西園正都,-1653,1738,-190,-197,529,-459,774,-595,82,264,-349,-78,1067,337,146,-1355,-489,140,-524,-21,180,12,-698,385,-127,275,-388,-18,243,-489,-105,487,-158
西田雄一,-2598,718,224,129,-770,-101,-1007,132,-49,416,-818,-669,-115,1031,-311,-263,-237,-158,-196,1029,-16,1265,-1808,244,,663,186,-589,-878,-52,-369,-329,-359
西村真幸,610,-844,-237,464,-362,-410,-115,-43,-162,-103,-10,-401,-66,138,231,1634,-545,153,399,-56,-271,400,-391,225,74,87,-463,-65,38,738,-267,218,-126
根本康広,-1260,377,-29,-637,-407,87,-581,-165,-529,-815,728,-163,-482,-405,-364,212,154,208,-714,178,673,226,-1691,-16,-79,-367,-162,169,-902,154,-43,-484,-343
野中賢二,372,224,123,-490,813,254,-191,892,21,-250,95,27,-181,210,-4,-529,260,685,477,-204,194,-249,1021,-6,28,-176,169,-25,956,375,-289,533,314
萩原清　,-259,-320,368,-596,188,190,-482,-111,177,72,17,-115,-363,-312,251,-15,-111,132,-68,30,-158,296,-77,29,-124,-52,-181,-258,358,-186,-232,-48,-15
橋口慎介,-389,288,-16,-505,504,-98,-59,-253,250,-104,-225,110,-547,-91,143,-675,432,-298,-486,24,-67,379,200,-287,-226,-16,413,45,-1010,-2,-82,176,324
長谷川浩,508,-448,-134,612,-304,-264,-952,1175,-155,-306,259,-142,-166,-36,-693,2075,144,234,-504,155,390,-430,-79,529,391,616,-388,200,-1288,-600,-357,-67,-252
畠山吉宏,-303,-15,-401,-674,439,-555,485,-682,118,-7,-733,376,-240,-253,97,658,304,-413,-295,-772,154,48,-912,167,-511,-88,341,226,-572,-1072,-545,-149,40
畑端省吾,-582,1455,-681,-349,1224,-528,58,1097,134,301,-85,79,-68,-90,-28,746,-260,197,-678,455,369,1304,-462,-371,-237,1064,942,-5,-1787,-1059,-194,185,79
羽月友彦,-630,-103,0,-920,368,0,377,-1347,74,349,195,-47,-43,7,639,-1089,-1185,-716,-794,-1235,-205,-406,8,-115,-207,-1057,-635,1385,-840,-653,-352,-145,486
浜田多実,-542,-419,-52,-533,-254,-162,501,-1766,-503,68,-238,-95,59,-159,550,-301,-772,-371,-241,-277,-463,99,-1193,-578,-182,169,-190,-481,-772,-615,-102,-285,375
林徹　　,-561,349,,-310,169,-159,-333,218,-97,-176,-155,104,-265,772,-61,0,0,0,72,15,-55,30,-12,218,34,-106,414,-369,-270,-522,-21,210,-3
平田修　,-1115,46,-8,-1129,228,-184,163,-1138,-272,459,64,589,-105,-90,-194,-1132,-489,-282,-435,-248,54,196,-982,-761,-159,-44,-677,183,-648,-581,-517,-190,103
深山雅史,2341,-4,-284,2718,-357,-440,-1009,2833,385,-69,106,970,-1687,2006,84,-526,43,448,1157,-110,110,812,183,474,348,1234,343,430,-201,1693,51,-46,-174
