場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷
中山,3,未勝利,ダート,1200,良(暫定),2,アクシズ,3歳,舟山瑠泉,尾形和幸,短距離,右回り,,ダノンプレミアム,,
中山,3,未勝利,ダート,1200,良(暫定),3,サノノキャニオン,3歳,横山武史,栗田徹,短距離,右回り,,ヘニーヒューズ,,
中山,3,未勝利,ダート,1200,良(暫定),4,スノーランス,3歳,菅原明良,上原佑紀,短距離,右回り,,ニューイヤーズデイ,,
中山,3,未勝利,ダート,1200,良(暫定),5,イーアンベ,3歳,丸山元気,和田雄二,短距離,右回り,,アジアエクスプレス,,距離短縮
中山,3,未勝利,ダート,1200,良(暫定),6,スフェーンテソーロ,3歳,木幡巧也,牧光二,短距離,右回り,,フィレンツェファイア,,距離短縮
中山,3,未勝利,ダート,1200,良(暫定),7,ダイユウサルターレ,3歳,佐々木大,松永康利,短距離,右回り,,サートゥルナーリア,,
中山,3,未勝利,ダート,1200,良(暫定),8,タイセイエキサイト,3歳,菊沢一樹,青木孝文,短距離,右回り,,アジアエクスプレス,,距離短縮
中山,3,未勝利,ダート,1200,良(暫定),9,ミスタートントン,3歳,石橋脩,勢司和浩,短距離,右回り,,Mo Town,,距離短縮
中山,3,未勝利,ダート,1200,良(暫定),10,サトミノアカリ,3歳,小林美駒,鈴木伸尋,短距離,右回り,,シャンハイボビー,,距離延長
中山,3,未勝利,ダート,1200,良(暫定),11,ガルディーノ,3歳,石田拓郎,新開幸一,短距離,右回り,,ダイワメジャー,,
中山,3,未勝利,ダート,1200,良(暫定),12,コックピットサイト,3歳,荻野極,鹿戸雄一,短距離,右回り,,ドレフォン,,距離短縮
中山,3,未勝利,ダート,1200,良(暫定),13,グラスリッキー,3歳,大野拓弥,杉浦宏昭,短距離,右回り,,コパノリッキー,,
中山,3,未勝利,ダート,1200,良(暫定),14,エンカウンターベイ,3歳,佐藤翔馬,田中剛,短距離,右回り,,ダノンスマッシュ,休明2走,
中山,3,未勝利,ダート,1200,良(暫定),15,ヘイスティハート,3歳,戸崎圭太,小笠倫弘,短距離,右回り,,フォーウィールドライブ,,
中山,3,未勝利,ダート,1200,良(暫定),16,オンマイビート,3歳,丹内祐次,松山将樹,短距離,右回り,,ジャスタウェイ,休明3走,
中山,4,新馬,ダート,1800,良(暫定),1,アンジュレーヌ,3歳,野中悠太,宮田敬介,中距離,右回り,,クリソベリル,,
中山,4,新馬,ダート,1800,良(暫定),2,リオハリソンメリー,3歳,横山武史,加藤征弘,中距離,右回り,,タニノフランケル,,
中山,4,新馬,ダート,1800,良(暫定),3,エコロストーム,3歳,丹内祐次,千葉直人,中距離,右回り,,ロージズインメイ,,
中山,4,新馬,ダート,1800,良(暫定),4,ギャニミード,3歳,内田博幸,木村哲也,中距離,右回り,,ドレフォン,,
中山,4,新馬,ダート,1800,良(暫定),5,パルフェ,3歳,菅原明良,高柳瑞樹,中距離,右回り,,ルヴァンスレーヴ,,
中山,4,新馬,ダート,1800,良(暫定),6,ラブカニュー,3歳,江田照男,蛯名利弘,中距離,右回り,,ニューイヤーズデイ,,
中山,4,新馬,ダート,1800,良(暫定),7,アースアクシス,3歳,戸崎圭太,栗田徹,中距離,右回り,,ドレフォン,,
中山,4,新馬,ダート,1800,良(暫定),8,ナズドゥラヴィ,3歳,伊藤工真,千葉直人,中距離,右回り,,ジャスタウェイ,,
中山,4,新馬,ダート,1800,良(暫定),9,スイートハイデン,3歳,佐々木大,菊川正達,中距離,右回り,,ロジャーバローズ,,
中山,4,新馬,ダート,1800,良(暫定),10,メイアイリス,3歳,石神深道,深山雅史,中距離,右回り,,クリソベリル,,
中山,4,新馬,ダート,1800,良(暫定),11,ガーヴィ,3歳,舟山瑠泉,村田一誠,中距離,右回り,,ブリックスアンドモルタル,,
中山,4,新馬,ダート,1800,良(暫定),12,ニューハイ,3歳,遠藤汰月,堀内岳志,中距離,右回り,,ナカヤマフェスタ,,
中山,5,新馬,芝,2000,良(暫定),1,コンヴァーンクル,3歳,丹内祐次,菊川正達,中距離,右回り,,カリフォルニアクローム,,
中山,5,新馬,芝,2000,良(暫定),2,オンザギャラクシー,3歳,木幡巧也,大和田成,中距離,右回り,,レイデオロ,,
中山,5,新馬,芝,2000,良(暫定),3,オリオンブレード,3歳,横山武史,矢作芳人,中距離,右回り,,シルバーステート,,
中山,5,新馬,芝,2000,良(暫定),4,バトルモクオ,3歳,松岡正海,戸田博文,中距離,右回り,,ベンバトル,,
中山,5,新馬,芝,2000,良(暫定),5,インタノン,3歳,大野拓弥,堀宣行,中距離,右回り,,キタサンブラック,,
中山,5,新馬,芝,2000,良(暫定),6,バルドル,3歳,原優介,池上昌和,中距離,右回り,,リオンリオン,,
中山,5,新馬,芝,2000,良(暫定),7,カレリアフレイバー,3歳,田辺裕信,久保田貴,中距離,右回り,,キタサンブラック,,
中山,5,新馬,芝,2000,良(暫定),8,チャンピオンホープ,3歳,横山和生,勢司和浩,中距離,右回り,,シルバーステート,,
中山,5,新馬,芝,2000,良(暫定),9,サヴマ,3歳,石橋脩,辻哲英,中距離,右回り,,キセキ,,
中山,5,新馬,芝,2000,良(暫定),10,カタカムナ,3歳,小林美駒,蛯名利弘,中距離,右回り,,サトノクラウン,,
中山,5,新馬,芝,2000,良(暫定),11,ランブレイ,3歳,佐々木大,黒岩陽一,中距離,右回り,,リアルスティール,,
中山,5,新馬,芝,2000,良(暫定),12,リアルケンチャン,3歳,内田博幸,緒方努,中距離,右回り,,マテラスカイ,,
中山,5,新馬,芝,2000,良(暫定),13,ピースフルマインド,3歳,三浦皇成,伊坂重信,中距離,右回り,,レイデオロ,,
中山,5,新馬,芝,2000,良(暫定),14,ランザワールド,3歳,戸崎圭太,宮田敬介,中距離,右回り,,コントレイル,,
中山,5,新馬,芝,2000,良(暫定),15,アルメーリス,3歳,荻野極,高橋一哉,中距離,右回り,,モーリス,,
中山,6,自己条件,ダート,1800,良(暫定),1,ロードスカイブルー,4歳,横山和生,和田勇介,中距離,右回り,,ウインブライト,休明初戦,距離延長
中山,6,自己条件,ダート,1800,良(暫定),2,ガラスノブルース,5歳以上,杉原誠人,田村康仁,中距離,右回り,,デクラレーションオブウォー,休明3走,
中山,6,自己条件,ダート,1800,良(暫定),3,タリスマン,5歳以上,伊藤工真,金成貴史,中距離,右回り,,タリスマニック,休明3走,
中山,6,自己条件,ダート,1800,良(暫定),4,ロジルーラー,5歳以上,松岡正海,稲垣幸雄,中距離,右回り,,ルーラーシップ,,
中山,6,自己条件,ダート,1800,良(暫定),5,ロードインフェルノ,5歳以上,丹内祐次,尾形和幸,中距離,右回り,,サトノアラジン,休明3走,距離短縮
中山,6,自己条件,ダート,1800,良(暫定),6,プロスペクトパーク,4歳,荻野極,高柳瑞樹,中距離,右回り,,キズナ,,
中山,6,自己条件,ダート,1800,良(暫定),7,グラスビジョン,4歳,菊沢一樹,佐藤吉勝,中距離,右回り,,ノーブルミッション,休明初戦,
中山,6,自己条件,ダート,1800,良(暫定),8,ナムラジミー,4歳,丸田恭介,武市康男,中距離,右回り,,モーニン,休明初戦,
中山,6,自己条件,ダート,1800,良(暫定),9,コスモシェルベット,4歳,武藤雅,水野貴広,中距離,右回り,,マインドユアビスケッツ,休明2走,
中山,6,自己条件,ダート,1800,良(暫定),10,コーリンカルベラ,5歳以上,吉田豊,小野次郎,中距離,右回り,,サトノアラジン,,距離延長
中山,6,自己条件,ダート,1800,良(暫定),11,ミスティブルー,4歳,舟山瑠泉,高橋文雅,中距離,右回り,,ブリックスアンドモルタル,休明2走,距離短縮
中山,6,自己条件,ダート,1800,良(暫定),12,マリンバンカー,5歳以上,石神深道,南田美知,中距離,右回り,,エスケンデレヤ,,
中山,6,自己条件,ダート,1800,良(暫定),13,ブレードサクセス,5歳以上,内田博幸,岩戸孝樹,中距離,右回り,,タリスマニック,連闘,
中山,6,自己条件,ダート,1800,良(暫定),14,ウインファヴォリ,4歳,原田和真,栗田徹,中距離,右回り,,リオンディーズ,休明2走,距離延長
中山,6,自己条件,ダート,1800,良(暫定),15,ニシノブレイゼスト,4歳,菅原明良,高木登,中距離,右回り,,シルバーステート,,
中山,6,自己条件,ダート,1800,良(暫定),16,ファルコンミノル,5歳以上,田辺裕信,中舘英二,中距離,右回り,,ゴールドシップ,休明初戦,
中山,7,未勝利,芝,1600,良(暫定),1,ワイルドカモミール,3歳,石神深道,金成貴史,短距離,右回り,,ベンバトル,,
中山,7,未勝利,芝,1600,良(暫定),2,ブルーハーツ,3歳,菊沢一樹,勢司和浩,短距離,右回り,,エポカドーロ,,
