場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
東京,6,1,サンマルエポック,中川公成,621.0,-295.0,-449.0,-513.0,96.0,1161.0,,,621.0,4.0
東京,6,2,スイモアマイモ,藤岡健一,440.0,23.0,-113.0,261.0,-25.0,259.0,,,845.0,3.0
東京,6,3,クリムゾンボタン,小手川準,76.0,389.0,-1135.0,-300.0,-291.0,-193.0,,,-1454.0,7.0
東京,6,4,アーラグラシア,栗田徹　,-778.0,55.0,-810.0,152.0,-1705.0,-1090.0,,,-4176.0,10.0
東京,6,5,ロワゾブルー,小島茂之,702.0,226.0,2692.0,342.0,1204.0,1723.0,,,6889.0,1.0
東京,6,6,ジョイフルニュース,大竹正博,159.0,227.0,123.0,-26.0,13.0,-83.0,,,413.0,5.0
東京,6,7,ルージュナリッシュ,国枝栄　,145.0,-267.0,-384.0,18.0,-699.0,-446.0,,,-1633.0,9.0
東京,6,8,マイクインダム,中内田充,-7.0,283.0,-431.0,77.0,-144.0,97.0,,,-125.0,6.0
東京,6,9,カピオラ,武幸四郎,155.0,271.0,1162.0,378.0,-68.0,292.0,,,2190.0,2.0
東京,6,10,トキメキジニア,佐藤吉勝,-487.0,-61.0,-3345.0,-3953.0,-1395.0,-330.0,,,-9571.0,11.0
東京,6,11,ハニーローリエ,小手川準,76.0,389.0,-1135.0,-300.0,-291.0,-193.0,,,-1454.0,7.0
東京,7,1,エイシンホイップ,田中剛　,-268.0,-154.0,1166.0,1773.0,669.0,17.0,982.0,,4185.0,3.0
東京,7,2,エコロセブン,根本康広,-482.0,-1691.0,377.0,-162.0,-637.0,-581.0,,,-3176.0,13.0
東京,7,3,カルネヴァーレ,菊沢隆徳,-230.0,-963.0,-737.0,-46.0,787.0,2.0,671.0,,-516.0,8.0
東京,7,4,ビッグフラワー,加藤征弘,209.0,-81.0,-420.0,-291.0,83.0,-116.0,265.0,,-351.0,7.0
東京,7,5,サミアド,竹内正洋,804.0,1130.0,1770.0,270.0,1674.0,1566.0,879.0,,8093.0,1.0
東京,7,6,モナコブル,岩戸孝樹,-357.0,105.0,81.0,-287.0,-345.0,-185.0,,,-988.0,9.0
東京,7,7,ビーマイセルフ,萱野浩二,-1050.0,-622.0,-1009.0,-939.0,-838.0,-1294.0,-87.0,,-5839.0,14.0
東京,7,8,ミスヨシゼン,古賀慎明,129.0,513.0,-913.0,130.0,372.0,341.0,91.0,,663.0,5.0
東京,7,9,メイプルリーフラグ,的場均　,-2410.0,-3235.0,-1780.0,-827.0,-3175.0,-3651.0,,,-15078.0,15.0
東京,7,10,ミスティックパワー,松永康利,600.0,164.0,423.0,-530.0,-264.0,163.0,76.0,,632.0,6.0
東京,7,11,テンホワイトラブ,小西一男,-4.0,-775.0,383.0,-40.0,-480.0,-434.0,-811.0,,-2161.0,12.0
東京,7,12,ムコウジマランプ,森一誠　,,,,,,,,,,
東京,7,13,パープルナイト,堀内岳志,2700.0,-593.0,-2111.0,185.0,1791.0,2161.0,-1815.0,,2318.0,4.0
東京,7,14,スコラーリ,萩原清　,-363.0,-77.0,-320.0,358.0,-596.0,-482.0,-186.0,,-1666.0,11.0
東京,7,15,サトノアルペジオ,大和田成,1288.0,295.0,193.0,68.0,1332.0,1664.0,,,4840.0,2.0
東京,7,16,イーデンテソーロ,畠山吉宏,-240.0,-912.0,-15.0,226.0,-674.0,485.0,,,-1130.0,10.0
東京,8,1,バニシングポイント,古賀慎明,129.0,513.0,-913.0,191.0,372.0,341.0,,,633.0,5.0
東京,8,2,プリーミー,田中博康,-105.0,-179.0,-184.0,-455.0,-704.0,-636.0,-795.0,,-3058.0,8.0
東京,8,3,レオカクテル,萱野浩二,-1050.0,-622.0,-1009.0,-939.0,-838.0,-1294.0,-32.0,,-5784.0,12.0
東京,8,4,アトラクティーボ,武藤善則,-278.0,-981.0,-1028.0,-217.0,-1114.0,-614.0,-186.0,,-4418.0,10.0
東京,8,5,サトミノマロン,鈴木伸尋,-441.0,-1082.0,-915.0,-1226.0,123.0,-1162.0,73.0,,-4630.0,11.0
東京,8,6,アッチャゴーラ,村山明　,604.0,1069.0,1288.0,2280.0,633.0,923.0,,,6797.0,1.0
東京,8,7,ミッキーラッキー,堀宣行　,1099.0,267.0,333.0,67.0,139.0,967.0,1738.0,,4610.0,2.0
東京,8,8,ララエフォール,和田雄二,-784.0,-1566.0,-938.0,318.0,-34.0,-1174.0,12.0,,-4166.0,9.0
東京,8,9,ライラスター,森一誠　,,,,,,,,,,
東京,8,10,ピックアップライン,田中剛　,-268.0,-154.0,1166.0,175.0,669.0,17.0,-255.0,,1350.0,4.0
東京,8,11,ウィンドフォール,牧光二　,100.0,-924.0,-62.0,271.0,62.0,-275.0,-332.0,,-1160.0,6.0
東京,8,12,メロウヴォイス,上原博之,345.0,-728.0,-462.0,329.0,-552.0,-522.0,-463.0,,-2053.0,7.0
東京,8,13,エリンアキレウス,清水英克,-1434.0,1095.0,-743.0,405.0,1770.0,438.0,,,1531.0,3.0
東京,9,1,ルイステソーロ,畠山吉宏,-240.0,-912.0,-15.0,-88.0,-674.0,485.0,,,-1444.0,10.0
東京,9,2,ベンヌ,久保田貴,787.0,67.0,-79.0,-201.0,400.0,548.0,,,1522.0,6.0
東京,9,3,ニシノリンダ,青木孝文,45.0,552.0,-257.0,131.0,551.0,-405.0,,,617.0,8.0
