場所,R,馬番,人気,単オッズ,複勝オッズ下,上,単勝,複勝,馬連配当,開催日,推定人気,人気ランク
中京,3,14,9.0,52.1,5.0,18.4,,,,20250105,,
中京,3,15,14.0,179.7,16.0,62.1,,,,20250105,,
中京,3,16,3.0,7.0,1.5,4.3,,180.0,500.0,20250105,,
中京,4,1,2.0,4.4,1.7,2.3,440.0,170.0,1840.0,20250105,,
中京,4,2,5.0,14.7,3.2,4.6,,,,20250105,,
中京,4,3,9.0,34.0,5.3,7.9,,,,20250105,,
中京,4,4,7.0,17.9,4.3,6.3,,,,20250105,,
中京,4,5,4.0,6.4,1.7,2.4,,170.0,1840.0,20250105,,
中京,4,6,12.0,54.1,7.6,11.4,,,,20250105,,
中京,4,7,13.0,83.7,14.4,21.7,,,,20250105,,
中京,4,8,10.0,38.4,7.0,10.4,,,,20250105,,
中京,4,9,14.0,150.1,25.3,38.3,,,,20250105,,
中京,4,10,16.0,226.3,36.5,55.4,,,,20250105,,
中京,4,11,11.0,40.1,5.8,8.7,,,,20250105,,
中京,4,12,15.0,185.8,24.3,36.8,,,,20250105,,
中京,4,13,8.0,25.3,4.9,7.2,,,,20250105,,
中京,4,14,6.0,15.2,3.1,4.4,,,,20250105,,
中京,4,15,3.0,5.1,1.7,2.3,,,,20250105,,
中京,4,16,1.0,3.1,1.4,1.7,,140.0,,20250105,,
中京,5,1,13.0,53.1,10.4,15.6,,,,20250105,,
中京,5,2,16.0,130.4,20.7,31.4,,,,20250105,,
中京,5,3,10.0,33.3,5.4,8.1,,,,20250105,,
中京,5,4,2.0,4.6,1.6,2.2,460.0,160.0,1100.0,20250105,,
中京,5,5,14.0,89.5,17.7,26.9,,,,20250105,,
中京,5,6,12.0,40.9,7.1,10.6,,,,20250105,,
中京,5,7,8.0,29.2,6.0,9.0,,,,20250105,,
中京,5,8,7.0,15.4,3.9,5.7,,,,20250105,,
中京,5,9,5.0,11.6,2.6,3.7,,,,20250105,,
中京,5,10,9.0,32.4,7.3,10.8,,,,20250105,,
中京,5,11,17.0,181.7,23.5,35.6,,,,20250105,,
中京,5,12,6.0,14.8,3.5,5.1,,,,20250105,,
中京,5,13,15.0,97.4,15.0,22.7,,,,20250105,,
中京,5,14,11.0,35.6,6.4,9.5,,,,20250105,,
中京,5,15,4.0,7.1,2.0,2.9,,,,20250105,,
