場所,R,馬番,馬名,種牡馬名,種牡馬利益度_1,種牡馬利益度_2,種牡馬利益度_3,種牡馬利益度_4,種牡馬利益度_5,種牡馬利益度_6,種牡馬利益度_7,種牡馬利益度_8,種牡馬利益度,種牡馬利益度順位
京都,7,9,ゴッドカインド,ドレフォン,1357.0,1193.0,2830.0,-331.0,-393.0,1673.0,1494.0,,7823.0,3.0
京都,7,10,チアフルヴォイス,タリスマニック,-3283.0,-1253.0,-1197.0,-1495.0,171.0,-1621.0,,,-8678.0,12.0
京都,7,11,アムールリーベ,シルバーステート,-363.0,-880.0,-2566.0,-380.0,-954.0,-1198.0,,,-6341.0,11.0
京都,7,12,モイラ,デクラレーションオブウォー,-219.0,1222.0,-746.0,1430.0,1277.0,1784.0,526.0,,5274.0,5.0
京都,7,13,ワイノナオミ,ドレフォン,1357.0,1193.0,2830.0,-331.0,-393.0,1673.0,,,6329.0,4.0
京都,7,14,ペレグリン,バンブーエール,,,,,,,,,,
京都,8,1,サラサハウプリティ,ドレフォン,1357.0,1193.0,2830.0,3842.0,-393.0,1673.0,1700.0,,12202.0,3.0
京都,8,2,ワーズワース,リオンディーズ,-747.0,1102.0,-697.0,-1354.0,1430.0,1435.0,,,1169.0,7.0
京都,8,3,レオスパーク,カレンブラックヒル,-1235.0,1644.0,2722.0,-1058.0,2686.0,1389.0,2223.0,,8371.0,4.0
京都,8,4,シンゼンイズモ,エピファネイア,-955.0,-6674.0,-3768.0,-2124.0,-4602.0,-5094.0,,,-23217.0,16.0
京都,8,5,ロードオルデン,リオンディーズ,-747.0,1102.0,-697.0,-1354.0,1430.0,1435.0,,,1169.0,7.0
京都,8,6,タイセイウォリアー,マジェスティックウォリアー,-2309.0,2424.0,1007.0,1542.0,-182.0,2156.0,,,4638.0,6.0
京都,8,7,アストラカ,ドレフォン,1357.0,1193.0,2830.0,-331.0,-393.0,1673.0,,,6329.0,5.0
京都,8,8,ペプチドハドソン,モーリス,2212.0,-1179.0,-2473.0,-709.0,-2738.0,-2618.0,,,-7505.0,13.0
